SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.5
0,0,0,1,1,0,0,0,0,1,1,0,1,0,397.11
0,1,1,0,1,0,0,1,0,0,0,1,1,0,399.7
0,1,1,1,0,1,0,1,0,0,1,1,1,1,396.54
1,1,0,0,1,1,1,0,0,1,1,1,1,1,397.92
1,1,1,0,0,0,0,1,1,0,0,1,1,1,395.55
1,1,1,1,1,1,0,1,1,0,0,0,1,0,388.73
1,1,0,0,0,1,0,1,1,0,1,1,1,0,397.84
0,1,0,0,0,1,0,1,1,0,0,1,0,0,403.82
1,0,1,1,1,1,0,1,1,0,0,1,1,1,398.2
1,0,0,1,1,1,0,0,1,0,1,0,1,1,390.48
0,1,0,1,1,1,0,1,1,0,0,1,1,0,398.51
1,1,1,1,1,1,1,1,1,0,0,0,1,0,392.29
0,0,1,1,1,1,0,1,1,1,1,1,1,1,400.52
0,1,1,0,0,0,0,0,0,1,0,1,1,1,399.08
1,0,1,0,0,0,1,1,1,0,0,0,0,1,388.29
1,1,0,1,0,0,0,0,0,0,0,0,1,0,391.35
0,1,1,0,1,1,1,1,1,1,0,0,1,1,390.62
1,1,1,1,1,0,1,0,1,0,0,0,1,1,389.78
1,1,1,0,0,1,0,0,0,1,1,1,0,0,409.01
0,1,1,1,1,0,1,0,0,1,1,1,1,0,403.29
1,1,1,1,1,0,1,0,1,1,0,1,1,0,396.83
1,0,0,0,1,0,1,1,1,1,0,0,0,0,392.78
0,1,0,0,0,1,0,1,1,0,0,1,1,1,401.07
0,1,0,0,1,0,0,1,1,1,0,0,1,1,390.41
0,1,1,0,0,0,0,0,1,1,0,1,0,1,397.7
1,0,0,1,1,1,0,1,0,1,1,1,1,0,404.96
