SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K.4
1,0,1,1,1,1,0,0,1,0,1,0,0,1,713.39
0,0,1,1,0,0,1,0,0,0,1,0,1,0,706.42
1,1,0,1,0,1,0,1,0,1,0,0,0,0,712.75
1,1,1,0,0,1,1,0,1,0,0,1,0,0,709.7
1,1,0,1,0,1,1,0,1,1,0,1,0,1,717.8
1,0,1,0,1,0,1,1,0,1,0,1,1,0,704.53
1,0,1,1,0,1,0,0,1,0,1,1,0,1,704.85
1,0,0,0,1,0,0,1,0,1,1,0,1,1,705.76
1,0,0,1,0,0,0,1,1,1,1,0,0,0,706.07
1,0,1,0,0,1,1,1,1,1,1,0,0,1,694.37
1,0,0,0,0,1,0,1,0,0,0,0,1,0,709.71
0,1,1,1,1,1,0,0,1,1,0,0,1,1,702.94
1,1,1,1,1,1,0,1,0,0,0,1,1,0,716.68
1,1,1,1,0,0,1,0,1,1,0,0,1,0,710.78
0,1,0,1,0,0,1,0,1,0,0,1,0,0,725.63
0,1,0,1,1,0,1,0,1,1,1,0,0,1,713.33
0,0,1,1,0,1,0,1,1,0,0,0,0,0,708.85
0,0,1,1,0,1,0,1,0,1,0,0,1,0,702.02
0,0,0,1,1,0,0,0,0,1,1,0,1,0,700.78
0,1,1,0,1,0,0,1,0,0,0,1,1,0,708.34
0,1,1,1,0,1,0,1,0,0,1,1,1,1,705.61
1,1,0,0,1,1,1,0,0,1,1,1,1,1,714.76
1,1,1,0,0,0,0,1,1,0,0,1,1,1,705.9
1,1,1,1,1,1,0,1,1,0,0,0,1,0,716.31
1,1,0,0,0,1,0,1,1,0,1,1,1,0,702.83
0,1,0,0,0,1,0,1,1,0,0,1,0,0,717.5
1,0,1,1,1,1,0,1,1,0,0,1,1,1,708.98
1,0,0,1,1,1,0,0,1,0,1,0,1,1,707.55
0,1,0,1,1,1,0,1,1,0,0,1,1,0,703.73
1,1,1,1,1,1,1,1,1,0,0,0,1,0,710.48
0,0,1,1,1,1,0,1,1,1,1,1,1,1,705.86
0,1,1,0,0,0,0,0,0,1,0,1,1,1,699.48
1,0,1,0,0,0,1,1,1,0,0,0,0,1,715.83
1,1,0,1,0,0,0,0,0,0,0,0,1,0,706.82
0,1,1,0,1,1,1,1,1,1,0,0,1,1,711.97
1,1,1,1,1,0,1,0,1,0,0,0,1,1,712.32
1,1,1,0,0,1,0,0,0,1,1,1,0,0,713.19
0,1,1,1,1,0,1,0,0,1,1,1,1,0,704.57
1,1,1,1,1,0,1,0,1,1,0,1,1,0,710.25
1,0,0,0,1,0,1,1,1,1,0,0,0,0,706.55
0,1,0,0,0,1,0,1,1,0,0,1,1,1,710.71
0,1,0,0,1,0,0,1,1,1,0,0,1,1,695.53
0,1,1,0,0,0,0,0,1,1,0,1,0,1,705.22
1,0,0,1,1,1,0,1,0,1,1,1,1,0,712.53
0,0,1,0,1,0,0,1,1,1,1,0,1,0,699.34
0,1,1,1,1,0,0,1,1,1,1,1,1,1,698.02
1,0,0,1,1,1,0,1,0,1,1,1,0,1,712.2
0,0,0,1,0,0,1,0,0,1,1,1,1,1,711.45
1,0,0,0,1,1,1,0,0,0,0,0,0,0,710.84
1,1,0,1,0,1,1,0,1,1,0,0,0,1,706.35
1,1,1,0,1,0,1,1,0,0,1,1,0,1,718.49
0,0,1,0,0,0,0,0,1,0,0,0,0,1,703.67
1,1,0,1,1,0,1,0,1,1,1,1,1,1,707.43
0,0,1,1,1,1,0,1,0,0,0,1,0,1,704.04
0,0,1,1,1,1,1,0,1,0,0,1,0,0,704.15
0,1,1,1,0,0,0,0,0,1,1,1,1,1,693.32
0,1,1,0,1,1,0,0,1,1,1,1,0,1,705.43
1,0,0,1,1,1,1,0,0,1,0,1,0,0,713.47
0,1,0,1,1,1,1,1,1,0,0,1,1,1,711.17
1,0,1,1,0,0,0,0,0,0,1,1,1,0,708.65
1,1,0,0,0,1,0,1,0,1,1,1,0,1,701.89
0,1,0,0,0,0,0,1,1,0,0,0,0,1,705.83
0,1,1,0,1,0,1,0,0,0,0,1,1,1,709.27
1,0,1,1,0,0,0,0,1,1,1,0,0,0,699.96
1,1,1,0,1,1,0,1,1,0,0,1,0,1,718.45
0,1,1,1,1,1,1,0,0,1,0,0,0,0,703.43
1,0,1,0,1,1,0,1,1,1,1,1,1,0,704.34
0,0,1,0,1,0,0,1,1,0,0,1,0,0,714.74
1,0,0,1,1,1,0,1,0,1,0,0,1,0,703.5
1,0,1,1,1,0,0,0,1,0,0,1,0,1,713.67
1,0,0,0,1,1,1,1,1,1,1,1,0,0,702.49
0,0,0,0,1,0,0,1,0,0,0,0,1,0,699.72
0,1,1,0,0,0,1,0,0,1,1,1,1,1,698.33
0,1,1,1,0,1,1,0,1,1,0,1,0,0,707.2
0,0,0,0,1,1,1,1,1,0,0,1,1,1,714.49
1,1,1,0,0,1,1,0,1,0,0,1,1,1,710.01
0,1,1,0,0,1,1,0,1,0,0,0,0,0,700.04
1,1,1,0,0,1,0,1,1,1,1,0,1,0,704.38
0,1,1,1,0,1,0,0,1,0,0,0,1,0,704.23
1,1,1,1,0,1,0,0,1,0,1,1,1,1,713.99
1,1,1,0,1,0,1,1,0,1,1,1,0,0,705.72
1,1,0,1,0,0,1,0,0,0,0,1,0,0,719.55
1,1,0,0,1,0,0,0,1,1,1,0,1,1,698.8
1,1,0,0,0,1,0,1,0,0,0,1,0,0,719.55
0,1,0,1,1,1,1,0,0,1,1,0,0,0,697.71
0,1,0,0,1,1,0,0,0,0,0,1,1,1,704.92
0,0,1,0,1,1,1,1,0,1,0,0,1,0,703.79
0,0,0,0,0,1,1,1,1,0,1,0,1,1,696.75
0,1,1,1,1,1,0,0,0,1,0,1,0,1,716.03
1,1,1,1,1,0,1,0,1,0,0,1,1,1,702.06
