SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq.5
1,1,1,0,0,1,0,0,1,0,1,0,1,1,31.887
0,0,1,1,0,1,0,1,1,1,0,0,0,0,31.44
1,0,0,0,1,1,0,1,0,1,1,1,1,0,31.484
1,1,1,0,0,0,0,1,0,0,0,0,0,1,31.599
0,0,1,0,1,1,1,0,0,0,1,0,0,0,30.971
1,1,1,0,0,0,0,0,0,1,1,0,0,0,30.282
0,0,0,0,0,1,1,1,1,0,0,1,1,0,31.38
0,0,1,1,1,0,1,1,0,0,1,0,0,0,32.634
0,1,0,0,0,1,1,1,1,1,0,1,1,0,31.079
0,0,0,1,0,0,0,0,0,1,1,0,0,1,31.734
1,0,0,0,1,1,0,1,0,1,1,1,0,0,31.52
0,0,1,1,0,0,1,1,0,1,1,1,1,0,36.124
0,1,1,1,1,0,1,0,0,0,1,0,1,0,31.918
0,0,0,1,0,0,0,0,0,1,0,1,1,0,32.143
0,1,0,1,0,0,1,0,0,1,1,0,1,1,31.661
0,0,1,1,1,0,1,0,1,1,1,0,1,0,30.838
0,0,0,1,1,0,1,0,1,1,0,0,1,0,31.239
0,0,1,0,0,0,0,0,1,0,1,0,1,1,31.693
0,0,1,0,1,0,1,0,0,0,0,0,0,1,31.209
0,1,1,1,1,1,1,0,1,1,0,1,1,1,31.125
1,1,0,1,0,0,0,1,0,1,0,1,0,0,31.145
1,0,1,1,0,0,0,1,1,1,1,0,0,0,32.161
1,1,0,0,1,1,1,0,0,0,0,1,1,0,32.47
1,0,0,1,1,1,1,0,1,1,1,1,0,1,31.343
0,0,0,0,0,1,0,1,0,0,0,0,0,1,31.07
1,1,1,1,1,1,1,1,1,1,1,0,0,1,31.562
0,0,1,1,0,0,1,1,0,0,1,1,0,0,31.338
1,1,1,0,1,0,1,1,1,1,0,1,0,0,31.981
0,0,0,1,1,0,0,0,0,1,1,0,1,0,32.056
1,1,0,0,1,0,0,0,1,0,0,1,1,0,32.161
0,1,0,1,1,0,0,0,0,0,0,1,1,0,32.051
1,0,0,1,0,1,0,0,1,1,1,1,1,0,31.409
1,1,1,1,1,1,0,0,1,1,1,0,0,0,31.965
1,0,1,0,1,1,0,0,1,1,1,1,0,1,32.18
0,0,1,1,0,1,0,1,0,0,1,1,0,1,31.725
0,1,0,1,0,0,1,1,1,1,1,0,1,1,31.002
1,0,0,1,1,1,1,0,1,0,0,1,1,0,31.285
1,0,0,1,1,0,1,0,1,1,0,1,1,0,31.827
0,0,1,1,0,0,0,0,1,1,0,0,1,0,32.261
0,0,0,0,1,1,1,1,1,0,1,0,1,0,32.023
1,0,0,1,1,1,1,1,1,0,1,0,0,1,31.312
1,1,0,0,0,1,0,0,1,0,0,1,0,0,31.38
1,0,1,1,0,0,0,0,0,0,1,1,0,0,31.257
1,0,1,0,1,0,0,0,1,0,0,1,0,0,31.132
0,1,1,1,1,1,0,1,1,0,0,0,0,0,30.754
0,1,0,0,0,1,0,0,1,0,1,1,0,0,31.355
1,0,0,0,1,1,0,0,0,1,1,0,0,1,32.006
1,1,0,1,1,0,0,1,1,0,0,1,0,0,30.981
1,0,1,1,0,1,0,1,1,1,1,0,1,1,31.036
0,1,1,0,1,1,1,0,0,1,1,0,0,1,31.651
1,1,0,1,0,0,1,1,0,0,1,1,1,0,31.561
0,1,0,1,1,0,1,1,0,1,1,0,1,0,31.054
1,0,0,1,1,0,1,1,0,1,0,1,0,1,31.902
1,1,1,0,1,0,0,0,1,0,0,0,0,1,32.411
0,0,1,1,0,0,1,0,0,1,0,1,0,1,31.629
0,1,1,0,0,0,1,1,0,0,1,0,0,1,31.192
0,1,1,1,1,1,0,0,0,1,1,1,0,1,30.85
1,0,1,0,0,0,1,0,1,0,0,1,0,0,31.423
0,0,1,0,0,1,1,0,1,0,0,0,1,1,30.656
1,1,1,0,0,0,0,1,0,0,1,1,1,1,31.15
0,0,0,1,0,1,1,1,1,1,0,0,0,0,31.565
0,1,1,0,0,0,0,0,1,0,1,1,1,1,31.886
0,1,0,0,0,0,0,1,0,1,1,1,1,0,31.862
0,1,1,1,1,0,1,1,1,1,1,0,0,0,30.597
0,0,0,1,1,0,0,0,0,1,1,1,0,1,31.51
1,0,1,0,0,1,0,0,0,0,0,0,1,1,31.446
1,0,1,0,1,1,0,0,1,1,0,1,0,0,31.388
0,1,1,1,0,1,0,0,0,0,0,1,0,0,31.234
1,0,1,1,0,1,0,1,0,0,0,0,1,1,32.986
0,1,1,1,1,0,0,1,1,1,1,0,0,0,31.737
0,1,0,1,1,0,1,0,0,1,1,0,1,0,30.993
0,0,1,1,1,0,0,1,1,1,1,0,1,0,31.404
1,0,1,1,1,1,1,1,0,1,1,0,1,0,31.319
0,0,1,1,1,0,1,0,0,1,1,1,0,1,32.441
1,1,0,0,0,0,1,1,1,1,1,0,1,0,31.262
0,1,1,1,0,1,0,0,0,0,1,1,1,0,32.323
1,1,1,1,0,1,1,1,1,1,1,0,1,1,31.355
1,1,1,0,0,0,1,0,0,1,1,0,1,1,31.449
1,0,0,0,0,1,1,1,1,1,0,1,1,0,31.512
1,1,0,1,1,0,1,1,0,1,0,1,1,1,31.366
1,0,1,1,1,1,0,0,1,0,1,0,0,1,32.073
0,0,1,1,0,0,1,0,0,0,1,0,1,0,31.365
1,1,0,1,0,1,0,1,0,1,0,0,0,0,30.884
1,1,1,0,0,1,1,0,1,0,0,1,0,0,32.537
1,1,0,1,0,1,1,0,1,1,0,1,0,1,31.451
1,0,1,0,1,0,1,1,0,1,0,1,1,0,31.086
1,0,1,1,0,1,0,0,1,0,1,1,0,1,31.429
1,0,0,0,1,0,0,1,0,1,1,0,1,1,31.226
1,0,0,1,0,0,0,1,1,1,1,0,0,0,31.19
1,0,1,0,0,1,1,1,1,1,1,0,0,1,31.615
1,0,0,0,0,1,0,1,0,0,0,0,1,0,31.202
0,1,1,1,1,1,0,0,1,1,0,0,1,1,31.411
1,1,1,1,1,1,0,1,0,0,0,1,1,0,31.771
1,1,1,1,0,0,1,0,1,1,0,0,1,0,31.145
0,1,0,1,0,0,1,0,1,0,0,1,0,0,31.603
0,1,0,1,1,0,1,0,1,1,1,0,0,1,32.302
0,0,1,1,0,1,0,1,1,0,0,0,0,0,31.147
0,0,1,1,0,1,0,1,0,1,0,0,1,0,31.384
0,0,0,1,1,0,0,0,0,1,1,0,1,0,31.222
0,1,1,0,1,0,0,1,0,0,0,1,1,0,30.919
0,1,1,1,0,1,0,1,0,0,1,1,1,1,30.643
1,1,0,0,1,1,1,0,0,1,1,1,1,1,32.044
1,1,1,0,0,0,0,1,1,0,0,1,1,1,31.52
1,1,1,1,1,1,0,1,1,0,0,0,1,0,31.226
1,1,0,0,0,1,0,1,1,0,1,1,1,0,31.226
0,1,0,0,0,1,0,1,1,0,0,1,0,0,31.426
1,0,1,1,1,1,0,1,1,0,0,1,1,1,31.224
1,0,0,1,1,1,0,0,1,0,1,0,1,1,32.024
0,1,0,1,1,1,0,1,1,0,0,1,1,0,30.584
1,1,1,1,1,1,1,1,1,0,0,0,1,0,32.104
0,0,1,1,1,1,0,1,1,1,1,1,1,1,31.783
0,1,1,0,0,0,0,0,0,1,0,1,1,1,30.569
1,0,1,0,0,0,1,1,1,0,0,0,0,1,31.829
1,1,0,1,0,0,0,0,0,0,0,0,1,0,31.362
0,1,1,0,1,1,1,1,1,1,0,0,1,1,31.693
1,1,1,1,1,0,1,0,1,0,0,0,1,1,31.455
1,1,1,0,0,1,0,0,0,1,1,1,0,0,31.431
0,1,1,1,1,0,1,0,0,1,1,1,1,0,31.34
1,1,1,1,1,0,1,0,1,1,0,1,1,0,31.502
1,0,0,0,1,0,1,1,1,1,0,0,0,0,31.545
0,1,0,0,0,1,0,1,1,0,0,1,1,1,31.443
0,1,0,0,1,0,0,1,1,1,0,0,1,1,31.92
0,1,1,0,0,0,0,0,1,1,0,1,0,1,32.932
1,0,0,1,1,1,0,1,0,1,1,1,1,0,30.536
0,0,1,0,1,0,0,1,1,1,1,0,1,0,31.615
0,1,1,1,1,0,0,1,1,1,1,1,1,1,32.272
1,0,0,1,1,1,0,1,0,1,1,1,0,1,31.602
0,0,0,1,0,0,1,0,0,1,1,1,1,1,31.446
1,0,0,0,1,1,1,0,0,0,0,0,0,0,31.558
1,1,0,1,0,1,1,0,1,1,0,0,0,1,30.568
1,1,1,0,1,0,1,1,0,0,1,1,0,1,31.912
0,0,1,0,0,0,0,0,1,0,0,0,0,1,31.405
1,1,0,1,1,0,1,0,1,1,1,1,1,1,31.57
0,0,1,1,1,1,0,1,0,0,0,1,0,1,31.401
0,0,1,1,1,1,1,0,1,0,0,1,0,0,31.322
0,1,1,1,0,0,0,0,0,1,1,1,1,1,31.515
0,1,1,0,1,1,0,0,1,1,1,1,0,1,31.472
1,0,0,1,1,1,1,0,0,1,0,1,0,0,30.815
0,1,0,1,1,1,1,1,1,0,0,1,1,1,30.972
1,0,1,1,0,0,0,0,0,0,1,1,1,0,31.878
1,1,0,0,0,1,0,1,0,1,1,1,0,1,31.351
0,1,0,0,0,0,0,1,1,0,0,0,0,1,31.055
0,1,1,0,1,0,1,0,0,0,0,1,1,1,31.584
1,0,1,1,0,0,0,0,1,1,1,0,0,0,31.118
1,1,1,0,1,1,0,1,1,0,0,1,0,1,31.047
0,1,1,1,1,1,1,0,0,1,0,0,0,0,31.21
1,0,1,0,1,1,0,1,1,1,1,1,1,0,32.234
0,0,1,0,1,0,0,1,1,0,0,1,0,0,30.907
1,0,0,1,1,1,0,1,0,1,0,0,1,0,31.07
1,0,1,1,1,0,0,0,1,0,0,1,0,1,31.597
1,0,0,0,1,1,1,1,1,1,1,1,0,0,31.879
0,0,0,0,1,0,0,1,0,0,0,0,1,0,30.918
0,1,1,0,0,0,1,0,0,1,1,1,1,1,31.414
0,1,1,1,0,1,1,0,1,1,0,1,0,0,31.451
0,0,0,0,1,1,1,1,1,0,0,1,1,1,31.635
1,1,1,0,0,1,1,0,1,0,0,1,1,1,30.495
0,1,1,0,0,1,1,0,1,0,0,0,0,0,31.211
1,1,1,0,0,1,0,1,1,1,1,0,1,0,30.834
0,1,1,1,0,1,0,0,1,0,0,0,1,0,31.058
1,1,1,1,0,1,0,0,1,0,1,1,1,1,31.966
1,1,1,0,1,0,1,1,0,1,1,1,0,0,32.122
1,1,0,1,0,0,1,0,0,0,0,1,0,0,31.243
1,1,0,0,1,0,0,0,1,1,1,0,1,1,33.176
1,1,0,0,0,1,0,1,0,0,0,1,0,0,31.614
0,1,0,1,1,1,1,0,0,1,1,0,0,0,32.311
0,1,0,0,1,1,0,0,0,0,0,1,1,1,30.817
0,0,1,0,1,1,1,1,0,1,0,0,1,0,31.513
0,0,0,0,0,1,1,1,1,0,1,0,1,1,31.834
0,1,1,1,1,1,0,0,0,1,0,1,0,1,31.143
1,1,1,1,1,0,1,0,1,0,0,1,1,1,32.172
0,1,1,1,0,1,1,0,0,1,1,0,1,1,31.03
0,0,0,0,0,0,1,0,1,0,1,0,0,0,30.991
0,0,0,1,0,0,0,0,1,0,1,0,0,1,30.689
0,1,0,0,0,0,0,0,0,1,1,0,1,1,31.476
1,1,0,0,1,1,1,1,1,1,1,0,0,1,31.136
0,1,0,1,0,0,1,0,1,0,0,0,1,0,31.897
1,1,1,1,0,0,1,0,0,1,1,1,0,1,32.093
1,1,0,1,0,0,0,0,0,1,1,0,1,0,31.022
1,0,0,1,1,1,1,1,0,0,0,0,0,1,31.02
0,0,0,1,0,1,1,1,1,0,0,1,0,1,31.398
1,1,0,0,0,0,1,0,1,1,0,0,1,0,31.301
0,0,0,1,1,1,0,1,1,0,1,0,1,0,31.28
1,1,0,0,1,1,1,1,0,0,1,0,1,1,31.108
0,1,0,1,0,1,0,1,1,1,0,1,0,1,31.27
0,0,1,1,1,0,0,0,0,1,1,1,1,1,31.231
1,0,0,0,1,0,1,1,1,0,0,1,1,0,30.387
0,0,1,1,1,1,1,1,0,0,1,1,0,1,32.131
0,0,1,1,0,0,1,1,1,1,1,0,1,1,30.647
0,1,0,0,1,1,1,0,0,1,1,1,1,1,32.006
1,0,1,0,1,1,0,1,1,0,0,0,0,1,32.09
0,1,1,0,1,0,1,1,0,0,0,0,0,0,30.349
1,0,0,0,0,0,1,1,0,0,0,1,1,0,31.655
1,1,1,1,1,1,1,0,1,0,1,0,0,0,31.615
0,0,0,1,0,1,1,0,1,1,0,0,0,1,30.894
1,0,0,1,1,0,0,1,0,1,1,0,0,0,31.185
1,0,0,1,0,0,1,0,0,0,1,0,1,0,31.775
1,1,1,0,0,1,0,0,0,0,0,1,1,0,31.13
1,1,0,1,1,1,1,0,0,0,1,0,1,1,31.487
1,0,1,1,0,1,0,1,0,1,1,1,1,0,31.135
1,0,1,1,1,0,0,0,1,1,1,1,1,0,31.698
1,0,1,0,0,1,0,0,1,0,1,0,0,0,31.349
0,0,1,0,0,0,1,1,1,1,0,1,1,1,31.882
0,1,1,1,0,1,0,1,1,0,0,0,0,0,31.529
0,0,1,0,0,0,1,1,1,0,1,1,1,1,31.073
0,1,0,0,1,0,0,1,1,0,1,1,0,1,32.345
1,1,1,1,0,1,1,0,1,0,1,1,1,0,31.238
1,1,0,0,1,0,1,1,0,1,1,0,0,1,32.286
1,0,1,1,1,1,0,1,1,1,1,1,1,1,31.674
0,0,1,1,1,0,1,0,1,1,1,1,1,0,31.43
0,1,0,1,1,1,1,1,1,0,1,0,1,1,31.39
0,0,0,0,0,1,1,0,1,1,1,0,1,0,30.816
1,0,0,0,0,0,1,1,0,1,1,0,1,0,31.26
0,0,0,1,0,0,0,0,0,1,0,0,1,1,31.359
1,1,0,1,0,0,1,1,1,0,0,1,1,1,31.388
1,0,0,0,1,1,1,1,0,0,0,1,0,1,31.542
1,0,1,0,1,0,1,1,0,1,0,1,0,0,30.725
1,0,1,0,1,1,0,1,0,1,1,1,0,1,33.001
1,0,1,1,0,0,0,0,1,1,1,1,1,0,31.609
0,0,1,0,1,1,1,0,0,0,0,0,1,0,31.271
0,1,0,1,1,1,1,1,1,1,1,0,1,0,31.4
0,1,0,1,0,0,0,0,0,0,1,0,1,0,31.518
1,0,0,1,0,0,1,1,0,1,1,1,0,1,31.632
0,1,0,0,0,0,0,0,1,1,0,0,0,1,31.745
0,0,1,0,0,1,1,0,1,1,1,1,0,0,31.539
1,0,1,1,0,1,1,1,1,0,0,0,1,1,30.494
0,1,0,0,1,1,1,1,0,0,0,1,1,0,32.231
1,1,0,0,0,0,0,1,1,1,0,1,0,0,31.322
0,0,1,1,0,1,1,1,0,0,0,1,1,0,32.313
1,0,1,0,0,0,1,1,1,0,1,0,0,1,31.191
0,1,1,0,0,1,0,0,0,1,1,0,0,1,31.568
1,1,0,0,0,0,0,0,0,0,0,1,1,1,32.439
1,0,0,1,0,1,0,0,1,0,1,1,0,0,30.99
1,1,1,0,1,0,1,1,0,1,0,0,0,1,31.682
1,1,0,0,1,1,0,1,0,0,0,1,1,1,31.045
1,0,1,1,0,1,1,1,1,1,0,1,0,1,32.085
0,0,0,0,1,0,1,1,1,0,1,0,0,1,30.833
0,1,1,1,0,1,0,1,0,1,1,1,0,1,32.134
0,0,1,0,1,1,0,0,0,0,0,1,1,1,32.149
0,1,0,1,0,1,0,0,1,0,1,1,1,1,32.087
0,1,1,0,0,0,1,1,0,0,0,0,0,1,31.579
0,1,1,1,1,0,1,0,0,0,0,0,0,1,31.019
1,1,1,1,0,1,0,0,1,0,0,1,0,1,31.584
1,0,1,0,0,1,0,1,1,0,1,1,0,0,31.64
1,0,1,0,0,0,0,1,1,0,1,0,1,0,32.24
0,1,1,0,0,1,0,0,1,0,1,0,1,1,31.237
0,0,0,0,0,0,1,0,1,0,1,1,1,0,31.56
0,0,1,0,1,1,1,0,1,0,0,1,0,0,31.798
0,0,1,1,1,0,0,0,1,0,0,1,0,0,31.16
1,0,1,1,1,0,0,1,0,0,1,1,1,0,31.115
0,0,1,0,1,1,0,1,0,1,0,0,1,1,30.792
1,1,0,0,1,0,0,1,1,1,1,0,1,1,31.159
1,1,0,0,1,1,0,1,0,0,0,1,0,1,30.91
1,0,1,1,0,0,0,0,0,1,0,0,1,0,31.873
1,1,0,0,0,1,0,0,1,1,0,0,1,0,31.032
0,1,0,1,1,0,0,0,0,0,0,1,1,0,31.679
1,0,0,1,0,1,0,0,0,0,1,0,0,1,30.711
1,1,1,0,0,1,0,1,1,0,0,0,1,0,32.191
1,0,0,1,0,1,1,0,1,1,1,1,1,1,31.563
1,1,0,1,1,0,1,1,1,1,1,1,1,0,33.093
1,0,0,1,1,1,1,1,0,1,1,0,0,1,31.139
0,0,1,0,1,1,0,0,0,1,0,0,1,0,32.242
1,1,1,1,0,0,0,1,0,0,0,0,0,0,31.728
1,1,1,1,0,0,1,1,0,0,0,0,0,1,32.703
0,1,1,0,0,0,1,1,1,1,0,1,0,1,31.052
0,0,0,1,1,0,1,0,0,0,0,1,1,0,31.943
0,1,0,1,1,0,1,0,1,0,0,0,1,0,31.641
0,0,0,0,1,0,0,1,1,0,1,1,0,1,31.474
1,1,0,0,0,1,1,1,1,1,1,0,0,0,32.121
0,1,0,1,1,1,0,1,0,1,0,0,0,1,31.421
1,0,0,1,0,0,0,1,0,0,1,1,0,0,31.538
0,0,0,1,1,0,1,1,1,0,1,1,0,1,31.539
1,1,0,1,0,0,1,0,0,1,1,0,1,0,30.815
0,0,0,1,0,1,0,1,1,0,1,1,0,1,30.415
1,1,1,0,0,1,1,1,1,1,0,1,1,0,32.666
0,1,0,0,0,1,1,1,0,1,1,0,1,0,31.162
1,1,0,0,0,0,1,1,1,1,1,1,0,1,31.823
1,0,0,1,1,1,1,1,1,0,0,0,1,1,31.305
1,1,0,0,1,0,0,0,0,1,0,0,1,1,30.671
1,0,0,1,1,1,1,1,1,1,1,1,0,1,31.449
1,1,0,0,0,1,0,0,1,1,1,0,1,1,31.722
1,0,1,1,1,0,1,0,0,0,0,1,1,1,32.197
1,1,1,1,1,1,0,0,0,1,1,0,0,0,31.109
0,1,1,1,1,1,0,0,0,1,0,1,1,1,31.761
0,0,1,1,1,1,1,1,1,0,0,0,1,0,32.548
1,0,1,1,1,1,0,1,0,1,1,0,1,0,31.099
0,1,0,1,1,0,0,1,1,0,0,1,0,0,31.372
1,1,0,0,0,1,1,1,1,0,0,0,0,1,31.668
0,0,0,1,1,1,0,1,0,1,0,1,0,1,31.585
0,1,1,1,0,0,1,1,1,1,1,0,0,1,32.144
1,1,1,1,1,1,1,1,1,1,1,1,0,1,31.455
1,1,0,1,1,1,0,0,1,1,1,0,0,0,31.93
0,1,0,1,0,0,1,1,0,1,0,0,0,1,31.685
0,0,1,0,0,0,1,0,0,0,0,1,0,1,30.688
0,1,0,0,1,0,0,1,0,1,0,1,1,0,31.633
0,0,1,0,1,1,1,1,0,0,0,0,1,1,31.611
0,0,0,0,0,0,0,0,1,1,0,0,0,0,31.753
0,0,0,0,0,0,1,1,1,1,0,0,1,0,31.304
1,1,1,1,1,0,1,0,1,0,1,0,0,0,31.507
0,0,1,0,1,1,0,1,0,0,0,0,1,1,31.553
0,0,1,0,0,1,0,0,1,0,0,1,1,0,33.247
1,0,0,0,1,0,0,1,1,0,1,1,1,0,31.46
1,0,0,1,1,0,0,0,0,0,1,0,0,1,31.169
0,0,0,1,0,1,1,0,0,1,0,0,0,0,31.527
0,1,1,1,0,0,0,0,0,1,0,1,0,0,31.049
0,1,1,1,1,0,1,1,1,0,1,0,1,0,32.289
1,0,1,0,0,1,1,0,0,0,0,0,0,0,32.4
1,0,0,0,1,0,0,1,1,1,0,1,1,0,30.949
0,1,1,0,0,0,1,0,0,0,1,1,0,1,31.057
1,0,1,0,1,1,1,0,0,1,1,0,0,0,30.915
1,0,0,1,0,0,1,0,0,1,1,1,0,1,31.913
1,0,0,0,0,0,1,1,1,0,1,0,1,0,31.362
1,1,0,0,0,0,0,1,0,0,1,1,1,0,31.419
0,1,1,1,0,0,1,1,0,1,1,1,1,0,31.437
1,1,0,1,1,0,0,1,0,0,1,1,0,0,30.644
1,1,0,1,0,0,1,0,0,1,1,1,1,1,31.943
0,1,0,0,0,1,0,1,0,1,1,1,1,0,31.926
0,1,1,1,1,0,0,1,0,1,1,0,1,1,31.945
0,0,0,0,0,0,1,0,1,0,1,0,1,1,31.449
0,1,1,1,1,0,0,0,1,0,0,0,0,0,31.366
0,1,1,1,1,1,1,1,0,0,1,0,1,1,31.029
0,1,0,0,1,0,0,1,0,1,0,0,1,1,31.047
1,0,1,0,0,0,0,1,0,0,1,1,0,0,31.386
1,1,0,0,1,0,0,1,0,0,0,0,1,0,32.566
0,1,0,0,1,1,1,0,1,0,1,1,1,1,31.475
1,1,1,0,0,1,0,1,1,0,1,0,0,1,30.446
1,0,0,0,0,0,1,0,1,1,1,0,1,1,31.303
1,0,0,1,1,0,1,1,1,1,1,1,1,1,30.388
1,1,0,1,1,1,0,0,1,1,0,1,0,0,31.764
0,1,1,1,0,0,1,1,1,1,1,0,0,0,31.942
0,0,0,1,0,1,0,1,0,0,1,0,0,0,30.977
1,0,1,0,0,1,1,0,0,1,1,1,1,0,30.854
0,1,1,0,0,0,0,1,1,1,0,0,1,0,31.326
1,0,0,1,0,1,1,0,0,1,1,1,1,1,31.572
1,0,1,0,1,0,0,0,1,1,1,0,1,0,31.175
1,0,1,1,1,1,1,0,0,1,1,1,1,0,31.371
0,1,1,0,1,1,1,1,0,1,0,1,0,0,30.374
0,0,1,0,0,0,0,0,1,0,1,1,0,1,32.245
0,1,1,1,0,0,0,0,0,0,0,1,0,1,32.018
0,0,1,1,0,0,1,0,0,1,0,0,1,0,30.911
0,1,1,0,0,1,1,0,0,1,0,1,0,0,31.076
0,1,0,1,0,0,0,1,0,0,1,1,0,0,32.244
0,0,1,1,0,1,0,1,0,1,0,1,1,1,31.651
1,1,0,0,0,0,1,1,0,1,1,1,1,0,31.577
0,1,1,1,1,0,1,1,1,1,0,0,0,0,31.217
0,1,0,0,0,0,1,0,0,1,1,0,0,0,31.599
1,0,1,0,0,1,0,1,0,0,1,1,1,0,31.047
0,0,1,1,0,1,1,1,0,1,0,0,0,1,31.045
0,0,1,1,0,1,1,0,0,0,0,1,0,0,31.358
1,1,0,1,1,1,1,0,1,1,0,0,0,0,31.252
1,1,0,0,0,0,0,1,0,1,0,1,1,0,31.098
0,0,1,0,0,0,1,0,1,0,0,1,1,0,31.354
0,0,0,0,1,0,0,1,0,1,1,1,1,1,31.327
0,1,0,1,1,1,0,1,0,0,0,1,1,1,30.577
1,0,0,0,1,0,0,0,0,1,0,1,1,1,31.794
1,0,1,1,0,0,0,1,1,0,1,0,1,0,31.545
0,0,1,0,1,1,1,1,0,0,0,0,0,1,32.202
1,0,0,0,0,1,0,0,1,0,0,1,1,0,31.792
1,0,0,0,1,1,1,1,0,1,0,0,0,1,31.944
0,1,1,1,0,0,0,0,0,0,0,0,1,1,31.906
1,1,0,1,0,1,0,1,1,1,0,0,0,0,30.346
0,1,1,1,0,0,0,1,1,1,0,0,0,0,32.296
0,1,1,1,1,1,0,0,1,1,1,1,1,1,30.834
1,0,0,0,0,0,0,0,0,0,1,0,1,0,31.599
0,1,0,1,0,0,0,1,1,1,0,1,0,0,31.553
0,1,0,0,0,0,1,1,1,1,1,0,0,1,31.242
