step_size,percentage,loss,x264,storm-obj2,storm-obj1,sac,spear
4,0.15,3,19.5,167.25,338.5,374.75,1744.5
4,0.15,4,17.0,165.625,402.25,348.75,2620.0
4,0.15,5,22.0,167.25,369.75,399.0,1799.625
4,0.15,6,22.0,167.25,369.75,348.75,1001.375
4,0.15,7,22.0,167.25,402.25,399.0,536.75
4,0.18,3,17.0,167.25,316.625,348.75,1620.0
4,0.18,4,19.5,167.25,338.5,340.5,1001.375
4,0.18,5,15.0,167.25,327.375,349.625,2664.5
4,0.18,6,16.75,164.0,369.75,348.75,1655.5
4,0.18,7,17.0,167.25,369.75,348.75,1475.125
4,0.1,3,19.5,167.25,434.75,399.0,491.5
4,0.1,4,22.0,167.25,369.75,399.0,3084.625
4,0.1,5,16.75,167.25,434.75,330.5,2764.125
4,0.1,6,13.25,167.25,369.75,348.75,2575.5
4,0.1,7,17.5,167.25,369.75,348.75,1682.25
4,0.2,3,15.25,167.25,369.75,349.625,2616.75
4,0.2,4,19.5,167.625,369.75,374.75,2214.375
4,0.2,5,21.25,167.25,369.75,415.75,1217.625
4,0.2,6,13.25,167.25,369.75,399.0,2575.5
4,0.2,7,17.0,167.625,434.75,373.875,1520.375
6,0.05,3,19.5,167.25,369.75,349.625,536.75
6,0.05,4,13.5,167.25,369.75,374.75,1475.875
6,0.05,5,13.5,167.25,369.75,348.75,1055.75
6,0.05,6,13.0,167.25,354.125,331.375,1798.875
6,0.05,7,13.0,167.25,369.75,349.625,1376.25
6,0.07,3,22.0,167.25,369.75,447.25,491.5
6,0.07,4,22.0,167.25,369.75,399.0,582.0
6,0.07,5,15.25,167.25,369.75,374.75,1010.5
6,0.07,6,13.5,167.25,369.75,348.75,2664.5
6,0.07,7,13.25,169.25,369.75,374.75,2142.25
6,0.09,3,17.0,167.25,369.75,340.5,1055.75
6,0.09,4,17.0,167.25,402.25,374.75,956.875
6,0.09,5,23.5,167.25,369.75,399.0,1001.375
6,0.09,6,19.5,167.25,369.75,348.75,2259.625
6,0.09,7,10.75,167.25,369.75,331.375,1844.125
6,0.13,3,22.0,167.25,354.125,373.875,1682.25
6,0.13,4,17.0,167.25,354.125,340.5,1898.5
6,0.13,5,13.0,167.25,369.75,374.75,1582.625
6,0.13,6,15.25,167.25,369.75,350.5,1943.75
6,0.13,7,17.0,167.25,369.75,339.625,2620.0
6,0.15,3,22.0,167.25,369.75,330.5,582.0
6,0.15,4,22.0,167.25,369.75,348.75,1101.0
6,0.15,5,13.5,167.25,338.5,349.625,1001.375
6,0.15,6,19.5,167.25,369.75,348.75,1475.875
6,0.15,7,19.5,167.25,369.75,415.75,1853.25
6,0.18,3,15.25,167.25,369.75,348.75,1001.375
6,0.18,4,16.75,167.25,402.25,373.875,1943.75
6,0.18,5,13.25,167.25,369.75,348.75,1754.375
6,0.18,6,17.0,167.25,369.75,373.875,1475.875
6,0.18,7,19.5,167.625,369.75,348.75,2661.25
6,0.1,3,19.5,168.0,369.75,374.75,1101.0
6,0.1,4,13.0,167.25,338.5,373.875,1001.375
6,0.1,5,22.0,167.25,369.75,348.75,2052.5
6,0.1,6,17.0,167.25,369.75,348.75,2304.125
6,0.1,7,13.5,167.25,429.0,340.5,1520.375
6,0.2,3,13.25,167.25,369.75,348.75,1682.25
6,0.2,4,22.0,167.25,354.125,339.625,1682.25
6,0.2,5,17.0,167.25,369.75,348.75,1682.25
6,0.2,6,22.0,164.0,369.75,399.0,582.0
6,0.2,7,15.25,167.25,369.75,348.75,1529.5
8,0.05,3,22.0,167.25,338.5,348.75,1262.875
8,0.05,4,15.25,167.25,369.75,339.625,582.0
8,0.05,5,13.0,167.25,369.75,331.375,582.0
8,0.05,6,13.5,167.25,369.75,348.75,491.5
8,0.05,7,17.0,167.25,369.75,348.75,1781.875
8,0.07,3,12.5,167.25,369.75,374.75,2620.0
8,0.07,4,22.0,167.25,369.75,331.375,1700.0
8,0.07,5,17.0,167.25,369.75,348.75,1001.375
