SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom.2
1,0,1,1,1,1,0,0,1,0,1,0,0,1,0.267343485618
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.326565143824
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0.635363790186
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0.121827411168
1,1,0,1,0,1,1,0,1,1,0,1,0,1,0.450084602369
1,0,1,0,1,0,1,1,0,1,0,1,1,0,0.423011844332
1,0,1,1,0,1,0,0,1,0,1,1,0,1,0.142978003384
1,0,0,0,1,0,0,1,0,1,1,0,1,1,0.47461928934
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.68358714044
1,0,1,0,0,1,1,1,1,1,1,0,0,1,0.591370558376
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.169204737733
0,1,1,1,1,1,0,0,1,1,0,0,1,1,0.492385786802
1,1,1,1,1,1,0,1,0,0,0,1,1,0,0.231810490694
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0.545685279188
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.264805414552
0,1,0,1,1,0,1,0,1,1,1,0,0,1,0.571065989848
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.150592216582
0,0,1,1,0,1,0,1,0,1,0,0,1,0,0.428087986464
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.665820642978
0,1,1,0,1,0,0,1,0,0,0,1,1,0,0.206429780034
0,1,1,1,0,1,0,1,0,0,1,1,1,1,0.192047377327
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.393401015228
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.253807106599
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0.109983079526
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0.124365482234
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0.2089678511
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.219966159052
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.384940778342
0,1,0,1,1,1,0,1,1,0,0,1,1,0,0.0837563451777
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0.140439932318
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.415397631134
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0.469543147208
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.095600676819
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.215736040609
0,1,1,0,1,1,1,1,1,1,0,0,1,1,0.506768189509
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0.0583756345178
1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.450084602369
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.423011844332
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.620981387479
1,0,0,0,1,0,1,1,1,1,0,0,0,0,0.530456852792
0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.165820642978
