SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandom.2
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.153435114504
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.495674300254
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.717557251908
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.674300254453
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.183715012723
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.832315521628
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.605597964377
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.158778625954
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.560559796438
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.703816793893
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.173536895674
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0208651399491
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.0427480916031
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.650381679389
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.496183206107
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.524427480916
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.0427480916031
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.492111959288
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.210178117048
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.502290076336
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.177608142494
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.189821882952
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.479134860051
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.149363867684
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.664122137405
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.0653944020356
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0.635623409669
0,1,1,0,0,0,1,1,0,0,1,0,0,1,0.146055979644
0,1,1,1,1,1,0,0,0,1,1,1,0,1,0.606106870229
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.509669211196
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.0351145038168
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.517302798982
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.209669211196
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.505852417303
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.617302798982
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.174554707379
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.779389312977
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.0259541984733
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.680661577608
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0.589567430025
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.0483460559796
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.260050890585
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0.188040712468
0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.174809160305
1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.161323155216
0,0,1,1,1,0,1,0,0,1,1,1,0,1,0.71679389313
1,1,0,0,0,0,1,1,1,1,1,0,1,0,0.241475826972
0,1,1,1,0,1,0,0,0,0,1,1,1,0,0.488804071247
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.215012722646
1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.159796437659
1,0,0,0,0,1,1,1,1,1,0,1,1,0,0.62417302799
1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.64427480916
1,0,1,1,1,1,0,0,1,0,1,0,0,1,0.0865139949109
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.0770992366412
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0.316284987277
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0.637404580153
1,1,0,1,0,1,1,0,1,1,0,1,0,1,0.704325699746
1,0,1,0,1,0,1,1,0,1,0,1,1,0,0.64834605598
1,0,1,1,0,1,0,0,1,0,1,1,0,1,0.547073791349
1,0,0,0,1,0,0,1,0,1,1,0,1,1,0.211450381679
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.22213740458
1,0,1,0,0,1,1,1,1,1,1,0,0,1,0.191857506361
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0310432569975
0,1,1,1,1,1,0,0,1,1,0,0,1,1,0.256488549618
1,1,1,1,1,1,0,1,0,0,0,1,1,0,0.484987277354
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0.232061068702
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.649363867684
0,1,0,1,1,0,1,0,1,1,1,0,0,1,0.189821882952
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.0730279898219
0,0,1,1,0,1,0,1,0,1,0,0,1,0,0.362340966921
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.199491094148
0,1,1,0,1,0,0,1,0,0,0,1,1,0,0.486513994911
0,1,1,1,0,1,0,1,0,0,1,1,1,1,0.50737913486
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.690330788804
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.543511450382
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0.0180661577608
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0.483969465649
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0.629007633588
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.548091603053
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.05368956743
0,1,0,1,1,1,0,1,1,0,0,1,1,0,0.51272264631
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0.0264631043257
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.608905852417
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0.609160305344
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.0307888040712
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.0735368956743
0,1,1,0,1,1,1,1,1,1,0,0,1,1,0.17786259542
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0.0595419847328
1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.867938931298
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.686259541985
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.645292620865
1,0,0,0,1,0,1,1,1,1,0,0,0,0,0.203816793893
0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.536132315522
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.210432569975
0,1,1,0,0,0,0,0,1,1,0,1,0,1,0.839694656489
1,0,0,1,1,1,0,1,0,1,1,1,1,0,0.682442748092
0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.149109414758
0,1,1,1,1,0,0,1,1,1,1,1,1,1,0.674554707379
1,0,0,1,1,1,0,1,0,1,1,1,0,1,0.738676844784
0,0,0,1,0,0,1,0,0,1,1,1,1,1,0.617811704835
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0727735368957
1,1,0,1,0,1,1,0,1,1,0,0,0,1,0.272519083969
1,1,1,0,1,0,1,1,0,0,1,1,0,1,0.537659033079
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.173791348601
1,1,0,1,1,0,1,0,1,1,1,1,1,1,0.608651399491
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.536386768448
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0.589312977099
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.646819338422
0,1,1,0,1,1,0,0,1,1,1,1,0,1,0.657760814249
1,0,0,1,1,1,1,0,0,1,0,1,0,0,0.741730279898
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.474300254453
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.497201017812
1,1,0,0,0,1,0,1,0,1,1,1,0,1,0.615267175573
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.117557251908
0,1,1,0,1,0,1,0,0,0,0,1,1,1,0.522900763359
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0.293384223919
1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.560050890585
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0.295674300254
1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.674045801527
0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.50941475827
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0.183969465649
1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.521374045802
1,0,0,0,1,1,1,1,1,1,1,1,0,0,0.647582697201
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0
0,1,1,0,0,0,1,0,0,1,1,1,1,1,0.596692111959
0,1,1,1,0,1,1,0,1,1,0,1,0,0,0.670992366412
0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.548091603053
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0.569720101781
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.058524173028
1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.237404580153
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.0272264631043
1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.570229007634
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0.693638676845
1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.548091603053
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0.175318066158
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.573027989822
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0.200254452926
0,1,0,0,1,1,0,0,0,0,0,1,1,1,0.480407124682
0,0,1,0,1,1,1,1,0,1,0,0,1,0,0.192875318066
0,0,0,0,0,1,1,1,1,0,1,0,1,1,0.0852417302799
0,1,1,1,1,1,0,0,0,1,0,1,0,1,0.684478371501
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0.516030534351
0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.186768447837
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0432569974555
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0623409669211
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.166157760814
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0.215012722646
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.0139949109415
1,1,1,1,0,0,1,0,0,1,1,1,0,1,0.757760814249
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0.20941475827
1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.0618320610687
0,0,0,1,0,1,1,1,1,0,0,1,0,1,0.62417302799
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0.197709923664
0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.0676844783715
1,1,0,0,1,1,1,1,0,0,1,0,1,1,0.0486005089059
0,1,0,1,0,1,0,1,1,1,0,1,0,1,0.652162849873
0,0,1,1,1,0,0,0,0,1,1,1,1,1,0.645292620865
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0.484987277354
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0.550890585242
0,0,1,1,0,0,1,1,1,1,1,0,1,1,0.176081424936
0,1,0,0,1,1,1,0,0,1,1,1,1,1,0.606870229008
1,0,1,0,1,1,0,1,1,0,0,0,0,1,0.165394402036
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.0944020356234
1,0,0,0,0,0,1,1,0,0,0,1,1,0,0.552162849873
1,1,1,1,1,1,1,0,1,0,1,0,0,0,0.103307888041
0,0,0,1,0,1,1,0,1,1,0,0,0,1,0.195674300254
1,0,0,1,1,0,0,1,0,1,1,0,0,0,0.216030534351
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.0432569974555
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0.499745547074
1,1,0,1,1,1,1,0,0,0,1,0,1,1,0.0697201017812
1,0,1,1,0,1,0,1,0,1,1,1,1,0,0.702290076336
1,0,1,1,1,0,0,0,1,1,1,1,1,0,0.617302798982
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.0559796437659
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0.657506361323
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0.0692111959288
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0.472264631043
0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.534605597964
1,1,1,1,0,1,1,0,1,0,1,1,1,0,0.518066157761
1,1,0,0,1,0,1,1,0,1,1,0,0,1,0.217048346056
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.623664122137
0,0,1,1,1,0,1,0,1,1,1,1,1,0,0.591603053435
0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.0544529262087
0,0,0,0,0,1,1,0,1,1,1,0,1,0,0.189821882952
1,0,0,0,0,0,1,1,0,1,1,0,1,0,0.207124681934
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.188295165394
1,1,0,1,0,0,1,1,1,0,0,1,1,1,0.483460559796
1,0,0,0,1,1,1,1,0,0,0,1,0,1,0.50941475827
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.664631043257
1,0,1,0,1,1,0,1,0,1,1,1,0,1,0.663358778626
1,0,1,1,0,0,0,0,1,1,1,1,1,0,0.650636132316
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.0989821882952
0,1,0,1,1,1,1,1,1,1,1,0,1,0,0.208905852417
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.0895674300254
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0.653435114504
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.211704834606
0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.643765903308
1,0,1,1,0,1,1,1,1,0,0,0,1,1,0.0511450381679
0,1,0,0,1,1,1,1,0,0,0,1,1,0,0.534860050891
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0.74096692112
0,0,1,1,0,1,1,1,0,0,0,1,1,0,0.545547073791
1,0,1,0,0,0,1,1,1,0,1,0,0,1,0.0862595419847
0,1,1,0,0,1,0,0,0,1,1,0,0,1,0.26106870229
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.53155216285
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.537150127226
1,1,1,0,1,0,1,1,0,1,0,0,0,1,0.17989821883
1,1,0,0,1,1,0,1,0,0,0,1,1,1,0.498727735369
1,0,1,1,0,1,1,1,1,1,0,1,0,1,0.660814249364
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0.0763358778626
0,1,1,1,0,1,0,1,0,1,1,1,0,1,0.62417302799
0,0,1,0,1,1,0,0,0,0,0,1,1,1,0.502544529262
0,1,0,1,0,1,0,0,1,0,1,1,1,1,0.55368956743
0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.0933842239186
0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.0430025445293
1,1,1,1,0,1,0,0,1,0,0,1,0,1,0.526463104326
1,0,1,0,0,1,0,1,1,0,1,1,0,0,0.557251908397
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0.0407124681934
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0.041475826972
0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.513231552163
0,0,1,0,1,1,1,0,1,0,0,1,0,0,0.534351145038
0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.567938931298
1,0,1,1,1,0,0,1,0,0,1,1,1,0,0.479643765903
0,0,1,0,1,1,0,1,0,1,0,0,1,1,0.176081424936
1,1,0,0,1,0,0,1,1,1,1,0,1,1,0.201272264631
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0.512468193384
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0.237404580153
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0.181933842239
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.53358778626
1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.0491094147583
1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.0417302798982
1,0,0,1,0,1,1,0,1,1,1,1,1,1,0.630534351145
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.662849872774
1,0,0,1,1,1,1,1,0,1,1,0,0,1,0.342493638677
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.196692111959
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0984732824427
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0.113231552163
0,1,1,0,0,0,1,1,1,1,0,1,0,1,0.630534351145
0,0,0,1,1,0,1,0,0,0,0,1,1,0,0.464376590331
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0.0346055979644
0,0,0,0,1,0,0,1,1,0,1,1,0,1,0.525699745547
1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.176590330789
0,1,0,1,1,1,0,1,0,1,0,0,0,1,0.200508905852
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0.535877862595
0,0,0,1,1,0,1,1,1,0,1,1,0,1,0.510178117048
1,1,0,1,0,0,1,0,0,1,1,0,1,0,0.171501272265
0,0,0,1,0,1,0,1,1,0,1,1,0,1,0.510178117048
1,1,1,0,0,1,1,1,1,1,0,1,1,0,0.60737913486
0,1,0,0,0,1,1,1,0,1,1,0,1,0,0.181679389313
1,1,0,0,0,0,1,1,1,1,1,1,0,1,0.632824427481
1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0488549618321
1,1,0,0,1,0,0,0,0,1,0,0,1,1,0.17786259542
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.654452926209
1,1,0,0,0,1,0,0,1,1,1,0,1,1,0.247582697201
1,0,1,1,1,0,1,0,0,0,0,1,1,1,0.512468193384
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0.212213740458
0,1,1,1,1,1,0,0,0,1,0,1,1,1,0.638167938931
0,0,1,1,1,1,1,1,1,0,0,0,1,0,0.0872773536896
1,0,1,1,1,1,0,1,0,1,1,0,1,0,0.208396946565
0,1,0,1,1,0,0,1,1,0,0,1,0,0,0.497709923664
1,1,0,0,0,1,1,1,1,0,0,0,0,1,0.0419847328244
0,0,0,1,1,1,0,1,0,1,0,1,0,1,0.721628498728
0,1,1,1,0,0,1,1,1,1,1,0,0,1,0.219083969466
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.649618320611
1,1,0,1,1,1,0,0,1,1,1,0,0,0,0.21475826972
0,1,0,1,0,0,1,1,0,1,0,0,0,1,0.217302798982
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.55903307888
0,1,0,0,1,0,0,1,0,1,0,1,1,0,0.62951653944
0,0,1,0,1,1,1,1,0,0,0,0,1,1,0.0432569974555
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.215521628499
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.186259541985
1,1,1,1,1,0,1,0,1,0,1,0,0,0,0.0427480916031
0,0,1,0,1,1,0,1,0,0,0,0,1,1,0.0885496183206
0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.541475826972
1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.519338422392
1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0653944020356
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0.213994910941
0,1,1,1,0,0,0,0,0,1,0,1,0,0,0.678371501272
0,1,1,1,1,0,1,1,1,0,1,0,1,0,0.0384223918575
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0554707379135
1,0,0,0,1,0,0,1,1,1,0,1,1,0,0.745801526718
0,1,1,0,0,0,1,0,0,0,1,1,0,1,0.634605597964
1,0,1,0,1,1,1,0,0,1,1,0,0,0,0.205852417303
1,0,0,1,0,0,1,0,0,1,1,1,0,1,0.687786259542
1,0,0,0,0,0,1,1,1,0,1,0,1,0,0.0796437659033
1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.479643765903
0,1,1,1,0,0,1,1,0,1,1,1,1,0,0.635623409669
1,1,0,1,1,0,0,1,0,0,1,1,0,0,0.562849872774
1,1,0,1,0,0,1,0,0,1,1,1,1,1,0.763358778626
0,1,0,0,0,1,0,1,0,1,1,1,1,0,0.716539440204
0,1,1,1,1,0,0,1,0,1,1,0,1,1,0.214503816794
0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.0239185750636
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.160305343511
0,1,1,1,1,1,1,1,0,0,1,0,1,1,0.0442748091603
0,1,0,0,1,0,0,1,0,1,0,0,1,1,0.179134860051
1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.558524173028
1,1,0,0,1,0,0,1,0,0,0,0,1,0,0.0343511450382
0,1,0,0,1,1,1,0,1,0,1,1,1,1,0.507633587786
1,1,1,0,0,1,0,1,1,0,1,0,0,1,0.0458015267176
1,0,0,0,0,0,1,0,1,1,1,0,1,1,0.227480916031
1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.646055979644
