SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch.5
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.875624652971
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.35202665186
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0.11327040533
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0.398112159911
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0.509716823987
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.375902276513
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.0949472515269
0,1,0,1,1,1,0,1,1,0,0,1,1,0,0.374791782343
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0.0438645197113
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.860077734592
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0.88672959467
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.159355913381
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.0338700721821
0,1,1,0,1,1,1,1,1,1,0,0,1,1,0.464741810105
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0.0638534147696
1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.901721265963
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.858967240422
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.8228761799
1,0,0,0,1,0,1,1,1,1,0,0,0,0,0.564686285397
0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.461965574681
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.505274847307
0,1,1,0,0,0,0,0,1,1,0,1,0,1,0.896724042199
1,0,0,1,1,1,0,1,0,1,1,1,1,0,0.859522487507
0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.47084952804
0,1,1,1,1,0,0,1,1,1,1,1,1,1,0.82176568573
1,0,0,1,1,1,0,1,0,1,1,1,0,1,0.874514158801
0,0,0,1,0,0,1,0,0,1,1,1,1,1,0.910605219323
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.182121043865
1,1,0,1,0,1,1,0,1,1,0,0,0,1,0.496390893948
1,1,1,0,1,0,1,1,0,0,1,1,0,1,0.438645197113
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.146029983343
1,1,0,1,1,0,1,0,1,1,1,1,1,1,0.796779566907
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.358134369795
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0.420877290394
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.865074958356
0,1,1,0,1,1,0,0,1,1,1,1,0,1,0.810660744031
1,0,0,1,1,1,1,0,0,1,0,1,0,0,0.867295946696
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.394225430316
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.493059411438
1,1,0,0,0,1,0,1,0,1,1,1,0,1,0.866185452526
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.168795113826
0,1,1,0,1,0,1,0,0,0,0,1,1,1,0.396446418656
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0.560244308717
1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.461410327596
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0.575235980011
1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.930594114381
0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.486396446419
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0.435313714603
1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.440310938368
1,0,0,0,1,1,1,1,1,1,1,1,0,0,0.898945030539
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.150471960022
0,1,1,0,0,0,1,0,0,1,1,1,1,1,0.845641310383
0,1,1,1,0,1,1,0,1,1,0,1,0,0,0.821210438645
0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.318156579678
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0.411993337035
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.0610771793448
1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.573570238756
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.0788450860633
1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.411993337035
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0.873403664631
1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.366463076069
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0.5313714603
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.487506940589
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0.646307606885
0,1,0,0,1,1,0,0,0,0,0,1,1,1,0.475846751805
0,0,1,0,1,1,1,1,0,1,0,0,1,0,0.499167129373
0,0,0,0,0,1,1,1,1,0,1,0,1,1,0.120488617435
0,1,1,1,1,1,0,0,0,1,0,1,0,1,0.856191004997
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0.432537479178
0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.423653525819
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.17601332593
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.134369794559
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.516935036091
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0.557468073293
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.0388672959467
1,1,1,1,0,0,1,0,0,1,1,1,0,1,0.899500277624
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0.502498611882
1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.139367018323
0,0,0,1,0,1,1,1,1,0,0,1,0,1,0.47084952804
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0.473625763465
0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.082176568573
1,1,0,0,1,1,1,1,0,0,1,0,1,1,0.197667962243
0,1,0,1,0,1,0,1,1,1,0,1,0,1,0.866185452526
0,0,1,1,1,0,0,0,0,1,1,1,1,1,0.957801221544
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0.355913381455
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0.46751804553
0,0,1,1,0,0,1,1,1,1,1,0,1,1,0.5313714603
0,1,0,0,1,1,1,0,0,1,1,1,1,1,0.82176568573
1,0,1,0,1,1,0,1,1,0,0,0,0,1,0.186007773459
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.0505274847307
1,0,0,0,0,0,1,1,0,0,0,1,1,0,0.399777901166
1,1,1,1,1,1,1,0,1,0,1,0,0,0,0.106607440311
0,0,0,1,0,1,1,0,1,1,0,0,0,1,0.463076068851
1,0,0,1,1,0,0,1,0,1,1,0,0,0,0.59300388673
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.128817323709
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0.375347029428
1,1,0,1,1,1,1,0,0,0,1,0,1,1,0.0788450860633
1,0,1,1,0,1,0,1,0,1,1,1,1,0,0.846751804553
1,0,1,1,1,0,0,0,1,1,1,1,1,0,0.771238200999
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.185452526374
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0.744031093837
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0.0849528039978
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0.392559689062
0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.403109383676
1,1,1,1,0,1,1,0,1,0,1,1,1,0,0.379233759023
1,1,0,0,1,0,1,1,0,1,1,0,0,1,0.611882287618
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.893947806774
0,0,1,1,1,0,1,0,1,1,1,1,1,0,0.750694058856
0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.118267629095
0,0,0,0,0,1,1,0,1,1,1,0,1,0,0.519711271516
1,0,0,0,0,0,1,1,0,1,1,0,1,0,0.451971127152
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.562465297057
1,1,0,1,0,0,1,1,1,0,0,1,1,1,0.40699611327
1,0,0,0,1,1,1,1,0,0,0,1,0,1,0.379233759023
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.890616324264
1,0,1,0,1,1,0,1,0,1,1,1,0,1,0.852304275403
1,0,1,1,0,0,0,0,1,1,1,1,1,0,0.780122154359
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.0799555802332
0,1,0,1,1,1,1,1,1,1,1,0,1,0,0.540255413659
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.0127706829539
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0.88117712382
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.545807884509
0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.846751804553
1,0,1,1,0,1,1,1,1,0,0,0,1,1,0.103275957801
0,1,0,0,1,1,1,1,0,0,0,1,1,0,0.4686285397
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0.812326485286
0,0,1,1,0,1,1,1,0,0,0,1,1,0,0.432537479178
1,0,1,0,0,0,1,1,1,0,1,0,0,1,0.166574125486
0,1,1,0,0,1,0,0,0,1,1,0,0,1,0.573014991671
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.380344253193
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.534147695725
1,1,1,0,1,0,1,1,0,1,0,0,0,1,0.549139367018
1,1,0,0,1,1,0,1,0,0,0,1,1,1,0.438645197113
1,0,1,1,0,1,1,1,1,1,0,1,0,1,0.867295946696
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0.131038312049
0,1,1,1,0,1,0,1,0,1,1,1,0,1,0.759578012215
0,0,1,0,1,1,0,0,0,0,0,1,1,1,0.413103831205
0,1,0,1,0,1,0,0,1,0,1,1,1,1,0.392559689062
0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.0955024986119
0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.169905607996
1,1,1,1,0,1,0,0,1,0,0,1,0,1,0.40921710161
1,0,1,0,0,1,0,1,1,0,1,1,0,0,0.446973903387
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0.0205441421433
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0.082731815658
0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.41032759578
0,0,1,0,1,1,1,0,1,0,0,1,0,0,0.421432537479
0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.515824541921
1,0,1,1,1,0,0,1,0,0,1,1,1,0,0.441421432537
0,0,1,0,1,1,0,1,0,1,0,0,1,1,0.441421432537
1,1,0,0,1,0,0,1,1,1,1,0,1,1,0.538589672404
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0.449750138812
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0.58745141588
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0.480288728484
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.389783453637
1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.105496946141
1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.133259300389
1,0,0,1,0,1,1,0,1,1,1,1,1,1,0.835091615769
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.823431426985
1,0,0,1,1,1,1,1,0,1,1,0,0,1,0.492504164353
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.420877290394
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0444197667962
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0.0755136035536
0,1,1,0,0,0,1,1,1,1,0,1,0,1,0.94503053859
0,0,0,1,1,0,1,0,0,0,0,1,1,0,0.330927262632
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0.132704053304
0,0,0,0,1,0,0,1,1,0,1,1,0,1,0.394780677401
1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.573570238756
0,1,0,1,1,1,0,1,0,1,0,0,0,1,0.609106052193
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0.447529150472
0,0,0,1,1,0,1,1,1,0,1,1,0,1,0.453636868406
1,1,0,1,0,0,1,0,0,1,1,0,1,0,0.550249861188
0,0,0,1,0,1,0,1,1,0,1,1,0,1,0.426985008329
1,1,1,0,0,1,1,1,1,1,0,1,1,0,0.800111049417
0,1,0,0,0,1,1,1,0,1,1,0,1,0,0.579122709606
1,1,0,0,0,0,1,1,1,1,1,1,0,1,0.932815102721
1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0666296501943
1,1,0,0,1,0,0,0,0,1,0,0,1,1,0.490283176013
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.842865074958
1,1,0,0,0,1,0,0,1,1,1,0,1,1,0.456413103831
1,0,1,1,1,0,1,0,0,0,0,1,1,1,0.422543031649
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0.679622431982
0,1,1,1,1,1,0,0,0,1,0,1,1,1,0.782898389783
0,0,1,1,1,1,1,1,1,0,0,0,1,0,0.093836757357
1,0,1,1,1,1,0,1,0,1,1,0,1,0,0.474736257635
0,1,0,1,1,0,0,1,1,0,0,1,0,0,0.504164353137
1,1,0,0,0,1,1,1,1,0,0,0,0,1,0.11660188784
0,0,0,1,1,1,0,1,0,1,0,1,0,1,0.806774014436
0,1,1,1,0,0,1,1,1,1,1,0,0,1,0.589117157135
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.849528039978
1,1,0,1,1,1,0,0,1,1,1,0,0,0,0.570238756247
0,1,0,1,0,0,1,1,0,1,0,0,0,1,0.520266518601
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.446973903387
0,1,0,0,1,0,0,1,0,1,0,1,1,0,0.817323709051
0,0,1,0,1,1,1,1,0,0,0,0,1,1,0.0916157690172
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.627984453082
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.483064963909
1,1,1,1,1,0,1,0,1,0,1,0,0,0,0.147140477512
0,0,1,0,1,1,0,1,0,0,0,0,1,1,0.131593559134
0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.429205996669
1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.455302609661
1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0694058856191
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0.474736257635
0,1,1,1,0,0,0,0,0,1,0,1,0,0,0.857856746252
0,1,1,1,1,0,1,1,1,0,1,0,1,0,0.0732926152138
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.138256524153
1,0,0,0,1,0,0,1,1,1,0,1,1,0,0.838978345364
0,1,1,0,0,0,1,0,0,0,1,1,0,1,0.451415880067
1,0,1,0,1,1,1,0,0,1,1,0,0,0,0.534147695725
1,0,0,1,0,0,1,0,0,1,1,1,0,1,0.891171571349
1,0,0,0,0,0,1,1,1,0,1,0,1,0,0.0882842865075
1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.379233759023
0,1,1,1,0,0,1,1,0,1,1,1,1,0,0.835091615769
1,1,0,1,1,0,0,1,0,0,1,1,0,0,0.3542476402
1,1,0,1,0,0,1,0,0,1,1,1,1,1,0.857856746252
0,1,0,0,0,1,0,1,0,1,1,1,1,0,0.930594114381
0,1,1,1,1,0,0,1,0,1,1,0,1,1,0.525263742365
0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.0477512493059
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.164908384231
