SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K.6
1,1,1,0,1,1,0,0,1,0,1,1,1,1,128.59
0,0,0,0,1,0,1,0,1,0,1,0,1,0,127.04
0,0,0,1,1,1,0,0,0,0,0,1,1,1,124.32
1,0,0,0,1,0,1,1,0,0,1,0,1,0,145.05
1,0,0,1,0,1,0,1,1,0,0,0,1,0,145.1
0,1,1,0,0,0,1,1,1,1,1,1,0,0,128.69
1,0,1,1,0,0,0,0,1,1,1,0,1,0,135.32
0,0,0,1,1,0,0,1,0,1,1,0,1,1,114.67
1,1,1,1,1,0,0,1,1,1,0,0,1,0,112.05
1,0,1,0,0,1,1,1,1,0,1,1,0,1,134.42
0,1,0,1,1,1,0,0,1,1,0,0,1,0,115.46
0,1,1,1,1,1,1,0,1,1,1,0,1,0,116.03
0,1,0,1,0,0,1,1,1,1,1,0,0,0,116.89
1,0,1,1,1,0,1,0,1,1,0,1,1,0,151.93
1,0,0,1,1,1,1,0,0,0,1,1,1,0,148.68
1,0,0,1,0,0,1,1,0,0,0,0,0,1,149.28
1,1,1,0,0,1,0,0,1,0,1,0,1,1,186.59
0,0,1,1,0,1,0,1,1,1,0,0,0,0,177.51
1,0,0,0,1,1,0,1,0,1,1,1,1,0,194.8
1,1,1,0,0,0,0,1,0,0,0,0,0,1,165.34
0,0,1,0,1,1,1,0,0,0,1,0,0,0,128.03
1,1,1,0,0,0,0,0,0,1,1,0,0,0,155.17
0,0,0,0,0,1,1,1,1,0,0,1,1,0,139.8
0,0,1,1,1,0,1,1,0,0,1,0,0,0,139.25
0,1,0,0,0,1,1,1,1,1,0,1,1,0,135.91
0,0,0,1,0,0,0,0,0,1,1,0,0,1,151.39
1,0,0,0,1,1,0,1,0,1,1,1,0,0,169.01
0,0,1,1,0,0,1,1,0,1,1,1,1,0,157.71
0,1,1,1,1,0,1,0,0,0,1,0,1,0,148.14
0,0,0,1,0,0,0,0,0,1,0,1,1,0,128.68
0,1,0,1,0,0,1,0,0,1,1,0,1,1,120.54
0,0,1,1,1,0,1,0,1,1,1,0,1,0,105.86
0,0,0,1,1,0,1,0,1,1,0,0,1,0,115.03
0,0,1,0,0,0,0,0,1,0,1,0,1,1,106.28
0,0,1,0,1,0,1,0,0,0,0,0,0,1,112.68
0,1,1,1,1,1,1,0,1,1,0,1,1,1,114.37
1,1,0,1,0,0,0,1,0,1,0,1,0,0,129.42
1,0,1,1,0,0,0,1,1,1,1,0,0,0,168.75
1,1,0,0,1,1,1,0,0,0,0,1,1,0,821.31
1,0,0,1,1,1,1,0,1,1,1,1,0,1,722.86
0,0,0,0,0,1,0,1,0,0,0,0,0,1,981.32
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1023.5
0,0,1,1,0,0,1,1,0,0,1,1,0,0,904.05
1,1,1,0,1,0,1,1,1,1,0,1,0,0,1020.6
0,0,0,1,1,0,0,0,0,1,1,0,1,0,982.48
1,1,0,0,1,0,0,0,1,0,0,1,1,0,215.49
0,1,0,1,1,0,0,0,0,0,0,1,1,0,180.37
1,0,0,1,0,1,0,0,1,1,1,1,1,0,245.8
1,1,1,1,1,1,0,0,1,1,1,0,0,0,174.6
1,0,1,0,1,1,0,0,1,1,1,1,0,1,177.42
0,0,1,1,0,1,0,1,0,0,1,1,0,1,189.9
0,1,0,1,0,0,1,1,1,1,1,0,1,1,159.17
1,0,0,1,1,1,1,0,1,0,0,1,1,0,176.22
1,0,0,1,1,0,1,0,1,1,0,1,1,0,150.66
0,0,1,1,0,0,0,0,1,1,0,0,1,0,129.16
0,0,0,0,1,1,1,1,1,0,1,0,1,0,130.67
1,0,0,1,1,1,1,1,1,0,1,0,0,1,114.58
1,1,0,0,0,1,0,0,1,0,0,1,0,0,127.75
1,0,1,1,0,0,0,0,0,0,1,1,0,0,106.82
1,0,1,0,1,0,0,0,1,0,0,1,0,0,127.45
0,1,1,1,1,1,0,1,1,0,0,0,0,0,122.51
0,1,0,0,0,1,0,0,1,0,1,1,0,0,114.32
1,0,0,0,1,1,0,0,0,1,1,0,0,1,114.11
1,1,0,1,1,0,0,1,1,0,0,1,0,0,116.05
1,0,1,1,0,1,0,1,1,1,1,0,1,1,117.67
0,1,1,0,1,1,1,0,0,1,1,0,0,1,98.612
1,1,0,1,0,0,1,1,0,0,1,1,1,0,113.7
0,1,0,1,1,0,1,1,0,1,1,0,1,0,99.883
1,0,0,1,1,0,1,1,0,1,0,1,0,1,124.77
1,1,1,0,1,0,0,0,1,0,0,0,0,1,119.99
0,0,1,1,0,0,1,0,0,1,0,1,0,1,97.662
0,1,1,0,0,0,1,1,0,0,1,0,0,1,101.91
0,1,1,1,1,1,0,0,0,1,1,1,0,1,98.17
1,0,1,0,0,0,1,0,1,0,0,1,0,0,105.85
0,0,1,0,0,1,1,0,1,0,0,0,1,1,102.42
1,1,1,0,0,0,0,1,0,0,1,1,1,1,98.652
0,0,0,1,0,1,1,1,1,1,0,0,0,0,108.59
0,1,1,0,0,0,0,0,1,0,1,1,1,1,106.31
0,1,0,0,0,0,0,1,0,1,1,1,1,0,104.17
0,1,1,1,1,0,1,1,1,1,1,0,0,0,129.73
0,0,0,1,1,0,0,0,0,1,1,1,0,1,123.4
1,0,1,0,0,1,0,0,0,0,0,0,1,1,130.24
1,0,1,0,1,1,0,0,1,1,0,1,0,0,157.88
0,1,1,1,0,1,0,0,0,0,0,1,0,0,175.81
1,0,1,1,0,1,0,1,0,0,0,0,1,1,149.5
0,1,1,1,1,0,0,1,1,1,1,0,0,0,134.07
0,1,0,1,1,0,1,0,0,1,1,0,1,0,137.4
0,0,1,1,1,0,0,1,1,1,1,0,1,0,107.81
1,0,1,1,1,1,1,1,0,1,1,0,1,0,129.58
0,0,1,1,1,0,1,0,0,1,1,1,0,1,138.55
1,1,0,0,0,0,1,1,1,1,1,0,1,0,122.17
0,1,1,1,0,1,0,0,0,0,1,1,1,0,125.89
1,1,1,1,0,1,1,1,1,1,1,0,1,1,138.84
1,1,1,0,0,0,1,0,0,1,1,0,1,1,117.25
1,0,0,0,0,1,1,1,1,1,0,1,1,0,140.57
1,1,0,1,1,0,1,1,0,1,0,1,1,1,132.67
1,0,1,1,1,1,0,0,1,0,1,0,0,1,127.58
0,0,1,1,0,0,1,0,0,0,1,0,1,0,119.89
1,1,0,1,0,1,0,1,0,1,0,0,0,0,109.28
1,1,1,0,0,1,1,0,1,0,0,1,0,0,153.84
1,1,0,1,0,1,1,0,1,1,0,1,0,1,134.64
1,0,1,0,1,0,1,1,0,1,0,1,1,0,167.79
1,0,1,1,0,1,0,0,1,0,1,1,0,1,141.98
1,0,0,0,1,0,0,1,0,1,1,0,1,1,147.59
1,0,0,1,0,0,0,1,1,1,1,0,0,0,120.58
1,0,1,0,0,1,1,1,1,1,1,0,0,1,114.59
1,0,0,0,0,1,0,1,0,0,0,0,1,0,109.14
0,1,1,1,1,1,0,0,1,1,0,0,1,1,127.19
1,1,1,1,1,1,0,1,0,0,0,1,1,0,117.37
1,1,1,1,0,0,1,0,1,1,0,0,1,0,112.24
0,1,0,1,0,0,1,0,1,0,0,1,0,0,115.68
0,1,0,1,1,0,1,0,1,1,1,0,0,1,105.93
0,0,1,1,0,1,0,1,1,0,0,0,0,0,202.37
0,0,1,1,0,1,0,1,0,1,0,0,1,0,98.171
0,0,0,1,1,0,0,0,0,1,1,0,1,0,89.702
0,1,1,0,1,0,0,1,0,0,0,1,1,0,108.77
0,1,1,1,0,1,0,1,0,0,1,1,1,1,105.31
1,1,0,0,1,1,1,0,0,1,1,1,1,1,113.53
1,1,1,0,0,0,0,1,1,0,0,1,1,1,108.58
1,1,1,1,1,1,0,1,1,0,0,0,1,0,118.0
1,1,0,0,0,1,0,1,1,0,1,1,1,0,101.21
0,1,0,0,0,1,0,1,1,0,0,1,0,0,99.881
1,0,1,1,1,1,0,1,1,0,0,1,1,1,90.828
1,0,0,1,1,1,0,0,1,0,1,0,1,1,94.425
0,1,0,1,1,1,0,1,1,0,0,1,1,0,99.266
1,1,1,1,1,1,1,1,1,0,0,0,1,0,90.112
0,0,1,1,1,1,0,1,1,1,1,1,1,1,90.689
0,1,1,0,0,0,0,0,0,1,0,1,1,1,111.03
1,0,1,0,0,0,1,1,1,0,0,0,0,1,99.023
1,1,0,1,0,0,0,0,0,0,0,0,1,0,95.951
0,1,1,0,1,1,1,1,1,1,0,0,1,1,84.848
1,1,1,1,1,0,1,0,1,0,0,0,1,1,82.244
1,1,1,0,0,1,0,0,0,1,1,1,0,0,80.573
0,1,1,1,1,0,1,0,0,1,1,1,1,0,90.152
1,1,1,1,1,0,1,0,1,1,0,1,1,0,90.178
1,0,0,0,1,0,1,1,1,1,0,0,0,0,82.055
0,1,0,0,0,1,0,1,1,0,0,1,1,1,84.769
0,1,0,0,1,0,0,1,1,1,0,0,1,1,80.259
0,1,1,0,0,0,0,0,1,1,0,1,0,1,82.458
1,0,0,1,1,1,0,1,0,1,1,1,1,0,82.915
0,0,1,0,1,0,0,1,1,1,1,0,1,0,80.37
0,1,1,1,1,0,0,1,1,1,1,1,1,1,81.41
1,0,0,1,1,1,0,1,0,1,1,1,0,1,81.71
0,0,0,1,0,0,1,0,0,1,1,1,1,1,90.894
1,0,0,0,1,1,1,0,0,0,0,0,0,0,85.728
1,1,0,1,0,1,1,0,1,1,0,0,0,1,73.816
1,1,1,0,1,0,1,1,0,0,1,1,0,1,81.41
0,0,1,0,0,0,0,0,1,0,0,0,0,1,84.429
1,1,0,1,1,0,1,0,1,1,1,1,1,1,74.183
0,0,1,1,1,1,0,1,0,0,0,1,0,1,82.235
0,0,1,1,1,1,1,0,1,0,0,1,0,0,92.523
0,1,1,1,0,0,0,0,0,1,1,1,1,1,81.334
0,1,1,0,1,1,0,0,1,1,1,1,0,1,88.625
1,0,0,1,1,1,1,0,0,1,0,1,0,0,90.148
0,1,0,1,1,1,1,1,1,0,0,1,1,1,90.053
1,0,1,1,0,0,0,0,0,0,1,1,1,0,98.28
1,1,0,0,0,1,0,1,0,1,1,1,0,1,104.84
0,1,0,0,0,0,0,1,1,0,0,0,0,1,105.09
0,1,1,0,1,0,1,0,0,0,0,1,1,1,112.57
1,0,1,1,0,0,0,0,1,1,1,0,0,0,98.713
1,1,1,0,1,1,0,1,1,0,0,1,0,1,105.96
0,1,1,1,1,1,1,0,0,1,0,0,0,0,105.37
1,0,1,0,1,1,0,1,1,1,1,1,1,0,107.76
0,0,1,0,1,0,0,1,1,0,0,1,0,0,108.87
1,0,0,1,1,1,0,1,0,1,0,0,1,0,96.294
1,0,1,1,1,0,0,0,1,0,0,1,0,1,107.27
1,0,0,0,1,1,1,1,1,1,1,1,0,0,89.158
0,0,0,0,1,0,0,1,0,0,0,0,1,0,98.173
0,1,1,0,0,0,1,0,0,1,1,1,1,1,100.85
0,1,1,1,0,1,1,0,1,1,0,1,0,0,96.875
0,0,0,0,1,1,1,1,1,0,0,1,1,1,99.819
1,1,1,0,0,1,1,0,1,0,0,1,1,1,99.233
0,1,1,0,0,1,1,0,1,0,0,0,0,0,99.898
1,1,1,0,0,1,0,1,1,1,1,0,1,0,88.626
0,1,1,1,0,1,0,0,1,0,0,0,1,0,80.316
1,1,1,1,0,1,0,0,1,0,1,1,1,1,82.637
1,1,1,0,1,0,1,1,0,1,1,1,0,0,80.175
1,1,0,1,0,0,1,0,0,0,0,1,0,0,89.714
1,1,0,0,1,0,0,0,1,1,1,0,1,1,98.591
1,1,0,0,0,1,0,1,0,0,0,1,0,0,99.001
0,1,0,1,1,1,1,0,0,1,1,0,0,0,92.049
0,1,0,0,1,1,0,0,0,0,0,1,1,1,99.154
0,0,1,0,1,1,1,1,0,1,0,0,1,0,80.465
0,0,0,0,0,1,1,1,1,0,1,0,1,1,90.84
0,1,1,1,1,1,0,0,0,1,0,1,0,1,97.658
1,1,1,1,1,0,1,0,1,0,0,1,1,1,90.029
0,1,1,1,0,1,1,0,0,1,1,0,1,1,89.49
0,0,0,0,0,0,1,0,1,0,1,0,0,0,89.746
0,0,0,1,0,0,0,0,1,0,1,0,0,1,92.978
0,1,0,0,0,0,0,0,0,1,1,0,1,1,71.211
1,1,0,0,1,1,1,1,1,1,1,0,0,1,84.704
0,1,0,1,0,0,1,0,1,0,0,0,1,0,89.441
1,1,1,1,0,0,1,0,0,1,1,1,0,1,81.819
1,1,0,1,0,0,0,0,0,1,1,0,1,0,80.748
1,0,0,1,1,1,1,1,0,0,0,0,0,1,79.999
0,0,0,1,0,1,1,1,1,0,0,1,0,1,82.529
1,1,0,0,0,0,1,0,1,1,0,0,1,0,86.242
0,0,0,1,1,1,0,1,1,0,1,0,1,0,81.703
1,1,0,0,1,1,1,1,0,0,1,0,1,1,71.812
0,1,0,1,0,1,0,1,1,1,0,1,0,1,82.05
0,0,1,1,1,0,0,0,0,1,1,1,1,1,86.54
1,0,0,0,1,0,1,1,1,0,0,1,1,0,81.337
0,0,1,1,1,1,1,1,0,0,1,1,0,1,81.254
0,0,1,1,0,0,1,1,1,1,1,0,1,1,93.38
0,1,0,0,1,1,1,0,0,1,1,1,1,1,97.858
1,0,1,0,1,1,0,1,1,0,0,0,0,1,90.218
0,1,1,0,1,0,1,1,0,0,0,0,0,0,94.273
1,0,0,0,0,0,1,1,0,0,0,1,1,0,97.427
1,1,1,1,1,1,1,0,1,0,1,0,0,0,89.535
0,0,0,1,0,1,1,0,1,1,0,0,0,1,89.328
1,0,0,1,1,0,0,1,0,1,1,0,0,0,98.333
1,0,0,1,0,0,1,0,0,0,1,0,1,0,90.711
1,1,1,0,0,1,0,0,0,0,0,1,1,0,88.288
1,1,0,1,1,1,1,0,0,0,1,0,1,1,99.012
1,0,1,1,0,1,0,1,0,1,1,1,1,0,89.691
1,0,1,1,1,0,0,0,1,1,1,1,1,0,90.807
1,0,1,0,0,1,0,0,1,0,1,0,0,0,88.878
0,0,1,0,0,0,1,1,1,1,0,1,1,1,102.03
0,1,1,1,0,1,0,1,1,0,0,0,0,0,97.799
0,0,1,0,0,0,1,1,1,0,1,1,1,1,91.144
0,1,0,0,1,0,0,1,1,0,1,1,0,1,114.26
1,1,1,1,0,1,1,0,1,0,1,1,1,0,108.56
1,1,0,0,1,0,1,1,0,1,1,0,0,1,88.019
1,0,1,1,1,1,0,1,1,1,1,1,1,1,209.18
0,0,1,1,1,0,1,0,1,1,1,1,1,0,89.276
0,1,0,1,1,1,1,1,1,0,1,0,1,1,102.97
0,0,0,0,0,1,1,0,1,1,1,0,1,0,94.435
1,0,0,0,0,0,1,1,0,1,1,0,1,0,99.858
0,0,0,1,0,0,0,0,0,1,0,0,1,1,99.346
1,1,0,1,0,0,1,1,1,0,0,1,1,1,97.436
1,0,0,0,1,1,1,1,0,0,0,1,0,1,97.999
1,0,1,0,1,0,1,1,0,1,0,1,0,0,98.747
1,0,1,0,1,1,0,1,0,1,1,1,0,1,97.794
1,0,1,1,0,0,0,0,1,1,1,1,1,0,110.05
0,0,1,0,1,1,1,0,0,0,0,0,1,0,118.4
0,1,0,1,1,1,1,1,1,1,1,0,1,0,106.23
0,1,0,1,0,0,0,0,0,0,1,0,1,0,103.25
1,0,0,1,0,0,1,1,0,1,1,1,0,1,116.98
0,1,0,0,0,0,0,0,1,1,0,0,0,1,108.2
0,0,1,0,0,1,1,0,1,1,1,1,0,0,114.27
1,0,1,1,0,1,1,1,1,0,0,0,1,1,105.68
0,1,0,0,1,1,1,1,0,0,0,1,1,0,114.34
1,1,0,0,0,0,0,1,1,1,0,1,0,0,119.5
0,0,1,1,0,1,1,1,0,0,0,1,1,0,113.06
1,0,1,0,0,0,1,1,1,0,1,0,0,1,106.69
0,1,1,0,0,1,0,0,0,1,1,0,0,1,111.86
1,1,0,0,0,0,0,0,0,0,0,1,1,1,104.14
1,0,0,1,0,1,0,0,1,0,1,1,0,0,117.66
1,1,1,0,1,0,1,1,0,1,0,0,0,1,120.65
1,1,0,0,1,1,0,1,0,0,0,1,1,1,114.12
1,0,1,1,0,1,1,1,1,1,0,1,0,1,111.74
0,0,0,0,1,0,1,1,1,0,1,0,0,1,107.52
0,1,1,1,0,1,0,1,0,1,1,1,0,1,115.42
0,0,1,0,1,1,0,0,0,0,0,1,1,1,105.27
0,1,0,1,0,1,0,0,1,0,1,1,1,1,109.01
0,1,1,0,0,0,1,1,0,0,0,0,0,1,95.729
0,1,1,1,1,0,1,0,0,0,0,0,0,1,109.95
1,1,1,1,0,1,0,0,1,0,0,1,0,1,104.59
1,0,1,0,0,1,0,1,1,0,1,1,0,0,121.2
1,0,1,0,0,0,0,1,1,0,1,0,1,0,103.75
0,1,1,0,0,1,0,0,1,0,1,0,1,1,107.12
0,0,0,0,0,0,1,0,1,0,1,1,1,0,108.13
0,0,1,0,1,1,1,0,1,0,0,1,0,0,113.58
0,0,1,1,1,0,0,0,1,0,0,1,0,0,124.6
1,0,1,1,1,0,0,1,0,0,1,1,1,0,118.45
0,0,1,0,1,1,0,1,0,1,0,0,1,1,117.96
1,1,0,0,1,0,0,1,1,1,1,0,1,1,119.27
1,1,0,0,1,1,0,1,0,0,0,1,0,1,113.35
1,0,1,1,0,0,0,0,0,1,0,0,1,0,121.58
1,1,0,0,0,1,0,0,1,1,0,0,1,0,110.48
0,1,0,1,1,0,0,0,0,0,0,1,1,0,116.4
1,0,0,1,0,1,0,0,0,0,1,0,0,1,110.32
1,1,1,0,0,1,0,1,1,0,0,0,1,0,116.27
1,0,0,1,0,1,1,0,1,1,1,1,1,1,107.19
1,1,0,1,1,0,1,1,1,1,1,1,1,0,120.51
1,0,0,1,1,1,1,1,0,1,1,0,0,1,107.23
0,0,1,0,1,1,0,0,0,1,0,0,1,0,108.0
1,1,1,1,0,0,0,1,0,0,0,0,0,0,98.131
1,1,1,1,0,0,1,1,0,0,0,0,0,1,88.011
0,1,1,0,0,0,1,1,1,1,0,1,0,1,82.762
0,0,0,1,1,0,1,0,0,0,0,1,1,0,81.295
0,1,0,1,1,0,1,0,1,0,0,0,1,0,87.015
0,0,0,0,1,0,0,1,1,0,1,1,0,1,73.142
1,1,0,0,0,1,1,1,1,1,1,0,0,0,71.641
0,1,0,1,1,1,0,1,0,1,0,0,0,1,75.643
1,0,0,1,0,0,0,1,0,0,1,1,0,0,82.827
0,0,0,1,1,0,1,1,1,0,1,1,0,1,76.731
1,1,0,1,0,0,1,0,0,1,1,0,1,0,71.989
0,0,0,1,0,1,0,1,1,0,1,1,0,1,79.997
1,1,1,0,0,1,1,1,1,1,0,1,1,0,81.86
0,1,0,0,0,1,1,1,0,1,1,0,1,0,75.428
1,1,0,0,0,0,1,1,1,1,1,1,0,1,79.121
1,0,0,1,1,1,1,1,1,0,0,0,1,1,80.061
1,1,0,0,1,0,0,0,0,1,0,0,1,1,84.315
1,0,0,1,1,1,1,1,1,1,1,1,0,1,86.161
1,1,0,0,0,1,0,0,1,1,1,0,1,1,72.397
1,0,1,1,1,0,1,0,0,0,0,1,1,1,72.741
1,1,1,1,1,1,0,0,0,1,1,0,0,0,80.067
0,1,1,1,1,1,0,0,0,1,0,1,1,1,74.617
0,0,1,1,1,1,1,1,1,0,0,0,1,0,74.073
1,0,1,1,1,1,0,1,0,1,1,0,1,0,82.202
0,1,0,1,1,0,0,1,1,0,0,1,0,0,71.828
1,1,0,0,0,1,1,1,1,0,0,0,0,1,72.295
0,0,0,1,1,1,0,1,0,1,0,1,0,1,84.083
0,1,1,1,0,0,1,1,1,1,1,0,0,1,73.376
1,1,1,1,1,1,1,1,1,1,1,1,0,1,73.274
1,1,0,1,1,1,0,0,1,1,1,0,0,0,72.304
0,1,0,1,0,0,1,1,0,1,0,0,0,1,74.236
0,0,1,0,0,0,1,0,0,0,0,1,0,1,75.9
0,1,0,0,1,0,0,1,0,1,0,1,1,0,72.91
0,0,1,0,1,1,1,1,0,0,0,0,1,1,65.159
0,0,0,0,0,0,0,0,1,1,0,0,0,0,66.559
0,0,0,0,0,0,1,1,1,1,0,0,1,0,64.326
1,1,1,1,1,0,1,0,1,0,1,0,0,0,65.262
0,0,1,0,1,1,0,1,0,0,0,0,1,1,79.63
0,0,1,0,0,1,0,0,1,0,0,1,1,0,75.838
1,0,0,0,1,0,0,1,1,0,1,1,1,0,75.334
1,0,0,1,1,0,0,0,0,0,1,0,0,1,65.087
0,0,0,1,0,1,1,0,0,1,0,0,0,0,65.406
0,1,1,1,0,0,0,0,0,1,0,1,0,0,65.963
0,1,1,1,1,0,1,1,1,0,1,0,1,0,64.701
1,0,1,0,0,1,1,0,0,0,0,0,0,0,62.721
1,0,0,0,1,0,0,1,1,1,0,1,1,0,63.617
0,1,1,0,0,0,1,0,0,0,1,1,0,1,64.722
1,0,1,0,1,1,1,0,0,1,1,0,0,0,73.568
1,0,0,1,0,0,1,0,0,1,1,1,0,1,73.645
1,0,0,0,0,0,1,1,1,0,1,0,1,0,71.681
1,1,0,0,0,0,0,1,0,0,1,1,1,0,71.321
0,1,1,1,0,0,1,1,0,1,1,1,1,0,72.133
1,1,0,1,1,0,0,1,0,0,1,1,0,0,72.421
1,1,0,1,0,0,1,0,0,1,1,1,1,1,84.675
0,1,0,0,0,1,0,1,0,1,1,1,1,0,72.483
0,1,1,1,1,0,0,1,0,1,1,0,1,1,71.727
0,0,0,0,0,0,1,0,1,0,1,0,1,1,83.643
0,1,1,1,1,0,0,0,1,0,0,0,0,0,75.395
0,1,1,1,1,1,1,1,0,0,1,0,1,1,63.747
0,1,0,0,1,0,0,1,0,1,0,0,1,1,62.856
1,0,1,0,0,0,0,1,0,0,1,1,0,0,64.924
1,1,0,0,1,0,0,1,0,0,0,0,1,0,65.592
0,1,0,0,1,1,1,0,1,0,1,1,1,1,72.531
1,1,1,0,0,1,0,1,1,0,1,0,0,1,63.618
1,0,0,0,0,0,1,0,1,1,1,0,1,1,63.975
1,0,0,1,1,0,1,1,1,1,1,1,1,1,66.156
1,1,0,1,1,1,0,0,1,1,0,1,0,0,62.83
0,1,1,1,0,0,1,1,1,1,1,0,0,0,62.477
0,0,0,1,0,1,0,1,0,0,1,0,0,0,62.401
1,0,1,0,0,1,1,0,0,1,1,1,1,0,64.261
0,1,1,0,0,0,0,1,1,1,0,0,1,0,65.336
1,0,0,1,0,1,1,0,0,1,1,1,1,1,63.241
1,0,1,0,1,0,0,0,1,1,1,0,1,0,64.47
1,0,1,1,1,1,1,0,0,1,1,1,1,0,64.763
0,1,1,0,1,1,1,1,0,1,0,1,0,0,64.171
0,0,1,0,0,0,0,0,1,0,1,1,0,1,64.118
0,1,1,1,0,0,0,0,0,0,0,1,0,1,63.512
0,0,1,1,0,0,1,0,0,1,0,0,1,0,65.396
0,1,1,0,0,1,1,0,0,1,0,1,0,0,84.17
0,1,0,1,0,0,0,1,0,0,1,1,0,0,62.486
0,0,1,1,0,1,0,1,0,1,0,1,1,1,62.626
1,1,0,0,0,0,1,1,0,1,1,1,1,0,72.882
0,1,1,1,1,0,1,1,1,1,0,0,0,0,85.946
0,1,0,0,0,0,1,0,0,1,1,0,0,0,71.014
1,0,1,0,0,1,0,1,0,0,1,1,1,0,73.281
0,0,1,1,0,1,1,1,0,1,0,0,0,1,63.314
0,0,1,1,0,1,1,0,0,0,0,1,0,0,62.895
1,1,0,1,1,1,1,0,1,1,0,0,0,0,63.869
1,1,0,0,0,0,0,1,0,1,0,1,1,0,71.787
0,0,1,0,0,0,1,0,1,0,0,1,1,0,77.252
0,0,0,0,1,0,0,1,0,1,1,1,1,1,82.927
0,1,0,1,1,1,0,1,0,0,0,1,1,1,83.356
1,0,0,0,1,0,0,0,0,1,0,1,1,1,86.611
1,0,1,1,0,0,0,1,1,0,1,0,1,0,83.86
0,0,1,0,1,1,1,1,0,0,0,0,0,1,80.891
1,0,0,0,0,1,0,0,1,0,0,1,1,0,81.734
1,0,0,0,1,1,1,1,0,1,0,0,0,1,143.65
0,1,1,1,0,0,0,0,0,0,0,0,1,1,543.62
1,1,0,1,0,1,0,1,1,1,0,0,0,0,979.98
0,1,1,1,0,0,0,1,1,1,0,0,0,0,940.74
0,1,1,1,1,1,0,0,1,1,1,1,1,1,850.58
1,0,0,0,0,0,0,0,0,0,1,0,1,0,985.28
0,1,0,1,0,0,0,1,1,1,0,1,0,0,984.51
0,1,0,0,0,0,1,1,1,1,1,0,0,1,897.21
