topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
2,10,2,1000000,1,1,1000,1000,1024,10000,2,0,9946.25
2,10,4,1000000,10,1,1000,1000,512,10000,2,29,8357.8333333333339
4,1,2,10,1,1,1,1000,1024,10000,5,29,858.25
2,1,2,1000000,10,1,1000,1000,512,10000,2,0,9024.5833333333339
4,1,2,1000000,1,1,1,10,1024,100,2,29,883.58333333333337
4,10,4,10,1,1,1,1000,1024,10000,5,29,887.41666666666663
4,10,2,1000000,1,1,1000,10,1024,100,2,0,7269.75
2,10,4,10,10,1,1,10,1024,100,5,0,6040.833333333333
4,1,2,1000000,1,1,1000,10,1024,100,5,29,7187.583333333333
2,10,4,10,10,0,1000,10,512,100,5,0,8498.9166666666661
2,1,4,1000000,1,0,1,1000,512,10000,5,0,916.08333333333337
2,10,2,1000000,10,0,1000,10,1024,100,5,29,9220.4166666666661
2,10,4,1000000,10,1,1,1000,512,10000,5,0,6214.416666666667
4,1,2,1000000,1,0,1000,10,512,100,2,0,7485.583333333333
4,10,4,10,10,0,1000,1000,512,10000,5,0,3549.8333333333335
4,10,2,10,1,1,1000,1000,1024,10000,2,0,7062.0
2,1,4,10,1,1,1,10,1024,100,2,29,889.5
2,10,2,1000000,1,1,1,1000,512,10000,5,0,905.58333333333337
2,10,4,10,1,1,1,10,512,100,2,29,906.91666666666663
2,10,4,10,1,1,1000,1000,1024,10000,5,0,9187.9166666666661
2,10,2,10,10,0,1,1000,512,10000,5,0,6359.083333333333
2,1,2,1000000,10,0,1000,10,512,100,5,29,8660.5833333333339
2,1,2,10,1,0,1000,10,512,100,2,29,9335.5
2,1,4,1000000,10,1,1000,10,1024,100,5,29,8110.666666666667
2,10,4,10,1,0,1,1000,1024,10000,5,29,903.91666666666663
4,10,4,1000000,1,0,1000,1000,1024,10000,2,29,6378.166666666667
4,1,2,1000000,10,1,1000,10,512,100,2,0,5283.166666666667
4,10,2,1000000,10,1,1000,1000,512,10000,2,0,5410.75
2,1,2,10,1,1,1,10,512,100,2,0,900.16666666666663
4,1,2,1000000,1,0,1000,10,512,100,5,0,7227.75
4,1,4,10,10,0,1,10,512,100,2,29,2937.1666666666665
4,1,4,1000000,1,0,1,10,512,100,5,29,889.16666666666663
2,1,2,1000000,10,0,1,10,512,100,5,0,6601.083333333333
4,10,2,10,1,0,1000,1000,1024,10000,5,0,7381.916666666667
2,1,4,1000000,1,1,1000,1000,512,10000,2,0,9134.3333333333339
4,1,2,10,10,0,1,10,512,100,5,0,4041.9166666666665
2,1,4,1000000,1,0,1000,10,512,100,5,29,8769.25
2,1,4,1000000,1,1,1000,1000,512,10000,2,29,8877.0833333333339
2,10,4,10,10,0,1000,1000,512,10000,5,0,8249.8333333333339
2,10,4,1000000,1,0,1000,1000,512,10000,2,0,8593.8333333333339
2,10,4,10,10,0,1,10,512,100,2,29,6082.25
2,10,4,1000000,1,0,1000,10,1024,100,5,0,9051.25
2,10,2,1000000,10,0,1,1000,1024,10000,5,29,6358.25
4,10,4,1000000,10,0,1,10,512,100,2,29,3024.75
4,1,4,1000000,1,0,1,10,1024,100,5,29,878.83333333333337
2,1,2,10,1,0,1000,1000,1024,10000,5,0,9712.25
