SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync.3
0,0,1,1,0,1,0,1,1,1,0,0,0,0,2532.9
1,0,0,0,1,1,0,1,0,1,1,1,1,0,2557.8
1,1,1,0,0,0,0,1,0,0,0,0,0,1,2572.9
0,0,1,0,1,1,1,0,0,0,1,0,0,0,2535.6
1,1,1,0,0,0,0,0,0,1,1,0,0,0,2558.4
0,0,0,0,0,1,1,1,1,0,0,1,1,0,2556.5
0,0,1,1,1,0,1,1,0,0,1,0,0,0,2531.5
0,1,0,0,0,1,1,1,1,1,0,1,1,0,2548.7
0,0,0,1,0,0,0,0,0,1,1,0,0,1,2569.5
1,0,0,0,1,1,0,1,0,1,1,1,0,0,2553.9
0,0,1,1,0,0,1,1,0,1,1,1,1,0,2555.9
0,1,1,1,1,0,1,0,0,0,1,0,1,0,2529.6
0,0,0,1,0,0,0,0,0,1,0,1,1,0,2575.5
0,1,0,1,0,0,1,0,0,1,1,0,1,1,2529.4
0,0,1,1,1,0,1,0,1,1,1,0,1,0,2520.3
0,0,0,1,1,0,1,0,1,1,0,0,1,0,2543.4
0,0,1,0,0,0,0,0,1,0,1,0,1,1,2534.1
0,0,1,0,1,0,1,0,0,0,0,0,0,1,2567.1
0,1,1,1,1,1,1,0,1,1,0,1,1,1,2571.8
1,1,0,1,0,0,0,1,0,1,0,1,0,0,2545.2
1,0,1,1,0,0,0,1,1,1,1,0,0,0,2549.9
1,1,0,0,1,1,1,0,0,0,0,1,1,0,2537.8
1,0,0,1,1,1,1,0,1,1,1,1,0,1,2550.7
0,0,0,0,0,1,0,1,0,0,0,0,0,1,2527.6
1,1,1,1,1,1,1,1,1,1,1,0,0,1,2531.4
0,0,1,1,0,0,1,1,0,0,1,1,0,0,2555.9
1,1,1,0,1,0,1,1,1,1,0,1,0,0,2546.2
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2530.8
1,1,0,0,1,0,0,0,1,0,0,1,1,0,2570.2
0,1,0,1,1,0,0,0,0,0,0,1,1,0,2556.8
1,0,0,1,0,1,0,0,1,1,1,1,1,0,2555.4
1,1,1,1,1,1,0,0,1,1,1,0,0,0,2531.1
1,0,1,0,1,1,0,0,1,1,1,1,0,1,2555.4
0,0,1,1,0,1,0,1,0,0,1,1,0,1,2564.3
0,1,0,1,0,0,1,1,1,1,1,0,1,1,2542.3
1,0,0,1,1,1,1,0,1,0,0,1,1,0,2555.4
1,0,0,1,1,0,1,0,1,1,0,1,1,0,2571.1
0,0,1,1,0,0,0,0,1,1,0,0,1,0,2534.8
0,0,0,0,1,1,1,1,1,0,1,0,1,0,2516.8
1,0,0,1,1,1,1,1,1,0,1,0,0,1,2536.5
1,1,0,0,0,1,0,0,1,0,0,1,0,0,2534.0
1,0,1,1,0,0,0,0,0,0,1,1,0,0,2568.6
1,0,1,0,1,0,0,0,1,0,0,1,0,0,2561.1
0,1,1,1,1,1,0,1,1,0,0,0,0,0,2564.4
0,1,0,0,0,1,0,0,1,0,1,1,0,0,2584.5
1,0,0,0,1,1,0,0,0,1,1,0,0,1,2544.1
1,1,0,1,1,0,0,1,1,0,0,1,0,0,2558.7
1,0,1,1,0,1,0,1,1,1,1,0,1,1,2527.4
0,1,1,0,1,1,1,0,0,1,1,0,0,1,2532.1
1,1,0,1,0,0,1,1,0,0,1,1,1,0,2553.1
0,1,0,1,1,0,1,1,0,1,1,0,1,0,2545.6
1,0,0,1,1,0,1,1,0,1,0,1,0,1,2556.9
1,1,1,0,1,0,0,0,1,0,0,0,0,1,2524.2
0,0,1,1,0,0,1,0,0,1,0,1,0,1,2577.2
0,1,1,0,0,0,1,1,0,0,1,0,0,1,2543.7
0,1,1,1,1,1,0,0,0,1,1,1,0,1,2591.0
1,0,1,0,0,0,1,0,1,0,0,1,0,0,2555.9
0,0,1,0,0,1,1,0,1,0,0,0,1,1,2524.7
1,1,1,0,0,0,0,1,0,0,1,1,1,1,2543.7
0,0,0,1,0,1,1,1,1,1,0,0,0,0,2508.5
0,1,1,0,0,0,0,0,1,0,1,1,1,1,2561.2
0,1,0,0,0,0,0,1,0,1,1,1,1,0,2554.5
0,1,1,1,1,0,1,1,1,1,1,0,0,0,2536.1
0,0,0,1,1,0,0,0,0,1,1,1,0,1,2562.7
1,0,1,0,0,1,0,0,0,0,0,0,1,1,2544.5
1,0,1,0,1,1,0,0,1,1,0,1,0,0,2561.4
0,1,1,1,0,1,0,0,0,0,0,1,0,0,2564.7
1,0,1,1,0,1,0,1,0,0,0,0,1,1,2527.6
0,1,1,1,1,0,0,1,1,1,1,0,0,0,2527.9
0,1,0,1,1,0,1,0,0,1,1,0,1,0,2555.9
0,0,1,1,1,0,0,1,1,1,1,0,1,0,2534.2
1,0,1,1,1,1,1,1,0,1,1,0,1,0,2541.6
0,0,1,1,1,0,1,0,0,1,1,1,0,1,2562.0
1,1,0,0,0,0,1,1,1,1,1,0,1,0,2522.0
0,1,1,1,0,1,0,0,0,0,1,1,1,0,2550.6
1,1,1,1,0,1,1,1,1,1,1,0,1,1,2532.5
1,1,1,0,0,0,1,0,0,1,1,0,1,1,2541.5
1,0,0,0,0,1,1,1,1,1,0,1,1,0,2573.4
1,1,0,1,1,0,1,1,0,1,0,1,1,1,2545.4
1,0,1,1,1,1,0,0,1,0,1,0,0,1,2537.8
0,0,1,1,0,0,1,0,0,0,1,0,1,0,2530.6
1,1,0,1,0,1,0,1,0,1,0,0,0,0,2518.2
1,1,1,0,0,1,1,0,1,0,0,1,0,0,2553.6
1,1,0,1,0,1,1,0,1,1,0,1,0,1,2555.5
1,0,1,0,1,0,1,1,0,1,0,1,1,0,2544.1
1,0,1,1,0,1,0,0,1,0,1,1,0,1,2566.0
1,0,0,0,1,0,0,1,0,1,1,0,1,1,2527.9
1,0,0,1,0,0,0,1,1,1,1,0,0,0,2530.8
1,0,1,0,0,1,1,1,1,1,1,0,0,1,2525.7
1,0,0,0,0,1,0,1,0,0,0,0,1,0,2546.5
0,1,1,1,1,1,0,0,1,1,0,0,1,1,2521.4
1,1,1,1,1,1,0,1,0,0,0,1,1,0,2540.2
1,1,1,1,0,0,1,0,1,1,0,0,1,0,2535.1
0,1,0,1,0,0,1,0,1,0,0,1,0,0,2543.4
0,1,0,1,1,0,1,0,1,1,1,0,0,1,2531.8
0,0,1,1,0,1,0,1,1,0,0,0,0,0,2538.4
0,0,1,1,0,1,0,1,0,1,0,0,1,0,2510.0
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2525.1
0,1,1,0,1,0,0,1,0,0,0,1,1,0,2558.5
0,1,1,1,0,1,0,1,0,0,1,1,1,1,2533.5
1,1,0,0,1,1,1,0,0,1,1,1,1,1,2568.2
1,1,1,0,0,0,0,1,1,0,0,1,1,1,2557.3
1,1,1,1,1,1,0,1,1,0,0,0,1,0,2529.5
1,1,0,0,0,1,0,1,1,0,1,1,1,0,2561.9
0,1,0,0,0,1,0,1,1,0,0,1,0,0,2560.4
1,0,1,1,1,1,0,1,1,0,0,1,1,1,2548.0
1,0,0,1,1,1,0,0,1,0,1,0,1,1,2529.6
0,1,0,1,1,1,0,1,1,0,0,1,1,0,2550.3
1,1,1,1,1,1,1,1,1,0,0,0,1,0,2535.1
0,0,1,1,1,1,0,1,1,1,1,1,1,1,2552.8
0,1,1,0,0,0,0,0,0,1,0,1,1,1,2550.6
1,0,1,0,0,0,1,1,1,0,0,0,0,1,2554.4
1,1,0,1,0,0,0,0,0,0,0,0,1,0,2535.6
0,1,1,0,1,1,1,1,1,1,0,0,1,1,2515.2
1,1,1,1,1,0,1,0,1,0,0,0,1,1,2525.7
1,1,1,0,0,1,0,0,0,1,1,1,0,0,2552.6
0,1,1,1,1,0,1,0,0,1,1,1,1,0,2548.1
1,1,1,1,1,0,1,0,1,1,0,1,1,0,2565.8
1,0,0,0,1,0,1,1,1,1,0,0,0,0,2525.5
0,1,0,0,0,1,0,1,1,0,0,1,1,1,2550.4
0,1,0,0,1,0,0,1,1,1,0,0,1,1,2522.1
0,1,1,0,0,0,0,0,1,1,0,1,0,1,2567.2
1,0,0,1,1,1,0,1,0,1,1,1,1,0,2538.4
0,0,1,0,1,0,0,1,1,1,1,0,1,0,2522.9
0,1,1,1,1,0,0,1,1,1,1,1,1,1,2561.8
1,0,0,1,1,1,0,1,0,1,1,1,0,1,2554.9
0,0,0,1,0,0,1,0,0,1,1,1,1,1,2572.6
1,0,0,0,1,1,1,0,0,0,0,0,0,0,2524.3
1,1,0,1,0,1,1,0,1,1,0,0,0,1,2537.7
1,1,1,0,1,0,1,1,0,0,1,1,0,1,2538.5
0,0,1,0,0,0,0,0,1,0,0,0,0,1,2533.5
1,1,0,1,1,0,1,0,1,1,1,1,1,1,2592.3
0,0,1,1,1,1,0,1,0,0,0,1,0,1,2529.7
0,0,1,1,1,1,1,0,1,0,0,1,0,0,2563.3
0,1,1,1,0,0,0,0,0,1,1,1,1,1,2547.4
0,1,1,0,1,1,0,0,1,1,1,1,0,1,2569.9
1,0,0,1,1,1,1,0,0,1,0,1,0,0,2543.0
0,1,0,1,1,1,1,1,1,0,0,1,1,1,2572.3
1,0,1,1,0,0,0,0,0,0,1,1,1,0,2544.1
1,1,0,0,0,1,0,1,0,1,1,1,0,1,2573.0
0,1,0,0,0,0,0,1,1,0,0,0,0,1,2534.0
0,1,1,0,1,0,1,0,0,0,0,1,1,1,2559.7
1,0,1,1,0,0,0,0,1,1,1,0,0,0,2543.7
1,1,1,0,1,1,0,1,1,0,0,1,0,1,2547.4
0,1,1,1,1,1,1,0,0,1,0,0,0,0,2562.4
1,0,1,0,1,1,0,1,1,1,1,1,1,0,2557.0
0,0,1,0,1,0,0,1,1,0,0,1,0,0,2533.2
1,0,0,1,1,1,0,1,0,1,0,0,1,0,2541.2
1,0,1,1,1,0,0,0,1,0,0,1,0,1,2538.0
1,0,0,0,1,1,1,1,1,1,1,1,0,0,2536.6
0,0,0,0,1,0,0,1,0,0,0,0,1,0,2527.6
0,1,1,0,0,0,1,0,0,1,1,1,1,1,2562.9
0,1,1,1,0,1,1,0,1,1,0,1,0,0,2543.6
0,0,0,0,1,1,1,1,1,0,0,1,1,1,2546.3
1,1,1,0,0,1,1,0,1,0,0,1,1,1,2528.2
0,1,1,0,0,1,1,0,1,0,0,0,0,0,2541.1
1,1,1,0,0,1,0,1,1,1,1,0,1,0,2528.1
0,1,1,1,0,1,0,0,1,0,0,0,1,0,2540.3
1,1,1,1,0,1,0,0,1,0,1,1,1,1,2540.0
1,1,1,0,1,0,1,1,0,1,1,1,0,0,2542.7
1,1,0,1,0,0,1,0,0,0,0,1,0,0,2546.7
1,1,0,0,1,0,0,0,1,1,1,0,1,1,2513.8
1,1,0,0,0,1,0,1,0,0,0,1,0,0,2549.4
0,1,0,1,1,1,1,0,0,1,1,0,0,0,2548.8
0,1,0,0,1,1,0,0,0,0,0,1,1,1,2559.5
0,0,1,0,1,1,1,1,0,1,0,0,1,0,2524.3
0,0,0,0,0,1,1,1,1,0,1,0,1,1,2528.8
0,1,1,1,1,1,0,0,0,1,0,1,0,1,2554.9
1,1,1,1,1,0,1,0,1,0,0,1,1,1,2571.3
0,1,1,1,0,1,1,0,0,1,1,0,1,1,2525.1
0,0,0,0,0,0,1,0,1,0,1,0,0,0,2556.6
0,0,0,1,0,0,0,0,1,0,1,0,0,1,2515.7
0,1,0,0,0,0,0,0,0,1,1,0,1,1,2537.6
1,1,0,0,1,1,1,1,1,1,1,0,0,1,2536.2
0,1,0,1,0,0,1,0,1,0,0,0,1,0,2556.6
1,1,1,1,0,0,1,0,0,1,1,1,0,1,2536.0
1,1,0,1,0,0,0,0,0,1,1,0,1,0,2535.2
1,0,0,1,1,1,1,1,0,0,0,0,0,1,2531.3
0,0,0,1,0,1,1,1,1,0,0,1,0,1,2537.3
1,1,0,0,0,0,1,0,1,1,0,0,1,0,2522.9
0,0,0,1,1,1,0,1,1,0,1,0,1,0,2527.7
1,1,0,0,1,1,1,1,0,0,1,0,1,1,2538.2
0,1,0,1,0,1,0,1,1,1,0,1,0,1,2570.6
0,0,1,1,1,0,0,0,0,1,1,1,1,1,2539.3
1,0,0,0,1,0,1,1,1,0,0,1,1,0,2570.1
0,0,1,1,1,1,1,1,0,0,1,1,0,1,2558.0
0,0,1,1,0,0,1,1,1,1,1,0,1,1,2521.4
0,1,0,0,1,1,1,0,0,1,1,1,1,1,2563.0
1,0,1,0,1,1,0,1,1,0,0,0,0,1,2515.3
0,1,1,0,1,0,1,1,0,0,0,0,0,0,2532.3
1,0,0,0,0,0,1,1,0,0,0,1,1,0,2537.4
1,1,1,1,1,1,1,0,1,0,1,0,0,0,2548.3
0,0,0,1,0,1,1,0,1,1,0,0,0,1,2544.2
1,0,0,1,1,0,0,1,0,1,1,0,0,0,2540.5
1,0,0,1,0,0,1,0,0,0,1,0,1,0,2538.9
1,1,1,0,0,1,0,0,0,0,0,1,1,0,2565.0
1,1,0,1,1,1,1,0,0,0,1,0,1,1,2539.3
1,0,1,1,0,1,0,1,0,1,1,1,1,0,2540.7
1,0,1,1,1,0,0,0,1,1,1,1,1,0,2551.1
1,0,1,0,0,1,0,0,1,0,1,0,0,0,2517.4
0,0,1,0,0,0,1,1,1,1,0,1,1,1,2547.3
0,1,1,1,0,1,0,1,1,0,0,0,0,0,2520.1
0,0,1,0,0,0,1,1,1,0,1,1,1,1,2536.6
0,1,0,0,1,0,0,1,1,0,1,1,0,1,2559.8
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2543.9
1,1,0,0,1,0,1,1,0,1,1,0,0,1,2527.3
1,0,1,1,1,1,0,1,1,1,1,1,1,1,2567.3
0,0,1,1,1,0,1,0,1,1,1,1,1,0,2541.2
0,1,0,1,1,1,1,1,1,0,1,0,1,1,2530.2
0,0,0,0,0,1,1,0,1,1,1,0,1,0,2520.8
1,0,0,0,0,0,1,1,0,1,1,0,1,0,2525.4
0,0,0,1,0,0,0,0,0,1,0,0,1,1,2539.6
1,1,0,1,0,0,1,1,1,0,0,1,1,1,2543.2
1,0,0,0,1,1,1,1,0,0,0,1,0,1,2532.1
1,0,1,0,1,0,1,1,0,1,0,1,0,0,2555.7
1,0,1,0,1,1,0,1,0,1,1,1,0,1,2525.2
1,0,1,1,0,0,0,0,1,1,1,1,1,0,2567.9
0,0,1,0,1,1,1,0,0,0,0,0,1,0,2513.7
0,1,0,1,1,1,1,1,1,1,1,0,1,0,2529.6
0,1,0,1,0,0,0,0,0,0,1,0,1,0,2506.9
1,0,0,1,0,0,1,1,0,1,1,1,0,1,2552.9
0,1,0,0,0,0,0,0,1,1,0,0,0,1,2528.6
0,0,1,0,0,1,1,0,1,1,1,1,0,0,2539.1
1,0,1,1,0,1,1,1,1,0,0,0,1,1,2517.0
0,1,0,0,1,1,1,1,0,0,0,1,1,0,2558.1
1,1,0,0,0,0,0,1,1,1,0,1,0,0,2574.6
0,0,1,1,0,1,1,1,0,0,0,1,1,0,2538.4
1,0,1,0,0,0,1,1,1,0,1,0,0,1,2558.6
0,1,1,0,0,1,0,0,0,1,1,0,0,1,2523.2
1,1,0,0,0,0,0,0,0,0,0,1,1,1,2551.1
1,0,0,1,0,1,0,0,1,0,1,1,0,0,2544.5
1,1,1,0,1,0,1,1,0,1,0,0,0,1,2558.4
1,1,0,0,1,1,0,1,0,0,0,1,1,1,2535.6
1,0,1,1,0,1,1,1,1,1,0,1,0,1,2556.0
0,0,0,0,1,0,1,1,1,0,1,0,0,1,2532.3
0,1,1,1,0,1,0,1,0,1,1,1,0,1,2564.0
0,0,1,0,1,1,0,0,0,0,0,1,1,1,2561.5
0,1,0,1,0,1,0,0,1,0,1,1,1,1,2541.9
0,1,1,0,0,0,1,1,0,0,0,0,0,1,2550.4
0,1,1,1,1,0,1,0,0,0,0,0,0,1,2529.9
1,1,1,1,0,1,0,0,1,0,0,1,0,1,2562.7
1,0,1,0,0,1,0,1,1,0,1,1,0,0,2559.9
1,0,1,0,0,0,0,1,1,0,1,0,1,0,2555.8
0,1,1,0,0,1,0,0,1,0,1,0,1,1,2521.0
0,0,0,0,0,0,1,0,1,0,1,1,1,0,2555.3
0,0,1,0,1,1,1,0,1,0,0,1,0,0,2559.2
0,0,1,1,1,0,0,0,1,0,0,1,0,0,2565.6
1,0,1,1,1,0,0,1,0,0,1,1,1,0,2556.0
0,0,1,0,1,1,0,1,0,1,0,0,1,1,2517.4
1,1,0,0,1,0,0,1,1,1,1,0,1,1,2520.7
1,1,0,0,1,1,0,1,0,0,0,1,0,1,2545.1
1,0,1,1,0,0,0,0,0,1,0,0,1,0,2527.3
1,1,0,0,0,1,0,0,1,1,0,0,1,0,2537.3
0,1,0,1,1,0,0,0,0,0,0,1,1,0,2553.3
1,0,0,1,0,1,0,0,0,0,1,0,0,1,2543.7
1,1,1,0,0,1,0,1,1,0,0,0,1,0,2524.0
1,0,0,1,0,1,1,0,1,1,1,1,1,1,2550.6
1,1,0,1,1,0,1,1,1,1,1,1,1,0,2537.7
1,0,0,1,1,1,1,1,0,1,1,0,0,1,2545.4
0,0,1,0,1,1,0,0,0,1,0,0,1,0,2539.8
1,1,1,1,0,0,0,1,0,0,0,0,0,0,2556.2
1,1,1,1,0,0,1,1,0,0,0,0,0,1,2552.7
0,1,1,0,0,0,1,1,1,1,0,1,0,1,2554.3
0,0,0,1,1,0,1,0,0,0,0,1,1,0,2560.7
0,1,0,1,1,0,1,0,1,0,0,0,1,0,2516.4
0,0,0,0,1,0,0,1,1,0,1,1,0,1,2575.8
1,1,0,0,0,1,1,1,1,1,1,0,0,0,2535.3
0,1,0,1,1,1,0,1,0,1,0,0,0,1,2540.3
1,0,0,1,0,0,0,1,0,0,1,1,0,0,2564.7
0,0,0,1,1,0,1,1,1,0,1,1,0,1,2552.5
1,1,0,1,0,0,1,0,0,1,1,0,1,0,2527.8
0,0,0,1,0,1,0,1,1,0,1,1,0,1,2550.4
1,1,1,0,0,1,1,1,1,1,0,1,1,0,2536.8
0,1,0,0,0,1,1,1,0,1,1,0,1,0,2561.6
1,1,0,0,0,0,1,1,1,1,1,1,0,1,2544.0
1,0,0,1,1,1,1,1,1,0,0,0,1,1,2538.1
1,1,0,0,1,0,0,0,0,1,0,0,1,1,2535.0
1,0,0,1,1,1,1,1,1,1,1,1,0,1,2554.9
1,1,0,0,0,1,0,0,1,1,1,0,1,1,2552.8
1,0,1,1,1,0,1,0,0,0,0,1,1,1,2557.1
1,1,1,1,1,1,0,0,0,1,1,0,0,0,2526.9
0,1,1,1,1,1,0,0,0,1,0,1,1,1,2570.0
0,0,1,1,1,1,1,1,1,0,0,0,1,0,2527.3
1,0,1,1,1,1,0,1,0,1,1,0,1,0,2524.9
0,1,0,1,1,0,0,1,1,0,0,1,0,0,2541.8
1,1,0,0,0,1,1,1,1,0,0,0,0,1,2534.3
0,0,0,1,1,1,0,1,0,1,0,1,0,1,2535.3
0,1,1,1,0,0,1,1,1,1,1,0,0,1,2553.0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,2578.2
1,1,0,1,1,1,0,0,1,1,1,0,0,0,2539.2
0,1,0,1,0,0,1,1,0,1,0,0,0,1,2555.9
0,0,1,0,0,0,1,0,0,0,0,1,0,1,2553.1
0,1,0,0,1,0,0,1,0,1,0,1,1,0,2557.4
0,0,1,0,1,1,1,1,0,0,0,0,1,1,2534.1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,2516.9
0,0,0,0,0,0,1,1,1,1,0,0,1,0,2527.4
1,1,1,1,1,0,1,0,1,0,1,0,0,0,2555.5
0,0,1,0,1,1,0,1,0,0,0,0,1,1,2533.8
0,0,1,0,0,1,0,0,1,0,0,1,1,0,2561.3
1,0,0,0,1,0,0,1,1,0,1,1,1,0,2536.7
1,0,0,1,1,0,0,0,0,0,1,0,0,1,2523.7
0,0,0,1,0,1,1,0,0,1,0,0,0,0,2532.3
0,1,1,1,0,0,0,0,0,1,0,1,0,0,2582.6
0,1,1,1,1,0,1,1,1,0,1,0,1,0,2527.2
1,0,1,0,0,1,1,0,0,0,0,0,0,0,2567.3
1,0,0,0,1,0,0,1,1,1,0,1,1,0,2549.6
0,1,1,0,0,0,1,0,0,0,1,1,0,1,2554.3
1,0,1,0,1,1,1,0,0,1,1,0,0,0,2532.5
1,0,0,1,0,0,1,0,0,1,1,1,0,1,2566.7
1,0,0,0,0,0,1,1,1,0,1,0,1,0,2525.7
1,1,0,0,0,0,0,1,0,0,1,1,1,0,2559.1
0,1,1,1,0,0,1,1,0,1,1,1,1,0,2492.9
1,1,0,1,1,0,0,1,0,0,1,1,0,0,2556.8
1,1,0,1,0,0,1,0,0,1,1,1,1,1,2566.6
0,1,0,0,0,1,0,1,0,1,1,1,1,0,2549.6
0,1,1,1,1,0,0,1,0,1,1,0,1,1,2523.2
0,0,0,0,0,0,1,0,1,0,1,0,1,1,2540.3
0,1,1,1,1,0,0,0,1,0,0,0,0,0,2544.7
0,1,1,1,1,1,1,1,0,0,1,0,1,1,2552.1
0,1,0,0,1,0,0,1,0,1,0,0,1,1,2544.6
1,0,1,0,0,0,0,1,0,0,1,1,0,0,2545.8
1,1,0,0,1,0,0,1,0,0,0,0,1,0,2517.5
0,1,0,0,1,1,1,0,1,0,1,1,1,1,2567.1
1,1,1,0,0,1,0,1,1,0,1,0,0,1,2533.4
1,0,0,0,0,0,1,0,1,1,1,0,1,1,2538.2
1,0,0,1,1,0,1,1,1,1,1,1,1,1,2566.4
1,1,0,1,1,1,0,0,1,1,0,1,0,0,2561.4
0,1,1,1,0,0,1,1,1,1,1,0,0,0,2529.1
0,0,0,1,0,1,0,1,0,0,1,0,0,0,2527.4
1,0,1,0,0,1,1,0,0,1,1,1,1,0,2548.4
0,1,1,0,0,0,0,1,1,1,0,0,1,0,2535.2
1,0,0,1,0,1,1,0,0,1,1,1,1,1,2555.6
1,0,1,0,1,0,0,0,1,1,1,0,1,0,2541.6
1,0,1,1,1,1,1,0,0,1,1,1,1,0,2532.8
0,1,1,0,1,1,1,1,0,1,0,1,0,0,2544.9
0,0,1,0,0,0,0,0,1,0,1,1,0,1,2543.4
0,1,1,1,0,0,0,0,0,0,0,1,0,1,2551.8
0,0,1,1,0,0,1,0,0,1,0,0,1,0,2517.8
0,1,1,0,0,1,1,0,0,1,0,1,0,0,2562.0
0,1,0,1,0,0,0,1,0,0,1,1,0,0,2553.5
0,0,1,1,0,1,0,1,0,1,0,1,1,1,2551.3
1,1,0,0,0,0,1,1,0,1,1,1,1,0,2507.7
0,1,1,1,1,0,1,1,1,1,0,0,0,0,2540.3
0,1,0,0,0,0,1,0,0,1,1,0,0,0,2535.4
1,0,1,0,0,1,0,1,0,0,1,1,1,0,2556.2
0,0,1,1,0,1,1,1,0,1,0,0,0,1,2541.6
0,0,1,1,0,1,1,0,0,0,0,1,0,0,2575.1
1,1,0,1,1,1,1,0,1,1,0,0,0,0,2530.7
1,1,0,0,0,0,0,1,0,1,0,1,1,0,2545.5
0,0,1,0,0,0,1,0,1,0,0,1,1,0,2527.7
0,0,0,0,1,0,0,1,0,1,1,1,1,1,2539.0
