SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.2
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.256896932245
1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.193996910174
1,0,0,0,0,1,1,1,1,1,0,1,1,0,0.62149635842
1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.644670050761
1,0,1,1,1,1,0,0,1,0,1,0,0,1,0.115427058045
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.123151622158
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0.235709556389
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0.542043698963
1,1,0,1,0,1,1,0,1,1,0,1,0,1,0.786360626793
1,0,1,0,1,0,1,1,0,1,0,1,1,0,0.657029353344
1,0,1,1,0,1,0,0,1,0,1,1,0,1,0.56830721695
1,0,0,0,1,0,0,1,0,1,1,0,1,1,0.205473405429
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.291988523505
1,0,1,0,0,1,1,1,1,1,1,0,0,1,0.275877289782
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.140366365041
0,1,1,1,1,1,0,0,1,1,0,0,1,1,0.312513793864
1,1,1,1,1,1,0,1,0,0,0,1,1,0,0.532994923858
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0.319134848819
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.641138821452
0,1,0,1,1,0,1,0,1,1,1,0,0,1,0.201721474288
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.109909512249
0,0,1,1,0,1,0,1,0,1,0,0,1,0,0.420216287795
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.247186051644
0,1,1,0,1,0,0,1,0,0,0,1,1,0,0.461708232178
0,1,1,1,0,1,0,1,0,0,1,1,1,1,0.523063341426
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.647097770911
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.576693886559
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0.0306775546237
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0.503862282057
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0.593246523946
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.563231074818
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.0982123151622
0,1,0,1,1,1,0,1,1,0,0,1,1,0,0.500331052748
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0.0772456411388
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.635841977488
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0.61310968881
