topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
4,10,4,10,1,1,1000,10,512,100,2,0,0.0330843991974
4,1,4,1000000,10,0,1,10,1024,100,5,0,0.000427644037722
2,1,2,10,10,0,1,1000,1024,10000,2,0,0.000133155314071
2,10,2,10,1,0,1,10,512,100,5,29,4.14383757483e-06
4,10,2,1000000,10,1,1000,1000,512,10000,2,29,0.705250214582
4,10,2,10,10,1,1000,10,1024,100,5,29,0.673193210847
2,10,2,1000000,10,0,1000,1000,1024,10000,5,29,0.708686284699
4,10,4,1000000,10,0,1000,1000,1024,10000,5,0,0.571255082762
2,1,4,1000000,10,1,1,10,1024,100,2,29,0.000135917872454
4,10,2,1000000,1,0,1,10,1024,100,5,0,4.19908874249e-05
4,10,2,10,10,1,1000,1000,512,10000,2,29,0.793989667479
4,1,2,1000000,10,0,1000,1000,512,10000,5,0,0.75967068094
2,1,2,10,1,0,1000,1000,1024,10000,5,0,0.00922998381417
4,1,4,1000000,10,1,1000,10,1024,100,2,0,0.694177880582
4,10,2,1000000,1,0,1,10,1024,100,2,0,5.33173767961e-05
4,1,2,10,10,0,1000,10,1024,100,5,29,0.637315312612
2,1,4,1000000,10,0,1000,10,512,100,2,29,0.412569309137
2,1,2,10,1,0,1,1000,512,10000,2,29,7.18265179637e-06
2,10,4,1000000,1,1,1000,10,1024,100,5,0,0.0088200201501
2,10,4,10,10,0,1000,10,1024,100,2,0,0.334774836298
4,10,4,1000000,10,0,1,10,512,100,5,29,0.000438141759578
2,10,4,1000000,10,0,1000,1000,1024,10000,5,29,0.336674923954
2,1,2,10,1,0,1000,1000,1024,10000,2,0,0.010680879477
2,10,2,1000000,10,0,1000,10,512,100,5,29,0.604741986716
4,10,2,1000000,10,0,1000,1000,512,10000,5,0,0.753871518382
4,10,2,10,1,1,1000,10,1024,100,5,29,0.0303712906093
2,1,2,10,1,1,1000,10,512,100,5,0,0.0105270049751
2,10,4,1000000,10,1,1000,10,512,100,2,29,0.29791540107
4,1,2,10,10,0,1000,10,512,100,5,0,0.751012822967
4,10,2,1000000,1,1,1,1000,1024,10000,2,0,5.82899818859e-05
2,10,4,10,1,0,1,1000,512,10000,5,0,6.07762844308e-06
2,1,2,10,10,0,1,10,1024,100,5,0,0.00013011649985
2,1,4,1000000,10,1,1,10,1024,100,5,0,0.00015636080449
2,1,2,1000000,1,1,1,1000,1024,10000,2,29,6.3538842814e-06
2,1,4,10,1,0,1000,1000,512,10000,5,0,0.00856531226717
2,10,2,10,1,0,1,10,1024,100,2,0,3.59132589818e-06
4,1,4,10,1,1,1,1000,1024,10000,5,0,5.55274235027e-05
2,10,4,10,1,1,1000,10,1024,100,5,0,0.00855122321941
4,10,4,1000000,10,0,1,10,1024,100,5,0,0.000446429434728
4,10,2,10,10,0,1,10,1024,100,2,0,0.000443114364668
2,1,2,1000000,1,1,1,10,1024,100,2,29,6.90639595805e-06
4,1,2,10,1,1,1000,1000,1024,10000,2,0,0.020739907062
2,10,2,10,10,1,1,1000,512,10000,5,29,0.000135641616616
4,1,4,1000000,1,1,1000,10,1024,100,2,29,0.0204429320358
4,10,4,10,10,1,1000,1000,512,10000,2,0,0.667276087046
4,1,4,10,1,1,1,1000,512,10000,2,29,4.75160041914e-05
2,1,2,1000000,1,1,1000,1000,512,10000,5,0,0.0099791896477
4,1,2,10,1,0,1000,1000,1024,10000,5,0,0.0247174386222
4,10,4,10,1,1,1,10,512,100,5,29,4.44771899698e-05
4,1,4,10,1,1,1000,10,512,100,2,29,0.0259371081484
4,1,2,1000000,10,0,1,1000,512,10000,2,0,0.000401123477243
2,10,2,1000000,10,1,1,1000,1024,10000,5,0,0.000151940711077
2,1,2,1000000,10,1,1000,10,1024,100,2,29,0.680140492669
2,1,2,10,1,0,1000,10,512,100,5,0,0.00927694730669
4,10,4,1000000,1,0,1,10,512,100,2,29,5.16598417662e-05
4,1,2,1000000,1,0,1,10,1024,100,5,29,5.33173767961e-05
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,0.023367928852
4,1,4,10,1,0,1,1000,1024,10000,2,29,5.74612143709e-05
4,1,4,10,1,1,1000,10,1024,100,2,0,0.0219529464481
4,1,4,10,10,0,1000,10,1024,100,5,29,0.630833521878
4,1,2,1000000,1,1,1,10,512,100,5,0,5.27648651195e-05
4,1,2,1000000,10,0,1000,1000,512,10000,2,0,0.647588714728
2,10,2,10,10,1,1000,1000,1024,10000,2,0,0.634956087753
4,10,4,1000000,10,1,1000,10,1024,100,5,29,0.542822831882
2,1,2,1000000,1,0,1,10,512,100,5,29,6.07762844308e-06
4,1,2,1000000,10,0,1,10,1024,100,5,29,0.000405543570656
2,1,2,1000000,1,0,1,10,1024,100,5,29,3.03881422154e-06
4,1,4,10,1,1,1,1000,1024,10000,2,29,4.30959107782e-05
4,1,2,10,1,1,1000,1000,512,10000,5,29,0.024524612047
4,10,4,10,10,1,1000,1000,1024,10000,5,29,0.600485160503
2,1,2,1000000,1,0,1,1000,512,10000,2,29,4.14383757483e-06
4,10,4,10,1,0,1000,1000,512,10000,2,29,0.0257097495934
2,10,4,10,10,0,1,1000,512,10000,2,29,0.000170449852245
2,10,2,1000000,1,0,1000,10,512,100,2,29,0.0101504682675
4,10,4,10,1,1,1,10,1024,100,2,29,5.02785625746e-05
4,10,4,10,1,1,1,1000,1024,10000,2,29,4.77922600297e-05
4,1,4,1000000,1,0,1000,10,1024,100,5,0,0.025307244837
2,10,2,1000000,10,0,1,10,1024,100,2,0,0.000140061710029
2,10,2,1000000,10,1,1000,1000,1024,10000,5,29,0.587861097459
2,1,2,10,10,1,1,10,1024,100,5,0,0.000148349385179
4,1,4,10,1,0,1000,1000,512,10000,2,29,0.021949631378
2,1,4,1000000,10,0,1000,10,1024,100,2,29,0.303921202995
2,10,2,1000000,1,0,1,1000,1024,10000,2,0,9.39269850294e-06
4,10,2,10,10,0,1000,1000,512,10000,5,29,0.692315916231
4,1,2,10,10,1,1000,1000,512,10000,5,29,0.660948723325
4,1,2,10,10,1,1000,10,512,100,5,29,0.720902317869
2,1,2,10,1,0,1000,1000,1024,10000,2,29,0.0100258768844
4,10,2,10,1,0,1,1000,512,10000,5,0,4.53059574848e-05
4,1,2,1000000,1,1,1000,10,1024,100,5,29,0.0218523893229
4,1,4,10,1,1,1000,10,512,100,2,0,0.025160276731
2,10,2,1000000,1,1,1000,1000,1024,10000,5,29,0.00794677544517
4,10,2,1000000,10,0,1000,10,512,100,2,0,0.765018165203
2,1,2,1000000,1,0,1000,10,512,100,2,0,0.00942667797106
4,1,2,10,1,0,1000,10,1024,100,2,0,0.0256975943365
2,10,2,1000000,10,0,1000,10,1024,100,5,0,0.620980857404
2,10,4,10,1,0,1,10,512,100,2,0,1.27077685628e-05
4,10,2,1000000,10,0,1,10,1024,100,2,29,0.000449744504788
4,10,2,10,1,1,1000,10,1024,100,2,0,0.0216338709548
2,10,4,1000000,10,0,1000,1000,512,10000,2,0,0.298828979127
2,1,4,10,10,0,1,10,512,100,2,0,0.00014807312934
2,1,2,10,10,0,1,1000,512,10000,5,29,0.00012514389476
4,10,2,1000000,1,0,1000,1000,512,10000,5,29,0.0224319740717
2,1,4,1000000,1,0,1000,10,1024,100,5,0,0.00898881246732
4,1,4,1000000,10,1,1,10,512,100,5,0,0.000413831245806
4,10,4,1000000,10,1,1,1000,1024,10000,5,29,0.000522952301943
4,10,4,10,10,0,1,10,1024,100,5,29,0.000479580135327
4,1,2,1000000,1,0,1000,10,1024,100,2,0,0.0235032942127
4,10,4,10,1,0,1,1000,512,10000,2,0,6.24338194607e-05
4,1,4,1000000,10,0,1000,1000,1024,10000,5,29,0.48768106153
4,1,2,10,1,1,1000,1000,512,10000,2,29,0.0224761750059
2,10,4,1000000,10,1,1,1000,1024,10000,2,0,0.000151111943562
2,1,2,10,10,1,1000,10,512,100,5,29,0.596457626636
4,1,2,1000000,10,0,1,1000,1024,10000,5,29,0.00047737008862
2,10,4,1000000,1,1,1000,1000,512,10000,5,0,0.008020535754
2,1,4,1000000,1,0,1,1000,512,10000,2,29,4.97260508979e-06
4,1,4,10,1,1,1000,10,512,100,5,29,0.0235582691246
2,10,2,1000000,1,0,1,10,512,100,5,0,3.86758173651e-06
2,1,4,10,10,1,1000,1000,1024,10000,2,29,0.276551708325
2,10,2,1000000,10,1,1000,1000,1024,10000,5,0,0.803481818084
4,10,2,10,1,1,1,10,512,100,5,0,4.8068515868e-05
4,10,4,1000000,10,1,1000,1000,512,10000,2,0,0.667271390697
4,10,4,10,1,1,1,10,512,100,2,0,5.33173767961e-05
4,10,2,1000000,10,1,1,10,512,100,2,0,0.000425433991016
4,1,2,1000000,10,1,1000,10,1024,100,5,29,0.704485262165
4,1,4,10,1,0,1,10,1024,100,5,29,4.77922600297e-05
4,1,4,10,1,0,1000,10,512,100,2,29,0.0267095194723
4,1,2,1000000,1,0,1000,10,1024,100,5,0,0.0230579698014
2,1,4,1000000,10,0,1000,1000,1024,10000,2,0,0.380173615744
4,10,4,10,10,1,1,10,1024,100,5,0,0.000428472805237
2,10,2,10,10,0,1,10,1024,100,2,0,0.000146691850149
4,10,4,10,10,0,1000,1000,512,10000,5,29,0.526844470449
4,10,2,10,1,0,1,10,1024,100,2,0,4.39246782932e-05
4,1,4,1000000,10,0,1,1000,512,10000,5,29,0.000423500200147
4,10,2,10,10,0,1,10,1024,100,2,29,0.000470187436824
4,1,4,10,10,0,1,1000,1024,10000,2,29,0.000463004785027
2,10,4,10,1,0,1000,1000,1024,10000,2,29,0.00916009108708
4,1,2,1000000,1,0,1000,1000,512,10000,2,29,0.0292693060702
4,1,4,1000000,10,1,1000,1000,512,10000,5,29,0.580132011615
4,10,2,10,10,0,1,1000,1024,10000,5,29,0.000392559546255
2,10,2,1000000,10,0,1,1000,512,10000,2,0,0.00014807312934
2,1,2,10,1,0,1,10,512,100,2,29,7.18265179637e-06
2,10,2,1000000,1,0,1000,1000,1024,10000,2,0,0.00926258200309
4,10,4,10,1,0,1,1000,1024,10000,2,0,4.50297016465e-05
2,10,4,1000000,10,0,1000,10,1024,100,2,0,0.285706826807
4,1,4,1000000,1,1,1000,1000,512,10000,2,29,0.0222524077768
2,1,2,1000000,10,0,1,10,1024,100,2,29,0.000135641616616
2,10,2,1000000,1,0,1,10,1024,100,5,0,4.42009341315e-06
2,10,2,10,1,0,1000,10,512,100,2,0,0.0089051069483
2,10,2,1000000,10,1,1000,1000,1024,10000,2,0,0.561041904419
4,1,2,1000000,1,1,1000,10,512,100,5,0,0.0236466709928
4,1,4,10,1,1,1,10,1024,100,2,0,7.2102773802e-05
2,1,2,10,10,1,1,1000,512,10000,5,0,0.000138127919161
4,1,4,10,1,0,1,1000,512,10000,5,29,5.41461443111e-05
2,10,4,1000000,1,0,1000,10,1024,100,5,0,0.00840038753169
4,1,2,1000000,10,1,1,10,1024,100,5,0,0.000603895262572
4,1,2,1000000,1,0,1,1000,512,10000,5,0,4.77922600297e-05
2,10,2,1000000,10,1,1000,10,512,100,2,0,0.488917306406
2,1,2,1000000,1,1,1,10,512,100,2,29,4.42009341315e-06
2,10,4,10,10,1,1000,10,1024,100,2,29,0.259368042669
4,10,4,10,10,0,1,1000,512,10000,2,0,0.00044283810883
2,10,4,1000000,1,0,1,10,1024,100,5,29,3.59132589818e-06
2,1,2,10,10,1,1000,10,512,100,2,0,0.521115200618
4,1,2,10,1,0,1000,1000,1024,10000,2,0,0.0229060290903
2,10,4,1000000,1,1,1000,1000,1024,10000,2,29,0.0105960689347
2,10,4,1000000,10,1,1000,10,512,100,2,0,0.323748637023
4,1,4,10,10,1,1000,1000,512,10000,5,29,0.488950733363
2,10,2,10,10,1,1000,1000,1024,10000,5,0,0.509435103774
2,10,2,10,1,0,1000,10,512,100,5,0,0.00964602510668
2,1,2,1000000,1,1,1,10,512,100,5,29,4.97260508979e-06
2,10,2,1000000,1,1,1,10,512,100,2,29,1.27077685628e-05
4,1,4,1000000,10,1,1,10,512,100,5,29,0.000419356362573
2,10,2,10,1,1,1,10,512,100,5,0,6.90639595805e-06
2,1,4,1000000,10,1,1000,1000,1024,10000,2,0,0.261693564316
2,10,4,1000000,10,1,1,1000,512,10000,2,29,0.000147244361826
2,1,4,10,10,1,1,10,512,100,5,0,0.000163543456287
2,10,4,10,10,1,1000,10,512,100,5,29,0.294670499993
4,1,2,10,10,1,1000,1000,512,10000,2,29,0.604357991101
4,10,2,1000000,10,0,1000,10,512,100,2,29,0.605631806771
4,1,2,1000000,1,0,1,1000,1024,10000,5,29,5.71849585326e-05
2,1,4,1000000,1,0,1,10,512,100,5,0,8.01141931133e-06
2,1,4,10,1,1,1000,10,1024,100,2,29,0.00981398865638
4,10,2,1000000,1,0,1000,1000,1024,10000,2,29,0.0285170614224
2,1,4,10,1,1,1000,1000,1024,10000,5,29,0.00773709726388
4,1,4,10,10,1,1000,10,1024,100,5,29,0.583319727733
4,10,2,1000000,1,0,1000,10,512,100,2,29,0.0219993574289
4,1,2,1000000,10,1,1,10,1024,100,5,29,0.000415488780836
2,1,2,10,1,1,1,1000,512,10000,2,29,5.52511676644e-06
4,10,2,1000000,10,1,1,10,512,100,5,29,0.00043123536362
2,10,2,1000000,1,1,1,10,512,100,5,29,5.80137260476e-06
4,1,4,1000000,1,0,1000,1000,512,10000,5,0,0.0246981007135
2,1,2,10,1,0,1,10,512,100,5,0,4.69634925147e-06
4,1,4,1000000,1,1,1000,1000,1024,10000,5,0,0.0253409480493
2,1,2,10,1,1,1000,10,512,100,2,29,0.0100197992559
4,1,4,1000000,10,1,1000,10,1024,100,5,0,0.51437013807
2,1,4,1000000,1,1,1,1000,1024,10000,5,0,7.18265179637e-06
2,1,4,10,1,0,1,1000,512,10000,2,0,6.3538842814e-06
2,1,2,10,1,0,1000,10,1024,100,5,29,0.00874128723618
4,1,4,10,10,0,1,10,512,100,5,29,0.000430406596105
2,1,4,1000000,10,1,1,10,512,100,2,0,0.000150835687724
2,1,4,10,1,0,1000,1000,512,10000,2,29,0.00995405036641
2,10,2,10,1,1,1,10,1024,100,5,0,3.03881422154e-06
2,10,4,1000000,1,1,1,1000,1024,10000,5,0,8.01141931133e-06
2,1,2,10,10,1,1,10,512,100,2,0,0.000136470384131
4,1,2,1000000,10,0,1,10,1024,100,2,0,0.000346424821256
2,1,4,10,1,1,1,10,1024,100,5,0,6.3538842814e-06
2,1,4,1000000,1,1,1000,10,512,100,2,0,0.00992559601506
2,1,4,10,10,0,1,1000,1024,10000,5,29,0.000143376780089
4,1,4,10,1,0,1,1000,1024,10000,2,0,5.5803679341e-05
2,10,2,10,10,0,1000,1000,1024,10000,2,0,0.681123687198
4,10,4,10,1,0,1,10,512,100,2,29,5.69087026943e-05
4,10,2,1000000,10,1,1,1000,1024,10000,2,0,0.000371840358381
4,10,2,1000000,10,0,1,1000,512,10000,5,29,0.000543118978141
4,1,4,1000000,10,0,1000,10,512,100,2,29,0.632479454163
4,10,4,10,1,1,1,1000,512,10000,5,0,5.93950052392e-05
2,1,4,10,1,1,1000,1000,1024,10000,2,29,0.00772604703035
2,1,4,1000000,10,1,1,10,1024,100,2,0,0.000164372223801
4,10,4,1000000,1,0,1,10,1024,100,5,29,5.41461443111e-05
4,10,4,1000000,1,1,1,1000,1024,10000,5,29,5.24886092811e-05
2,1,2,1000000,10,0,1,10,512,100,5,0,0.000138127919161
2,10,2,1000000,1,0,1000,10,1024,100,5,0,0.00971205025204
4,10,2,1000000,10,1,1000,10,512,100,2,0,0.818281948366
2,1,2,10,1,0,1,1000,1024,10000,2,0,6.3538842814e-06
4,1,2,10,10,1,1000,10,1024,100,2,0,0.802707749225
2,10,4,10,1,1,1000,1000,1024,10000,5,0,0.00793020009487
2,10,4,10,1,1,1000,10,512,100,2,29,0.00736774320804
2,10,4,10,10,1,1,10,512,100,2,0,0.000137575407484
4,1,4,10,10,1,1000,1000,1024,10000,5,29,0.594752299346
4,1,2,10,10,0,1000,10,1024,100,5,0,0.669018156362
2,1,4,10,10,1,1000,10,1024,100,2,0,0.342769956515
4,1,2,1000000,10,0,1,10,512,100,5,29,0.000430682851944
2,10,4,10,1,0,1,10,1024,100,5,0,9.94521017959e-06
4,10,4,10,10,1,1000,10,1024,100,5,29,0.585077543633
2,10,2,1000000,10,0,1000,10,512,100,2,29,0.597976757491
4,1,2,10,1,0,1000,10,512,100,5,29,0.0204385119424
4,10,4,1000000,1,0,1000,10,512,100,5,29,0.0208788637487
2,10,4,1000000,1,1,1,1000,1024,10000,2,0,1.07739776946e-05
2,10,4,10,1,1,1,1000,1024,10000,5,29,5.24886092811e-06
2,10,4,1000000,10,1,1,1000,512,10000,5,29,0.000153598246107
4,10,4,1000000,10,0,1,10,1024,100,2,0,0.000420185130087
2,1,2,1000000,1,0,1000,10,512,100,5,0,0.00904212984411
2,1,2,1000000,10,1,1000,10,512,100,5,29,0.642489308208
4,10,2,10,10,1,1,1000,512,10000,5,0,0.000401399733082
4,10,2,10,1,0,1000,10,1024,100,5,0,0.0235585453804
4,10,4,10,10,1,1000,1000,1024,10000,2,0,0.50940416312
4,10,2,10,1,0,1000,1000,1024,10000,5,29,0.0247387103217
2,10,2,10,10,1,1,10,512,100,2,0,0.000130945267365
2,10,2,1000000,10,0,1000,1000,1024,10000,5,0,0.322265695683
4,1,2,10,10,1,1000,10,512,100,2,0,0.891356590207
4,10,2,1000000,1,1,1000,1000,512,10000,5,29,0.0210067702018
2,1,2,10,10,1,1000,10,1024,100,2,29,0.852763097082
2,1,4,10,1,1,1000,10,512,100,5,29,0.00856503601133
2,1,4,1000000,1,1,1,1000,512,10000,5,29,7.45890763469e-06
4,10,2,1000000,1,0,1,1000,1024,10000,5,29,6.3538842814e-05
4,10,2,10,1,0,1000,1000,512,10000,2,29,0.0246820778749
2,10,4,10,1,0,1,10,512,100,5,0,3.59132589818e-06
2,10,4,10,1,0,1,1000,512,10000,2,0,1.27077685628e-05
2,10,4,10,10,1,1,1000,512,10000,5,29,0.00016464847964
4,10,2,10,1,1,1000,10,512,100,2,0,0.0219482500988
4,10,2,10,10,0,1000,10,512,100,5,0,0.685343771384
4,1,2,10,1,0,1000,10,512,100,5,0,0.0259882154784
4,10,4,1000000,10,0,1,10,1024,100,2,29,0.000457479668261
2,1,2,1000000,1,1,1,10,512,100,5,0,5.52511676644e-06
4,10,4,10,1,0,1000,10,1024,100,2,29,0.021378886816
4,10,4,1000000,1,1,1,10,512,100,5,29,3.53607473052e-05
2,1,2,1000000,1,0,1000,10,512,100,5,29,0.00979216444516
4,10,2,10,10,0,1000,1000,512,10000,5,0,0.70349985759
2,10,4,10,10,0,1000,1000,1024,10000,5,29,0.311954170261
2,1,4,10,10,0,1000,10,512,100,5,0,0.312102243391
2,10,4,1000000,10,1,1,1000,512,10000,5,0,0.000140337965867
4,1,4,10,10,1,1000,10,1024,100,2,29,0.663599950605
2,10,2,1000000,10,1,1,1000,1024,10000,2,29,0.000142824268412
4,10,2,10,1,0,1,10,512,100,2,29,4.69634925147e-05
2,10,4,1000000,1,0,1000,1000,512,10000,2,0,0.00913660934082
2,1,2,10,1,1,1,10,512,100,5,0,5.52511676644e-06
4,10,4,1000000,1,1,1,10,512,100,2,29,4.8897283383e-05
2,1,4,1000000,1,1,1,10,512,100,5,0,7.73516347301e-06
2,10,4,10,1,0,1000,10,1024,100,5,29,0.00858796524591
4,1,2,1000000,10,1,1,10,512,100,5,0,0.000434274177842
4,10,2,1000000,1,1,1,10,512,100,5,29,5.05548184129e-05
4,10,4,10,1,0,1,1000,512,10000,5,29,5.93950052392e-05
2,10,4,10,1,0,1000,10,1024,100,5,0,0.00928330119097
2,1,2,1000000,10,0,1,1000,1024,10000,5,0,0.000151664455239
4,10,4,10,10,1,1000,1000,1024,10000,5,0,0.512698237736
4,10,4,1000000,10,1,1,1000,512,10000,5,29,0.000452783319009
4,1,4,10,10,1,1000,1000,512,10000,5,0,0.607720300909
2,10,2,10,10,1,1000,1000,512,10000,2,29,0.556392242405
4,10,2,10,1,1,1,1000,1024,10000,5,0,5.71849585326e-05
2,1,4,1000000,10,1,1000,10,1024,100,5,29,0.340932302678
4,1,2,10,10,0,1000,10,1024,100,2,29,0.75023267648
2,1,2,1000000,10,1,1000,1000,1024,10000,5,29,0.303881974666
4,1,4,1000000,10,0,1000,1000,512,10000,5,0,0.541974450203
2,1,2,1000000,10,0,1,1000,512,10000,2,0,0.000151940711077
2,10,4,10,10,0,1000,1000,1024,10000,5,0,0.279753513491
4,10,4,1000000,1,1,1000,10,512,100,2,0,0.0295231851856
2,1,4,10,1,0,1000,10,512,100,2,29,0.00836778934277
2,1,4,1000000,10,1,1,10,512,100,5,29,0.000139509198353
2,10,2,1000000,10,1,1000,10,1024,100,2,29,0.569621305734
2,1,2,10,1,1,1,10,1024,100,2,0,5.24886092811e-06
2,10,2,10,10,1,1000,10,512,100,5,0,0.514289195109
4,10,2,1000000,10,0,1000,1000,1024,10000,5,29,0.637687705483
4,10,4,1000000,1,1,1000,10,1024,100,2,29,0.0252489548551
4,10,4,1000000,10,1,1,10,1024,100,5,0,0.00043289289865
2,1,2,10,10,1,1000,10,512,100,2,29,0.767564415264
4,10,4,10,10,1,1,1000,512,10000,5,29,0.000427644037722
2,1,2,10,10,1,1000,10,1024,100,5,0,0.446886361885
2,10,4,10,1,0,1,1000,512,10000,5,29,8.01141931133e-06
2,10,2,10,10,0,1,10,512,100,5,0,0.000132602802394
2,10,2,1000000,1,0,1,10,1024,100,2,0,8.01141931133e-06
2,10,4,1000000,10,1,1,1000,1024,10000,5,0,0.000148901896855
4,10,4,1000000,10,0,1000,10,1024,100,5,29,0.459631977497
4,1,4,1000000,1,0,1,1000,1024,10000,5,29,5.33173767961e-05
2,1,2,10,10,0,1,1000,1024,10000,5,0,0.000143376780089
2,1,2,10,1,1,1,1000,512,10000,5,0,5.80137260476e-06
2,10,4,10,10,1,1000,10,512,100,5,0,0.259204775469
