SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync.2
1,0,1,0,0,0,1,1,1,0,0,0,0,1,3052.5
1,1,0,1,0,0,0,0,0,0,0,0,1,0,3015.7
0,1,1,0,1,1,1,1,1,1,0,0,1,1,3027.3
1,1,1,1,1,0,1,0,1,0,0,0,1,1,3032.2
1,1,1,0,0,1,0,0,0,1,1,1,0,0,3084.0
0,1,1,1,1,0,1,0,0,1,1,1,1,0,3062.9
1,1,1,1,1,0,1,0,1,1,0,1,1,0,3079.3
1,0,0,0,1,0,1,1,1,1,0,0,0,0,3025.5
0,1,0,0,0,1,0,1,1,0,0,1,1,1,3057.6
0,1,0,0,1,0,0,1,1,1,0,0,1,1,3055.4
0,1,1,0,0,0,0,0,1,1,0,1,0,1,3041.3
1,0,0,1,1,1,0,1,0,1,1,1,1,0,3052.1
0,0,1,0,1,0,0,1,1,1,1,0,1,0,3036.4
0,1,1,1,1,0,0,1,1,1,1,1,1,1,3034.5
1,0,0,1,1,1,0,1,0,1,1,1,0,1,3060.4
0,0,0,1,0,0,1,0,0,1,1,1,1,1,3066.8
1,0,0,0,1,1,1,0,0,0,0,0,0,0,3073.0
1,1,0,1,0,1,1,0,1,1,0,0,0,1,3044.3
1,1,1,0,1,0,1,1,0,0,1,1,0,1,3053.2
0,0,1,0,0,0,0,0,1,0,0,0,0,1,3066.4
1,1,0,1,1,0,1,0,1,1,1,1,1,1,3054.7
0,0,1,1,1,1,0,1,0,0,0,1,0,1,3076.4
0,0,1,1,1,1,1,0,1,0,0,1,0,0,3070.3
0,1,1,1,0,0,0,0,0,1,1,1,1,1,3045.5
0,1,1,0,1,1,0,0,1,1,1,1,0,1,3045.1
1,0,0,1,1,1,1,0,0,1,0,1,0,0,3058.4
0,1,0,1,1,1,1,1,1,0,0,1,1,1,3066.9
1,0,1,1,0,0,0,0,0,0,1,1,1,0,3068.5
1,1,0,0,0,1,0,1,0,1,1,1,0,1,3031.9
0,1,0,0,0,0,0,1,1,0,0,0,0,1,3051.0
0,1,1,0,1,0,1,0,0,0,0,1,1,1,3055.3
1,0,1,1,0,0,0,0,1,1,1,0,0,0,3068.9
1,1,1,0,1,1,0,1,1,0,0,1,0,1,3039.4
0,1,1,1,1,1,1,0,0,1,0,0,0,0,3029.1
1,0,1,0,1,1,0,1,1,1,1,1,1,0,3047.8
0,0,1,0,1,0,0,1,1,0,0,1,0,0,3060.3
1,0,0,1,1,1,0,1,0,1,0,0,1,0,2998.5
1,0,1,1,1,0,0,0,1,0,0,1,0,1,3030.1
1,0,0,0,1,1,1,1,1,1,1,1,0,0,3052.8
0,0,0,0,1,0,0,1,0,0,0,0,1,0,3019.4
0,1,1,0,0,0,1,0,0,1,1,1,1,1,3067.0
0,1,1,1,0,1,1,0,1,1,0,1,0,0,3072.8
0,0,0,0,1,1,1,1,1,0,0,1,1,1,3047.6
1,1,1,0,0,1,1,0,1,0,0,1,1,1,3040.8
0,1,1,0,0,1,1,0,1,0,0,0,0,0,3018.0
1,1,1,0,0,1,0,1,1,1,1,0,1,0,3022.6
0,1,1,1,0,1,0,0,1,0,0,0,1,0,3021.8
1,1,1,1,0,1,0,0,1,0,1,1,1,1,3035.6
1,1,1,0,1,0,1,1,0,1,1,1,0,0,3073.5
1,1,0,1,0,0,1,0,0,0,0,1,0,0,3063.1
1,1,0,0,1,0,0,0,1,1,1,0,1,1,3016.7
1,1,0,0,0,1,0,1,0,0,0,1,0,0,3075.2
0,1,0,1,1,1,1,0,0,1,1,0,0,0,3029.7
0,1,0,0,1,1,0,0,0,0,0,1,1,1,3073.4
0,0,1,0,1,1,1,1,0,1,0,0,1,0,3035.3
0,0,0,0,0,1,1,1,1,0,1,0,1,1,3022.2
0,1,1,1,1,1,0,0,0,1,0,1,0,1,3057.1
1,1,1,1,1,0,1,0,1,0,0,1,1,1,3041.7
0,1,1,1,0,1,1,0,0,1,1,0,1,1,3038.8
0,0,0,0,0,0,1,0,1,0,1,0,0,0,3045.0
0,0,0,1,0,0,0,0,1,0,1,0,0,1,3041.7
0,1,0,0,0,0,0,0,0,1,1,0,1,1,3040.4
1,1,0,0,1,1,1,1,1,1,1,0,0,1,3047.2
0,1,0,1,0,0,1,0,1,0,0,0,1,0,3022.8
1,1,1,1,0,0,1,0,0,1,1,1,0,1,3076.5
1,1,0,1,0,0,0,0,0,1,1,0,1,0,3035.7
1,0,0,1,1,1,1,1,0,0,0,0,0,1,3038.7
0,0,0,1,0,1,1,1,1,0,0,1,0,1,3061.0
1,1,0,0,0,0,1,0,1,1,0,0,1,0,3017.8
0,0,0,1,1,1,0,1,1,0,1,0,1,0,3043.1
1,1,0,0,1,1,1,1,0,0,1,0,1,1,3021.2
0,1,0,1,0,1,0,1,1,1,0,1,0,1,3080.3
0,0,1,1,1,0,0,0,0,1,1,1,1,1,3034.7
1,0,0,0,1,0,1,1,1,0,0,1,1,0,3076.8
0,0,1,1,1,1,1,1,0,0,1,1,0,1,3046.7
0,0,1,1,0,0,1,1,1,1,1,0,1,1,3040.8
0,1,0,0,1,1,1,0,0,1,1,1,1,1,3046.3
1,0,1,0,1,1,0,1,1,0,0,0,0,1,3030.0
0,1,1,0,1,0,1,1,0,0,0,0,0,0,3060.0
1,0,0,0,0,0,1,1,0,0,0,1,1,0,3043.3
1,1,1,1,1,1,1,0,1,0,1,0,0,0,3031.2
0,0,0,1,0,1,1,0,1,1,0,0,0,1,3034.4
1,0,0,1,1,0,0,1,0,1,1,0,0,0,3028.3
1,0,0,1,0,0,1,0,0,0,1,0,1,0,3012.5
1,1,1,0,0,1,0,0,0,0,0,1,1,0,3042.9
1,1,0,1,1,1,1,0,0,0,1,0,1,1,3022.6
1,0,1,1,0,1,0,1,0,1,1,1,1,0,3057.4
1,0,1,1,1,0,0,0,1,1,1,1,1,0,3063.8
1,0,1,0,0,1,0,0,1,0,1,0,0,0,3055.6
0,0,1,0,0,0,1,1,1,1,0,1,1,1,3059.8
0,1,1,1,0,1,0,1,1,0,0,0,0,0,3055.4
0,0,1,0,0,0,1,1,1,0,1,1,1,1,3081.7
0,1,0,0,1,0,0,1,1,0,1,1,0,1,3083.6
1,1,1,1,0,1,1,0,1,0,1,1,1,0,3037.3
1,1,0,0,1,0,1,1,0,1,1,0,0,1,3064.1
1,0,1,1,1,1,0,1,1,1,1,1,1,1,3076.8
0,0,1,1,1,0,1,0,1,1,1,1,1,0,3054.0
0,1,0,1,1,1,1,1,1,0,1,0,1,1,3016.2
0,0,0,0,0,1,1,0,1,1,1,0,1,0,3034.3
1,0,0,0,0,0,1,1,0,1,1,0,1,0,3051.7
0,0,0,1,0,0,0,0,0,1,0,0,1,1,3054.3
1,1,0,1,0,0,1,1,1,0,0,1,1,1,3054.1
1,0,0,0,1,1,1,1,0,0,0,1,0,1,3069.1
1,0,1,0,1,0,1,1,0,1,0,1,0,0,3073.9
1,0,1,0,1,1,0,1,0,1,1,1,0,1,3044.5
1,0,1,1,0,0,0,0,1,1,1,1,1,0,3081.1
0,0,1,0,1,1,1,0,0,0,0,0,1,0,3028.6
0,1,0,1,1,1,1,1,1,1,1,0,1,0,3021.6
0,1,0,1,0,0,0,0,0,0,1,0,1,0,3034.8
1,0,0,1,0,0,1,1,0,1,1,1,0,1,3051.0
0,1,0,0,0,0,0,0,1,1,0,0,0,1,3051.1
0,0,1,0,0,1,1,0,1,1,1,1,0,0,3043.5
1,0,1,1,0,1,1,1,1,0,0,0,1,1,3029.3
0,1,0,0,1,1,1,1,0,0,0,1,1,0,3044.8
1,1,0,0,0,0,0,1,1,1,0,1,0,0,3081.0
0,0,1,1,0,1,1,1,0,0,0,1,1,0,3048.1
1,0,1,0,0,0,1,1,1,0,1,0,0,1,3030.6
0,1,1,0,0,1,0,0,0,1,1,0,0,1,3045.8
1,1,0,0,0,0,0,0,0,0,0,1,1,1,3041.9
1,0,0,1,0,1,0,0,1,0,1,1,0,0,3061.4
1,1,1,0,1,0,1,1,0,1,0,0,0,1,3059.3
1,1,0,0,1,1,0,1,0,0,0,1,1,1,3048.0
1,0,1,1,0,1,1,1,1,1,0,1,0,1,3044.5
0,0,0,0,1,0,1,1,1,0,1,0,0,1,3015.1
0,1,1,1,0,1,0,1,0,1,1,1,0,1,3038.2
0,0,1,0,1,1,0,0,0,0,0,1,1,1,3068.5
0,1,0,1,0,1,0,0,1,0,1,1,1,1,3049.6
0,1,1,0,0,0,1,1,0,0,0,0,0,1,3012.3
0,1,1,1,1,0,1,0,0,0,0,0,0,1,3051.3
1,1,1,1,0,1,0,0,1,0,0,1,0,1,3053.6
1,0,1,0,0,1,0,1,1,0,1,1,0,0,3023.5
1,0,1,0,0,0,0,1,1,0,1,0,1,0,3016.4
0,1,1,0,0,1,0,0,1,0,1,0,1,1,3052.5
0,0,0,0,0,0,1,0,1,0,1,1,1,0,3066.7
0,0,1,0,1,1,1,0,1,0,0,1,0,0,3068.4
0,0,1,1,1,0,0,0,1,0,0,1,0,0,3080.3
1,0,1,1,1,0,0,1,0,0,1,1,1,0,3026.0
0,0,1,0,1,1,0,1,0,1,0,0,1,1,3023.4
1,1,0,0,1,0,0,1,1,1,1,0,1,1,3039.5
1,1,0,0,1,1,0,1,0,0,0,1,0,1,3044.3
1,0,1,1,0,0,0,0,0,1,0,0,1,0,3050.9
1,1,0,0,0,1,0,0,1,1,0,0,1,0,3018.7
0,1,0,1,1,0,0,0,0,0,0,1,1,0,3081.2
1,0,0,1,0,1,0,0,0,0,1,0,0,1,3010.3
1,1,1,0,0,1,0,1,1,0,0,0,1,0,3050.6
1,0,0,1,0,1,1,0,1,1,1,1,1,1,3047.9
1,1,0,1,1,0,1,1,1,1,1,1,1,0,3038.8
1,0,0,1,1,1,1,1,0,1,1,0,0,1,3048.1
0,0,1,0,1,1,0,0,0,1,0,0,1,0,3061.3
1,1,1,1,0,0,0,1,0,0,0,0,0,0,3046.7
1,1,1,1,0,0,1,1,0,0,0,0,0,1,3048.4
0,1,1,0,0,0,1,1,1,1,0,1,0,1,3046.4
0,0,0,1,1,0,1,0,0,0,0,1,1,0,3056.5
0,1,0,1,1,0,1,0,1,0,0,0,1,0,3002.8
0,0,0,0,1,0,0,1,1,0,1,1,0,1,3039.8
1,1,0,0,0,1,1,1,1,1,1,0,0,0,3023.3
0,1,0,1,1,1,0,1,0,1,0,0,0,1,3029.9
1,0,0,1,0,0,0,1,0,0,1,1,0,0,3054.9
0,0,0,1,1,0,1,1,1,0,1,1,0,1,3042.7
1,1,0,1,0,0,1,0,0,1,1,0,1,0,3042.5
0,0,0,1,0,1,0,1,1,0,1,1,0,1,3018.1
1,1,1,0,0,1,1,1,1,1,0,1,1,0,3047.7
0,1,0,0,0,1,1,1,0,1,1,0,1,0,3032.3
1,1,0,0,0,0,1,1,1,1,1,1,0,1,3048.3
1,0,0,1,1,1,1,1,1,0,0,0,1,1,3025.5
1,1,0,0,1,0,0,0,0,1,0,0,1,1,3034.7
1,0,0,1,1,1,1,1,1,1,1,1,0,1,3042.3
1,1,0,0,0,1,0,0,1,1,1,0,1,1,3055.8
1,0,1,1,1,0,1,0,0,0,0,1,1,1,3041.9
1,1,1,1,1,1,0,0,0,1,1,0,0,0,3050.1
0,1,1,1,1,1,0,0,0,1,0,1,1,1,3048.1
0,0,1,1,1,1,1,1,1,0,0,0,1,0,3012.0
1,0,1,1,1,1,0,1,0,1,1,0,1,0,3040.4
0,1,0,1,1,0,0,1,1,0,0,1,0,0,3060.9
1,1,0,0,0,1,1,1,1,0,0,0,0,1,3018.8
0,0,0,1,1,1,0,1,0,1,0,1,0,1,3078.5
0,1,1,1,0,0,1,1,1,1,1,0,0,1,3037.9
1,1,1,1,1,1,1,1,1,1,1,1,0,1,3045.6
1,1,0,1,1,1,0,0,1,1,1,0,0,0,3056.0
0,1,0,1,0,0,1,1,0,1,0,0,0,1,3012.8
0,0,1,0,0,0,1,0,0,0,0,1,0,1,3050.1
0,1,0,0,1,0,0,1,0,1,0,1,1,0,3059.8
0,0,1,0,1,1,1,1,0,0,0,0,1,1,3013.0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,3038.9
0,0,0,0,0,0,1,1,1,1,0,0,1,0,3027.2
1,1,1,1,1,0,1,0,1,0,1,0,0,0,3032.2
0,0,1,0,1,1,0,1,0,0,0,0,1,1,3011.9
0,0,1,0,0,1,0,0,1,0,0,1,1,0,3038.8
1,0,0,0,1,0,0,1,1,0,1,1,1,0,3030.5
1,0,0,1,1,0,0,0,0,0,1,0,0,1,3026.3
0,0,0,1,0,1,1,0,0,1,0,0,0,0,3049.4
0,1,1,1,0,0,0,0,0,1,0,1,0,0,3042.0
0,1,1,1,1,0,1,1,1,0,1,0,1,0,3019.9
1,0,1,0,0,1,1,0,0,0,0,0,0,0,3043.3
1,0,0,0,1,0,0,1,1,1,0,1,1,0,3042.0
0,1,1,0,0,0,1,0,0,0,1,1,0,1,3062.8
1,0,1,0,1,1,1,0,0,1,1,0,0,0,3050.9
1,0,0,1,0,0,1,0,0,1,1,1,0,1,3045.5
1,0,0,0,0,0,1,1,1,0,1,0,1,0,2993.4
1,1,0,0,0,0,0,1,0,0,1,1,1,0,3017.7
0,1,1,1,0,0,1,1,0,1,1,1,1,0,3071.3
1,1,0,1,1,0,0,1,0,0,1,1,0,0,3080.9
1,1,0,1,0,0,1,0,0,1,1,1,1,1,3051.1
0,1,0,0,0,1,0,1,0,1,1,1,1,0,3056.4
0,1,1,1,1,0,0,1,0,1,1,0,1,1,3001.3
0,0,0,0,0,0,1,0,1,0,1,0,1,1,2991.0
0,1,1,1,1,0,0,0,1,0,0,0,0,0,3004.8
0,1,1,1,1,1,1,1,0,0,1,0,1,1,3023.2
0,1,0,0,1,0,0,1,0,1,0,0,1,1,3041.1
1,0,1,0,0,0,0,1,0,0,1,1,0,0,3048.0
1,1,0,0,1,0,0,1,0,0,0,0,1,0,3007.8
0,1,0,0,1,1,1,0,1,0,1,1,1,1,3040.0
1,1,1,0,0,1,0,1,1,0,1,0,0,1,3017.1
1,0,0,0,0,0,1,0,1,1,1,0,1,1,3036.3
1,0,0,1,1,0,1,1,1,1,1,1,1,1,3038.1
1,1,0,1,1,1,0,0,1,1,0,1,0,0,3065.0
0,1,1,1,0,0,1,1,1,1,1,0,0,0,3035.9
0,0,0,1,0,1,0,1,0,0,1,0,0,0,3037.8
1,0,1,0,0,1,1,0,0,1,1,1,1,0,3024.7
0,1,1,0,0,0,0,1,1,1,0,0,1,0,3005.0
1,0,0,1,0,1,1,0,0,1,1,1,1,1,3047.4
1,0,1,0,1,0,0,0,1,1,1,0,1,0,3028.1
1,0,1,1,1,1,1,0,0,1,1,1,1,0,3045.7
0,1,1,0,1,1,1,1,0,1,0,1,0,0,3075.6
0,0,1,0,0,0,0,0,1,0,1,1,0,1,3071.0
0,1,1,1,0,0,0,0,0,0,0,1,0,1,3060.7
0,0,1,1,0,0,1,0,0,1,0,0,1,0,3021.8
0,1,1,0,0,1,1,0,0,1,0,1,0,0,3075.1
0,1,0,1,0,0,0,1,0,0,1,1,0,0,3065.5
0,0,1,1,0,1,0,1,0,1,0,1,1,1,3041.5
1,1,0,0,0,0,1,1,0,1,1,1,1,0,3029.5
0,1,1,1,1,0,1,1,1,1,0,0,0,0,3019.0
0,1,0,0,0,0,1,0,0,1,1,0,0,0,3059.9
1,0,1,0,0,1,0,1,0,0,1,1,1,0,3042.8
0,0,1,1,0,1,1,1,0,1,0,0,0,1,3024.7
0,0,1,1,0,1,1,0,0,0,0,1,0,0,3061.0
1,1,0,1,1,1,1,0,1,1,0,0,0,0,3039.0
1,1,0,0,0,0,0,1,0,1,0,1,1,0,3060.8
0,0,1,0,0,0,1,0,1,0,0,1,1,0,3034.9
0,0,0,0,1,0,0,1,0,1,1,1,1,1,3055.1
