SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync
1,1,1,1,0,0,1,0,1,1,0,0,1,0,2533.1
0,1,0,1,0,0,1,0,1,0,0,1,0,0,2548.0
0,1,0,1,1,0,1,0,1,1,1,0,0,1,2531.1
0,0,1,1,0,1,0,1,1,0,0,0,0,0,2538.1
0,0,1,1,0,1,0,1,0,1,0,0,1,0,2530.5
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2536.6
0,1,1,0,1,0,0,1,0,0,0,1,1,0,2534.8
0,1,1,1,0,1,0,1,0,0,1,1,1,1,2543.2
1,1,0,0,1,1,1,0,0,1,1,1,1,1,2528.2
1,1,1,0,0,0,0,1,1,0,0,1,1,1,2546.0
1,1,1,1,1,1,0,1,1,0,0,0,1,0,2533.3
1,1,0,0,0,1,0,1,1,0,1,1,1,0,2539.8
0,1,0,0,0,1,0,1,1,0,0,1,0,0,2544.2
1,0,1,1,1,1,0,1,1,0,0,1,1,1,2542.0
1,0,0,1,1,1,0,0,1,0,1,0,1,1,2525.8
0,1,0,1,1,1,0,1,1,0,0,1,1,0,2544.1
1,1,1,1,1,1,1,1,1,0,0,0,1,0,2542.2
0,0,1,1,1,1,0,1,1,1,1,1,1,1,2526.6
0,1,1,0,0,0,0,0,0,1,0,1,1,1,2539.4
1,0,1,0,0,0,1,1,1,0,0,0,0,1,2546.0
1,1,0,1,0,0,0,0,0,0,0,0,1,0,2522.3
0,1,1,0,1,1,1,1,1,1,0,0,1,1,2543.1
1,1,1,1,1,0,1,0,1,0,0,0,1,1,2561.0
1,1,1,0,0,1,0,0,0,1,1,1,0,0,2559.2
0,1,1,1,1,0,1,0,0,1,1,1,1,0,2530.4
1,1,1,1,1,0,1,0,1,1,0,1,1,0,2530.4
1,0,0,0,1,0,1,1,1,1,0,0,0,0,2527.3
0,1,0,0,0,1,0,1,1,0,0,1,1,1,2552.6
0,1,0,0,1,0,0,1,1,1,0,0,1,1,2523.9
0,1,1,0,0,0,0,0,1,1,0,1,0,1,2573.3
1,0,0,1,1,1,0,1,0,1,1,1,1,0,2524.3
0,0,1,0,1,0,0,1,1,1,1,0,1,0,2538.5
0,1,1,1,1,0,0,1,1,1,1,1,1,1,2532.1
1,0,0,1,1,1,0,1,0,1,1,1,0,1,2540.5
0,0,0,1,0,0,1,0,0,1,1,1,1,1,2539.5
1,0,0,0,1,1,1,0,0,0,0,0,0,0,2520.3
1,1,0,1,0,1,1,0,1,1,0,0,0,1,2549.8
1,1,1,0,1,0,1,1,0,0,1,1,0,1,2554.4
0,0,1,0,0,0,0,0,1,0,0,0,0,1,2529.9
1,1,0,1,1,0,1,0,1,1,1,1,1,1,2549.7
0,0,1,1,1,1,0,1,0,0,0,1,0,1,2554.2
0,0,1,1,1,1,1,0,1,0,0,1,0,0,2554.2
0,1,1,1,0,0,0,0,0,1,1,1,1,1,2531.9
0,1,1,0,1,1,0,0,1,1,1,1,0,1,2527.9
1,0,0,1,1,1,1,0,0,1,0,1,0,0,2547.4
0,1,0,1,1,1,1,1,1,0,0,1,1,1,2542.0
1,0,1,1,0,0,0,0,0,0,1,1,1,0,2530.6
1,1,0,0,0,1,0,1,0,1,1,1,0,1,2530.5
0,1,0,0,0,0,0,1,1,0,0,0,0,1,2538.4
0,1,1,0,1,0,1,0,0,0,0,1,1,1,2528.1
1,0,1,1,0,0,0,0,1,1,1,0,0,0,2533.4
1,1,1,0,1,1,0,1,1,0,0,1,0,1,2533.8
0,1,1,1,1,1,1,0,0,1,0,0,0,0,2562.0
1,0,1,0,1,1,0,1,1,1,1,1,1,0,2533.5
0,0,1,0,1,0,0,1,1,0,0,1,0,0,2530.6
1,0,0,1,1,1,0,1,0,1,0,0,1,0,2523.7
1,0,1,1,1,0,0,0,1,0,0,1,0,1,2547.6
1,0,0,0,1,1,1,1,1,1,1,1,0,0,2554.9
0,0,0,0,1,0,0,1,0,0,0,0,1,0,2537.7
0,1,1,0,0,0,1,0,0,1,1,1,1,1,2541.3
0,1,1,1,0,1,1,0,1,1,0,1,0,0,2536.3
0,0,0,0,1,1,1,1,1,0,0,1,1,1,2540.7
1,1,1,0,0,1,1,0,1,0,0,1,1,1,2538.0
