SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandbatch.6
0,1,1,1,1,0,0,1,1,1,1,0,0,0,51.854
0,1,0,1,1,0,1,0,0,1,1,0,1,0,45.311
0,0,1,1,1,0,0,1,1,1,1,0,1,0,36.801
1,0,1,1,1,1,1,1,0,1,1,0,1,0,37.89
0,0,1,1,1,0,1,0,0,1,1,1,0,1,41.765
1,1,0,0,0,0,1,1,1,1,1,0,1,0,42.999
0,1,1,1,0,1,0,0,0,0,1,1,1,0,46.621
1,1,1,1,0,1,1,1,1,1,1,0,1,1,49.335
1,1,1,0,0,0,1,0,0,1,1,0,1,1,45.093
1,0,0,0,0,1,1,1,1,1,0,1,1,0,46.517
1,1,0,1,1,0,1,1,0,1,0,1,1,1,41.202
1,0,1,1,1,1,0,0,1,0,1,0,0,1,39.069
0,0,1,1,0,0,1,0,0,0,1,0,1,0,44.876
1,1,0,1,0,1,0,1,0,1,0,0,0,0,41.179
1,1,1,0,0,1,1,0,1,0,0,1,0,0,43.57
1,1,0,1,0,1,1,0,1,1,0,1,0,1,36.218
1,0,1,0,1,0,1,1,0,1,0,1,1,0,41.791
1,0,1,1,0,1,0,0,1,0,1,1,0,1,46.951
1,0,0,0,1,0,0,1,0,1,1,0,1,1,47.492
1,0,0,1,0,0,0,1,1,1,1,0,0,0,39.027
1,0,1,0,0,1,1,1,1,1,1,0,0,1,41.605
1,0,0,0,0,1,0,1,0,0,0,0,1,0,36.514
0,1,1,1,1,1,0,0,1,1,0,0,1,1,26.356
1,1,1,1,1,1,0,1,0,0,0,1,1,0,33.188
1,1,1,1,0,0,1,0,1,1,0,0,1,0,32.17
0,1,0,1,0,0,1,0,1,0,0,1,0,0,32.848
0,1,0,1,1,0,1,0,1,1,1,0,0,1,40.851
0,0,1,1,0,1,0,1,1,0,0,0,0,0,32.849
0,0,1,1,0,1,0,1,0,1,0,0,1,0,32.06
0,0,0,1,1,0,0,0,0,1,1,0,1,0,29.605
0,1,1,0,1,0,0,1,0,0,0,1,1,0,28.273
0,1,1,1,0,1,0,1,0,0,1,1,1,1,30.819
1,1,0,0,1,1,1,0,0,1,1,1,1,1,32.856
1,1,1,0,0,0,0,1,1,0,0,1,1,1,33.58
1,1,1,1,1,1,0,1,1,0,0,0,1,0,31.226
1,1,0,0,0,1,0,1,1,0,1,1,1,0,34.34
0,1,0,0,0,1,0,1,1,0,0,1,0,0,32.132
1,0,1,1,1,1,0,1,1,0,0,1,1,1,32.344
1,0,0,1,1,1,0,0,1,0,1,0,1,1,30.921
0,1,0,1,1,1,0,1,1,0,0,1,1,0,31.516
1,1,1,1,1,1,1,1,1,0,0,0,1,0,28.81
0,0,1,1,1,1,0,1,1,1,1,1,1,1,32.381
0,1,1,0,0,0,0,0,0,1,0,1,1,1,28.168
1,0,1,0,0,0,1,1,1,0,0,0,0,1,27.944
1,1,0,1,0,0,0,0,0,0,0,0,1,0,27.561
0,1,1,0,1,1,1,1,1,1,0,0,1,1,29.756
1,1,1,1,1,0,1,0,1,0,0,0,1,1,23.507
1,1,1,0,0,1,0,0,0,1,1,1,0,0,25.706
0,1,1,1,1,0,1,0,0,1,1,1,1,0,25.9
1,1,1,1,1,0,1,0,1,1,0,1,1,0,29.608
1,0,0,0,1,0,1,1,1,1,0,0,0,0,28.804
0,1,0,0,0,1,0,1,1,0,0,1,1,1,29.402
0,1,0,0,1,0,0,1,1,1,0,0,1,1,24.978
0,1,1,0,0,0,0,0,1,1,0,1,0,1,25.104
1,0,0,1,1,1,0,1,0,1,1,1,1,0,27.419
0,0,1,0,1,0,0,1,1,1,1,0,1,0,22.786
0,1,1,1,1,0,0,1,1,1,1,1,1,1,22.843
1,0,0,1,1,1,0,1,0,1,1,1,0,1,23.298
0,0,0,1,0,0,1,0,0,1,1,1,1,1,28.994
1,0,0,0,1,1,1,0,0,0,0,0,0,0,21.765
1,1,0,1,0,1,1,0,1,1,0,0,0,1,25.658
1,1,1,0,1,0,1,1,0,0,1,1,0,1,24.997
0,0,1,0,0,0,0,0,1,0,0,0,0,1,23.282
1,1,0,1,1,0,1,0,1,1,1,1,1,1,23.131
0,0,1,1,1,1,0,1,0,0,0,1,0,1,26.563
0,0,1,1,1,1,1,0,1,0,0,1,0,0,27.137
0,1,1,1,0,0,0,0,0,1,1,1,1,1,23.529
0,1,1,0,1,1,0,0,1,1,1,1,0,1,29.008
1,0,0,1,1,1,1,0,0,1,0,1,0,0,28.033
0,1,0,1,1,1,1,1,1,0,0,1,1,1,30.354
1,0,1,1,0,0,0,0,0,0,1,1,1,0,30.345
1,1,0,0,0,1,0,1,0,1,1,1,0,1,26.351
0,1,0,0,0,0,0,1,1,0,0,0,0,1,30.353
0,1,1,0,1,0,1,0,0,0,0,1,1,1,36.514
1,0,1,1,0,0,0,0,1,1,1,0,0,0,33.235
1,1,1,0,1,1,0,1,1,0,0,1,0,1,32.897
0,1,1,1,1,1,1,0,0,1,0,0,0,0,33.511
1,0,1,0,1,1,0,1,1,1,1,1,1,0,30.863
0,0,1,0,1,0,0,1,1,0,0,1,0,0,36.974
1,0,0,1,1,1,0,1,0,1,0,0,1,0,33.149
1,0,1,1,1,0,0,0,1,0,0,1,0,1,29.423
1,0,0,0,1,1,1,1,1,1,1,1,0,0,35.453
0,0,0,0,1,0,0,1,0,0,0,0,1,0,34.661
0,1,1,0,0,0,1,0,0,1,1,1,1,1,29.451
0,1,1,1,0,1,1,0,1,1,0,1,0,0,30.018
0,0,0,0,1,1,1,1,1,0,0,1,1,1,30.044
1,1,1,0,0,1,1,0,1,0,0,1,1,1,28.94
0,1,1,0,0,1,1,0,1,0,0,0,0,0,34.516
1,1,1,0,0,1,0,1,1,1,1,0,1,0,31.376
0,1,1,1,0,1,0,0,1,0,0,0,1,0,22.347
1,1,1,1,0,1,0,0,1,0,1,1,1,1,28.232
1,1,1,0,1,0,1,1,0,1,1,1,0,0,27.068
1,1,0,1,0,0,1,0,0,0,0,1,0,0,29.156
1,1,0,0,1,0,0,0,1,1,1,0,1,1,27.874
1,1,0,0,0,1,0,1,0,0,0,1,0,0,29.947
0,1,0,1,1,1,1,0,0,1,1,0,0,0,27.963
0,1,0,0,1,1,0,0,0,0,0,1,1,1,23.555
0,0,1,0,1,1,1,1,0,1,0,0,1,0,29.542
0,0,0,0,0,1,1,1,1,0,1,0,1,1,25.703
0,1,1,1,1,1,0,0,0,1,0,1,0,1,28.281
1,1,1,1,1,0,1,0,1,0,0,1,1,1,29.872
0,1,1,1,0,1,1,0,0,1,1,0,1,1,24.435
0,0,0,0,0,0,1,0,1,0,1,0,0,0,30.608
0,0,0,1,0,0,0,0,1,0,1,0,0,1,29.064
0,1,0,0,0,0,0,0,0,1,1,0,1,1,22.838
1,1,0,0,1,1,1,1,1,1,1,0,0,1,25.207
0,1,0,1,0,0,1,0,1,0,0,0,1,0,27.368
1,1,1,1,0,0,1,0,0,1,1,1,0,1,24.321
1,1,0,1,0,0,0,0,0,1,1,0,1,0,22.26
1,0,0,1,1,1,1,1,0,0,0,0,0,1,25.495
0,0,0,1,0,1,1,1,1,0,0,1,0,1,24.769
1,1,0,0,0,0,1,0,1,1,0,0,1,0,27.529
0,0,0,1,1,1,0,1,1,0,1,0,1,0,23.937
1,1,0,0,1,1,1,1,0,0,1,0,1,1,21.321
0,1,0,1,0,1,0,1,1,1,0,1,0,1,27.488
0,0,1,1,1,0,0,0,0,1,1,1,1,1,28.102
1,0,0,0,1,0,1,1,1,0,0,1,1,0,25.501
0,0,1,1,1,1,1,1,0,0,1,1,0,1,31.511
0,0,1,1,0,0,1,1,1,1,1,0,1,1,29.612
0,1,0,0,1,1,1,0,0,1,1,1,1,1,27.79
1,0,1,0,1,1,0,1,1,0,0,0,0,1,30.373
0,1,1,0,1,0,1,1,0,0,0,0,0,0,27.892
1,0,0,0,0,0,1,1,0,0,0,1,1,0,28.537
1,1,1,1,1,1,1,0,1,0,1,0,0,0,30.023
0,0,0,1,0,1,1,0,1,1,0,0,0,1,29.532
1,0,0,1,1,0,0,1,0,1,1,0,0,0,32.195
1,0,0,1,0,0,1,0,0,0,1,0,1,0,29.248
1,1,1,0,0,1,0,0,0,0,0,1,1,0,23.505
1,1,0,1,1,1,1,0,0,0,1,0,1,1,30.275
1,0,1,1,0,1,0,1,0,1,1,1,1,0,32.664
1,0,1,1,1,0,0,0,1,1,1,1,1,0,27.103
1,0,1,0,0,1,0,0,1,0,1,0,0,0,26.94
0,0,1,0,0,0,1,1,1,1,0,1,1,1,27.6
0,1,1,1,0,1,0,1,1,0,0,0,0,0,31.249
0,0,1,0,0,0,1,1,1,0,1,1,1,1,30.366
0,1,0,0,1,0,0,1,1,0,1,1,0,1,27.242
1,1,1,1,0,1,1,0,1,0,1,1,1,0,32.107
1,1,0,0,1,0,1,1,0,1,1,0,0,1,32.557
1,0,1,1,1,1,0,1,1,1,1,1,1,1,30.934
0,0,1,1,1,0,1,0,1,1,1,1,1,0,29.314
0,1,0,1,1,1,1,1,1,0,1,0,1,1,33.514
0,0,0,0,0,1,1,0,1,1,1,0,1,0,29.67
1,0,0,0,0,0,1,1,0,1,1,0,1,0,33.107
0,0,0,1,0,0,0,0,0,1,0,0,1,1,28.928
1,1,0,1,0,0,1,1,1,0,0,1,1,1,33.199
1,0,0,0,1,1,1,1,0,0,0,1,0,1,32.733
1,0,1,0,1,0,1,1,0,1,0,1,0,0,31.516
1,0,1,0,1,1,0,1,0,1,1,1,0,1,32.71
1,0,1,1,0,0,0,0,1,1,1,1,1,0,30.694
0,0,1,0,1,1,1,0,0,0,0,0,1,0,30.263
0,1,0,1,1,1,1,1,1,1,1,0,1,0,35.838
0,1,0,1,0,0,0,0,0,0,1,0,1,0,33.134
1,0,0,1,0,0,1,1,0,1,1,1,0,1,35.881
0,1,0,0,0,0,0,0,1,1,0,0,0,1,36.944
0,0,1,0,0,1,1,0,1,1,1,1,0,0,39.337
1,0,1,1,0,1,1,1,1,0,0,0,1,1,35.3
0,1,0,0,1,1,1,1,0,0,0,1,1,0,34.777
1,1,0,0,0,0,0,1,1,1,0,1,0,0,35.059
0,0,1,1,0,1,1,1,0,0,0,1,1,0,36.36
1,0,1,0,0,0,1,1,1,0,1,0,0,1,32.671
0,1,1,0,0,1,0,0,0,1,1,0,0,1,35.033
1,1,0,0,0,0,0,0,0,0,0,1,1,1,30.123
1,0,0,1,0,1,0,0,1,0,1,1,0,0,38.819
1,1,1,0,1,0,1,1,0,1,0,0,0,1,34.045
1,1,0,0,1,1,0,1,0,0,0,1,1,1,29.993
1,0,1,1,0,1,1,1,1,1,0,1,0,1,37.542
0,0,0,0,1,0,1,1,1,0,1,0,0,1,36.914
0,1,1,1,0,1,0,1,0,1,1,1,0,1,34.065
0,0,1,0,1,1,0,0,0,0,0,1,1,1,34.028
0,1,0,1,0,1,0,0,1,0,1,1,1,1,35.703
0,1,1,0,0,0,1,1,0,0,0,0,0,1,32.364
0,1,1,1,1,0,1,0,0,0,0,0,0,1,33.858
1,1,1,1,0,1,0,0,1,0,0,1,0,1,35.353
1,0,1,0,0,1,0,1,1,0,1,1,0,0,36.551
1,0,1,0,0,0,0,1,1,0,1,0,1,0,32.072
0,1,1,0,0,1,0,0,1,0,1,0,1,1,39.349
0,0,0,0,0,0,1,0,1,0,1,1,1,0,31.951
0,0,1,0,1,1,1,0,1,0,0,1,0,0,35.19
0,0,1,1,1,0,0,0,1,0,0,1,0,0,38.564
1,0,1,1,1,0,0,1,0,0,1,1,1,0,44.041
0,0,1,0,1,1,0,1,0,1,0,0,1,1,33.475
1,1,0,0,1,0,0,1,1,1,1,0,1,1,34.987
1,1,0,0,1,1,0,1,0,0,0,1,0,1,33.977
1,0,1,1,0,0,0,0,0,1,0,0,1,0,34.581
1,1,0,0,0,1,0,0,1,1,0,0,1,0,36.284
0,1,0,1,1,0,0,0,0,0,0,1,1,0,36.37
1,0,0,1,0,1,0,0,0,0,1,0,0,1,38.594
1,1,1,0,0,1,0,1,1,0,0,0,1,0,31.758
1,0,0,1,0,1,1,0,1,1,1,1,1,1,32.934
1,1,0,1,1,0,1,1,1,1,1,1,1,0,37.414
1,0,0,1,1,1,1,1,0,1,1,0,0,1,33.922
0,0,1,0,1,1,0,0,0,1,0,0,1,0,33.829
1,1,1,1,0,0,0,1,0,0,0,0,0,0,31.068
1,1,1,1,0,0,1,1,0,0,0,0,0,1,30.672
0,1,1,0,0,0,1,1,1,1,0,1,0,1,26.326
0,0,0,1,1,0,1,0,0,0,0,1,1,0,27.493
0,1,0,1,1,0,1,0,1,0,0,0,1,0,23.285
0,0,0,0,1,0,0,1,1,0,1,1,0,1,24.408
1,1,0,0,0,1,1,1,1,1,1,0,0,0,22.609
0,1,0,1,1,1,0,1,0,1,0,0,0,1,20.43
1,0,0,1,0,0,0,1,0,0,1,1,0,0,26.767
0,0,0,1,1,0,1,1,1,0,1,1,0,1,23.816
1,1,0,1,0,0,1,0,0,1,1,0,1,0,24.896
0,0,0,1,0,1,0,1,1,0,1,1,0,1,22.304
1,1,1,0,0,1,1,1,1,1,0,1,1,0,29.339
0,1,0,0,0,1,1,1,0,1,1,0,1,0,22.229
1,1,0,0,0,0,1,1,1,1,1,1,0,1,23.159
1,0,0,1,1,1,1,1,1,0,0,0,1,1,22.421
1,1,0,0,1,0,0,0,0,1,0,0,1,1,21.788
1,0,0,1,1,1,1,1,1,1,1,1,0,1,25.214
1,1,0,0,0,1,0,0,1,1,1,0,1,1,24.872
1,0,1,1,1,0,1,0,0,0,0,1,1,1,22.71
1,1,1,1,1,1,0,0,0,1,1,0,0,0,23.071
0,1,1,1,1,1,0,0,0,1,0,1,1,1,23.255
0,0,1,1,1,1,1,1,1,0,0,0,1,0,22.632
1,0,1,1,1,1,0,1,0,1,1,0,1,0,25.424
0,1,0,1,1,0,0,1,1,0,0,1,0,0,24.557
1,1,0,0,0,1,1,1,1,0,0,0,0,1,21.544
0,0,0,1,1,1,0,1,0,1,0,1,0,1,26.239
0,1,1,1,0,0,1,1,1,1,1,0,0,1,28.044
1,1,1,1,1,1,1,1,1,1,1,1,0,1,27.183
1,1,0,1,1,1,0,0,1,1,1,0,0,0,26.841
0,1,0,1,0,0,1,1,0,1,0,0,0,1,26.595
0,0,1,0,0,0,1,0,0,0,0,1,0,1,17.33
0,1,0,0,1,0,0,1,0,1,0,1,1,0,21.043
0,0,1,0,1,1,1,1,0,0,0,0,1,1,26.163
0,0,0,0,0,0,0,0,1,1,0,0,0,0,17.732
0,0,0,0,0,0,1,1,1,1,0,0,1,0,21.124
1,1,1,1,1,0,1,0,1,0,1,0,0,0,25.613
0,0,1,0,1,1,0,1,0,0,0,0,1,1,22.482
0,0,1,0,0,1,0,0,1,0,0,1,1,0,18.265
1,0,0,0,1,0,0,1,1,0,1,1,1,0,27.94
1,0,0,1,1,0,0,0,0,0,1,0,0,1,21.45
0,0,0,1,0,1,1,0,0,1,0,0,0,0,20.413
0,1,1,1,0,0,0,0,0,1,0,1,0,0,21.322
0,1,1,1,1,0,1,1,1,0,1,0,1,0,17.625
1,0,1,0,0,1,1,0,0,0,0,0,0,0,17.299
1,0,0,0,1,0,0,1,1,1,0,1,1,0,19.301
0,1,1,0,0,0,1,0,0,0,1,1,0,1,22.736
1,0,1,0,1,1,1,0,0,1,1,0,0,0,28.358
1,0,0,1,0,0,1,0,0,1,1,1,0,1,20.451
1,0,0,0,0,0,1,1,1,0,1,0,1,0,23.33
1,1,0,0,0,0,0,1,0,0,1,1,1,0,22.749
0,1,1,1,0,0,1,1,0,1,1,1,1,0,25.361
1,1,0,1,1,0,0,1,0,0,1,1,0,0,23.729
1,1,0,1,0,0,1,0,0,1,1,1,1,1,23.879
0,1,0,0,0,1,0,1,0,1,1,1,1,0,24.19
0,1,1,1,1,0,0,1,0,1,1,0,1,1,26.56
0,0,0,0,0,0,1,0,1,0,1,0,1,1,25.892
0,1,1,1,1,0,0,0,1,0,0,0,0,0,21.47
0,1,1,1,1,1,1,1,0,0,1,0,1,1,27.178
0,1,0,0,1,0,0,1,0,1,0,0,1,1,25.04
1,0,1,0,0,0,0,1,0,0,1,1,0,0,27.989
1,1,0,0,1,0,0,1,0,0,0,0,1,0,26.117
0,1,0,0,1,1,1,0,1,0,1,1,1,1,26.122
1,1,1,0,0,1,0,1,1,0,1,0,0,1,24.546
1,0,0,0,0,0,1,0,1,1,1,0,1,1,22.807
1,0,0,1,1,0,1,1,1,1,1,1,1,1,15.712
1,1,0,1,1,1,0,0,1,1,0,1,0,0,18.097
0,1,1,1,0,0,1,1,1,1,1,0,0,0,17.485
0,0,0,1,0,1,0,1,0,0,1,0,0,0,23.573
1,0,1,0,0,1,1,0,0,1,1,1,1,0,17.905
0,1,1,0,0,0,0,1,1,1,0,0,1,0,17.415
1,0,0,1,0,1,1,0,0,1,1,1,1,1,21.553
1,0,1,0,1,0,0,0,1,1,1,0,1,0,23.92
1,0,1,1,1,1,1,0,0,1,1,1,1,0,17.423
0,1,1,0,1,1,1,1,0,1,0,1,0,0,18.669
0,0,1,0,0,0,0,0,1,0,1,1,0,1,20.543
0,1,1,1,0,0,0,0,0,0,0,1,0,1,23.681
0,0,1,1,0,0,1,0,0,1,0,0,1,0,21.182
0,1,1,0,0,1,1,0,0,1,0,1,0,0,25.394
0,1,0,1,0,0,0,1,0,0,1,1,0,0,27.487
0,0,1,1,0,1,0,1,0,1,0,1,1,1,26.925
1,1,0,0,0,0,1,1,0,1,1,1,1,0,22.645
0,1,1,1,1,0,1,1,1,1,0,0,0,0,18.755
0,1,0,0,0,0,1,0,0,1,1,0,0,0,23.733
1,0,1,0,0,1,0,1,0,0,1,1,1,0,28.412
0,0,1,1,0,1,1,1,0,1,0,0,0,1,26.71
0,0,1,1,0,1,1,0,0,0,0,1,0,0,28.072
1,1,0,1,1,1,1,0,1,1,0,0,0,0,25.337
1,1,0,0,0,0,0,1,0,1,0,1,1,0,27.235
0,0,1,0,0,0,1,0,1,0,0,1,1,0,21.159
0,0,0,0,1,0,0,1,0,1,1,1,1,1,21.192
0,1,0,1,1,1,0,1,0,0,0,1,1,1,21.166
1,0,0,0,1,0,0,0,0,1,0,1,1,1,26.736
1,0,1,1,0,0,0,1,1,0,1,0,1,0,22.144
0,0,1,0,1,1,1,1,0,0,0,0,0,1,22.435
1,0,0,0,0,1,0,0,1,0,0,1,1,0,27.712
1,0,0,0,1,1,1,1,0,1,0,0,0,1,18.387
0,1,1,1,0,0,0,0,0,0,0,0,1,1,29.322
1,1,0,1,0,1,0,1,1,1,0,0,0,0,159.59
0,1,1,1,0,0,0,1,1,1,0,0,0,0,146.57
0,1,1,1,1,1,0,0,1,1,1,1,1,1,174.52
1,0,0,0,0,0,0,0,0,0,1,0,1,0,160.25
0,1,0,1,0,0,0,1,1,1,0,1,0,0,137.86
0,1,0,0,0,0,1,1,1,1,1,0,0,1,132.49
