SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite
1,0,0,0,0,1,0,1,0,0,0,0,1,0,21.925
0,1,1,1,1,1,0,0,1,1,0,0,1,1,21.805
1,1,1,1,1,1,0,1,0,0,0,1,1,0,25.55
1,1,1,1,0,0,1,0,1,1,0,0,1,0,21.389
0,1,0,1,0,0,1,0,1,0,0,1,0,0,24.956
0,1,0,1,1,0,1,0,1,1,1,0,0,1,21.905
0,0,1,1,0,1,0,1,1,0,0,0,0,0,21.487
0,0,1,1,0,1,0,1,0,1,0,0,1,0,21.806
0,0,0,1,1,0,0,0,0,1,1,0,1,0,21.384
0,1,1,0,1,0,0,1,0,0,0,1,1,0,24.887
0,1,1,1,0,1,0,1,0,0,1,1,1,1,24.608
1,1,0,0,1,1,1,0,0,1,1,1,1,1,25.124
1,1,1,0,0,0,0,1,1,0,0,1,1,1,24.744
1,1,1,1,1,1,0,1,1,0,0,0,1,0,21.337
1,1,0,0,0,1,0,1,1,0,1,1,1,0,24.93
0,1,0,0,0,1,0,1,1,0,0,1,0,0,26.249
1,0,1,1,1,1,0,1,1,0,0,1,1,1,24.812
1,0,0,1,1,1,0,0,1,0,1,0,1,1,21.518
0,1,0,1,1,1,0,1,1,0,0,1,1,0,24.615
1,1,1,1,1,1,1,1,1,0,0,0,1,0,21.762
0,0,1,1,1,1,0,1,1,1,1,1,1,1,24.562
0,1,1,0,0,0,0,0,0,1,0,1,1,1,24.494
1,0,1,0,0,0,1,1,1,0,0,0,0,1,21.679
1,1,0,1,0,0,0,0,0,0,0,0,1,0,21.582
0,1,1,0,1,1,1,1,1,1,0,0,1,1,21.79
1,1,1,1,1,0,1,0,1,0,0,0,1,1,21.408
1,1,1,0,0,1,0,0,0,1,1,1,0,0,24.727
0,1,1,1,1,0,1,0,0,1,1,1,1,0,25.255
1,1,1,1,1,0,1,0,1,1,0,1,1,0,24.635
1,0,0,0,1,0,1,1,1,1,0,0,0,0,21.58
0,1,0,0,0,1,0,1,1,0,0,1,1,1,24.987
0,1,0,0,1,0,0,1,1,1,0,0,1,1,21.576
0,1,1,0,0,0,0,0,1,1,0,1,0,1,25.156
1,0,0,1,1,1,0,1,0,1,1,1,1,0,24.857
0,0,1,0,1,0,0,1,1,1,1,0,1,0,21.285
0,1,1,1,1,0,0,1,1,1,1,1,1,1,25.098
1,0,0,1,1,1,0,1,0,1,1,1,0,1,24.682
0,0,0,1,0,0,1,0,0,1,1,1,1,1,24.83
1,0,0,0,1,1,1,0,0,0,0,0,0,0,21.734
1,1,0,1,0,1,1,0,1,1,0,0,0,1,22.156
1,1,1,0,1,0,1,1,0,0,1,1,0,1,25.456
0,0,1,0,0,0,0,0,1,0,0,0,0,1,21.63
1,1,0,1,1,0,1,0,1,1,1,1,1,1,25.036
