SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwritebatch.2
0,0,1,0,0,0,0,0,1,0,0,0,0,1,17.099
1,1,0,1,1,0,1,0,1,1,1,1,1,1,17.947
0,0,1,1,1,1,0,1,0,0,0,1,0,1,17.6
0,0,1,1,1,1,1,0,1,0,0,1,0,0,17.56
0,1,1,1,0,0,0,0,0,1,1,1,1,1,17.905
0,1,1,0,1,1,0,0,1,1,1,1,0,1,18.119
1,0,0,1,1,1,1,0,0,1,0,1,0,0,18.129
0,1,0,1,1,1,1,1,1,0,0,1,1,1,17.448
1,0,1,1,0,0,0,0,0,0,1,1,1,0,17.636
1,1,0,0,0,1,0,1,0,1,1,1,0,1,17.945
0,1,0,0,0,0,0,1,1,0,0,0,0,1,17.468
0,1,1,0,1,0,1,0,0,0,0,1,1,1,17.37
1,0,1,1,0,0,0,0,1,1,1,0,0,0,18.075
1,1,1,0,1,1,0,1,1,0,0,1,0,1,17.604
0,1,1,1,1,1,1,0,0,1,0,0,0,0,17.656
1,0,1,0,1,1,0,1,1,1,1,1,1,0,17.909
0,0,1,0,1,0,0,1,1,0,0,1,0,0,17.422
1,0,0,1,1,1,0,1,0,1,0,0,1,0,17.703
1,0,1,1,1,0,0,0,1,0,0,1,0,1,17.378
1,0,0,0,1,1,1,1,1,1,1,1,0,0,17.93
0,0,0,0,1,0,0,1,0,0,0,0,1,0,17.107
0,1,1,0,0,0,1,0,0,1,1,1,1,1,17.924
0,1,1,1,0,1,1,0,1,1,0,1,0,0,17.904
0,0,0,0,1,1,1,1,1,0,0,1,1,1,17.754
1,1,1,0,0,1,1,0,1,0,0,1,1,1,17.513
0,1,1,0,0,1,1,0,1,0,0,0,0,0,17.357
1,1,1,0,0,1,0,1,1,1,1,0,1,0,17.944
0,1,1,1,0,1,0,0,1,0,0,0,1,0,17.297
1,1,1,1,0,1,0,0,1,0,1,1,1,1,17.645
1,1,1,0,1,0,1,1,0,1,1,1,0,0,17.552
1,1,0,1,0,0,1,0,0,0,0,1,0,0,17.543
1,1,0,0,1,0,0,0,1,1,1,0,1,1,17.551
1,1,0,0,0,1,0,1,0,0,0,1,0,0,17.458
0,1,0,1,1,1,1,0,0,1,1,0,0,0,17.925
0,1,0,0,1,1,0,0,0,0,0,1,1,1,17.463
0,0,1,0,1,1,1,1,0,1,0,0,1,0,17.693
0,0,0,0,0,1,1,1,1,0,1,0,1,1,17.259
0,1,1,1,1,1,0,0,0,1,0,1,0,1,17.989
1,1,1,1,1,0,1,0,1,0,0,1,1,1,17.444
0,1,1,1,0,1,1,0,0,1,1,0,1,1,17.586
0,0,0,0,0,0,1,0,1,0,1,0,0,0,17.187
0,0,0,1,0,0,0,0,1,0,1,0,0,1,17.067
0,1,0,0,0,0,0,0,0,1,1,0,1,1,17.654
1,1,0,0,1,1,1,1,1,1,1,0,0,1,17.755
0,1,0,1,0,0,1,0,1,0,0,0,1,0,17.112
1,1,1,1,0,0,1,0,0,1,1,1,0,1,18.256
1,1,0,1,0,0,0,0,0,1,1,0,1,0,17.644
1,0,0,1,1,1,1,1,0,0,0,0,0,1,17.104
0,0,0,1,0,1,1,1,1,0,0,1,0,1,17.447
1,1,0,0,0,0,1,0,1,1,0,0,1,0,17.878
0,0,0,1,1,1,0,1,1,0,1,0,1,0,17.173
1,1,0,0,1,1,1,1,0,0,1,0,1,1,17.089
0,1,0,1,0,1,0,1,1,1,0,1,0,1,17.914
0,0,1,1,1,0,0,0,0,1,1,1,1,1,17.923
1,0,0,0,1,0,1,1,1,0,0,1,1,0,17.54
0,0,1,1,1,1,1,1,0,0,1,1,0,1,17.567
0,0,1,1,0,0,1,1,1,1,1,0,1,1,17.846
0,1,0,0,1,1,1,0,0,1,1,1,1,1,17.954
1,0,1,0,1,1,0,1,1,0,0,0,0,1,17.389
0,1,1,0,1,0,1,1,0,0,0,0,0,0,17.516
1,0,0,0,0,0,1,1,0,0,0,1,1,0,17.612
1,1,1,1,1,1,1,0,1,0,1,0,0,0,17.158
0,0,0,1,0,1,1,0,1,1,0,0,0,1,17.831
1,0,0,1,1,0,0,1,0,1,1,0,0,0,17.846
1,0,0,1,0,0,1,0,0,0,1,0,1,0,17.224
1,1,1,0,0,1,0,0,0,0,0,1,1,0,17.608
1,1,0,1,1,1,1,0,0,0,1,0,1,1,17.166
1,0,1,1,0,1,0,1,0,1,1,1,1,0,18.028
1,0,1,1,1,0,0,0,1,1,1,1,1,0,17.9
1,0,1,0,0,1,0,0,1,0,1,0,0,0,17.272
0,0,1,0,0,0,1,1,1,1,0,1,1,1,17.936
0,1,1,1,0,1,0,1,1,0,0,0,0,0,17.143
0,0,1,0,0,0,1,1,1,0,1,1,1,1,17.783
0,1,0,0,1,0,0,1,1,0,1,1,0,1,17.473
1,1,1,1,0,1,1,0,1,0,1,1,1,0,18.014
1,1,0,0,1,0,1,1,0,1,1,0,0,1,17.573
1,0,1,1,1,1,0,1,1,1,1,1,1,1,17.945
0,0,1,1,1,0,1,0,1,1,1,1,1,0,18.129
0,1,0,1,1,1,1,1,1,0,1,0,1,1,17.103
0,0,0,0,0,1,1,0,1,1,1,0,1,0,17.99
1,0,0,0,0,0,1,1,0,1,1,0,1,0,17.701
0,0,0,1,0,0,0,0,0,1,0,0,1,1,17.691
1,1,0,1,0,0,1,1,1,0,0,1,1,1,17.45
1,0,0,0,1,1,1,1,0,0,0,1,0,1,17.466
1,0,1,0,1,0,1,1,0,1,0,1,0,0,18.069
1,0,1,0,1,1,0,1,0,1,1,1,0,1,18.013
1,0,1,1,0,0,0,0,1,1,1,1,1,0,17.978
0,0,1,0,1,1,1,0,0,0,0,0,1,0,17.123
0,1,0,1,1,1,1,1,1,1,1,0,1,0,17.761
0,1,0,1,0,0,0,0,0,0,1,0,1,0,17.155
1,0,0,1,0,0,1,1,0,1,1,1,0,1,17.993
0,1,0,0,0,0,0,0,1,1,0,0,0,1,17.988
0,0,1,0,0,1,1,0,1,1,1,1,0,0,17.992
1,0,1,1,0,1,1,1,1,0,0,0,1,1,17.038
0,1,0,0,1,1,1,1,0,0,0,1,1,0,17.557
1,1,0,0,0,0,0,1,1,1,0,1,0,0,18.084
0,0,1,1,0,1,1,1,0,0,0,1,1,0,17.618
1,0,1,0,0,0,1,1,1,0,1,0,0,1,17.229
0,1,1,0,0,1,0,0,0,1,1,0,0,1,17.798
1,1,0,0,0,0,0,0,0,0,0,1,1,1,17.584
1,0,0,1,0,1,0,0,1,0,1,1,0,0,17.537
1,1,1,0,1,0,1,1,0,1,0,0,0,1,17.642
1,1,0,0,1,1,0,1,0,0,0,1,1,1,17.575
1,0,1,1,0,1,1,1,1,1,0,1,0,1,18.081
0,0,0,0,1,0,1,1,1,0,1,0,0,1,17.23
0,1,1,1,0,1,0,1,0,1,1,1,0,1,17.963
0,0,1,0,1,1,0,0,0,0,0,1,1,1,17.38
0,1,0,1,0,1,0,0,1,0,1,1,1,1,17.504
0,1,1,0,0,0,1,1,0,0,0,0,0,1,17.196
0,1,1,1,1,0,1,0,0,0,0,0,0,1,17.168
1,1,1,1,0,1,0,0,1,0,0,1,0,1,17.578
1,0,1,0,0,1,0,1,1,0,1,1,0,0,17.499
1,0,1,0,0,0,0,1,1,0,1,0,1,0,17.198
0,1,1,0,0,1,0,0,1,0,1,0,1,1,17.149
0,0,0,0,0,0,1,0,1,0,1,1,1,0,17.497
0,0,1,0,1,1,1,0,1,0,0,1,0,0,17.935
0,0,1,1,1,0,0,0,1,0,0,1,0,0,17.596
1,0,1,1,1,0,0,1,0,0,1,1,1,0,17.508
0,0,1,0,1,1,0,1,0,1,0,0,1,1,17.769
1,1,0,0,1,0,0,1,1,1,1,0,1,1,17.848
1,1,0,0,1,1,0,1,0,0,0,1,0,1,17.634
1,0,1,1,0,0,0,0,0,1,0,0,1,0,17.722
1,1,0,0,0,1,0,0,1,1,0,0,1,0,17.804
0,1,0,1,1,0,0,0,0,0,0,1,1,0,17.496
1,0,0,1,0,1,0,0,0,0,1,0,0,1,17.169
1,1,1,0,0,1,0,1,1,0,0,0,1,0,17.329
1,0,0,1,0,1,1,0,1,1,1,1,1,1,17.89
1,1,0,1,1,0,1,1,1,1,1,1,1,0,18.032
1,0,0,1,1,1,1,1,0,1,1,0,0,1,17.767
0,0,1,0,1,1,0,0,0,1,0,0,1,0,17.597
1,1,1,1,0,0,0,1,0,0,0,0,0,0,17.394
1,1,1,1,0,0,1,1,0,0,0,0,0,1,17.336
0,1,1,0,0,0,1,1,1,1,0,1,0,1,17.963
0,0,0,1,1,0,1,0,0,0,0,1,1,0,17.631
0,1,0,1,1,0,1,0,1,0,0,0,1,0,17.229
0,0,0,0,1,0,0,1,1,0,1,1,0,1,17.588
1,1,0,0,0,1,1,1,1,1,1,0,0,0,17.758
0,1,0,1,1,1,0,1,0,1,0,0,0,1,17.611
1,0,0,1,0,0,0,1,0,0,1,1,0,0,17.768
0,0,0,1,1,0,1,1,1,0,1,1,0,1,17.586
1,1,0,1,0,0,1,0,0,1,1,0,1,0,17.717
0,0,0,1,0,1,0,1,1,0,1,1,0,1,17.581
1,1,1,0,0,1,1,1,1,1,0,1,1,0,18.008
0,1,0,0,0,1,1,1,0,1,1,0,1,0,17.804
1,1,0,0,0,0,1,1,1,1,1,1,0,1,17.95
1,0,0,1,1,1,1,1,1,0,0,0,1,1,17.398
1,1,0,0,1,0,0,0,0,1,0,0,1,1,17.594
1,0,0,1,1,1,1,1,1,1,1,1,0,1,17.973
1,1,0,0,0,1,0,0,1,1,1,0,1,1,17.751
1,0,1,1,1,0,1,0,0,0,0,1,1,1,18.024
1,1,1,1,1,1,0,0,0,1,1,0,0,0,17.809
0,1,1,1,1,1,0,0,0,1,0,1,1,1,17.834
0,0,1,1,1,1,1,1,1,0,0,0,1,0,17.018
1,0,1,1,1,1,0,1,0,1,1,0,1,0,17.653
0,1,0,1,1,0,0,1,1,0,0,1,0,0,17.453
1,1,0,0,0,1,1,1,1,0,0,0,0,1,17.088
0,0,0,1,1,1,0,1,0,1,0,1,0,1,18.066
0,1,1,1,0,0,1,1,1,1,1,0,0,1,17.773
1,1,1,1,1,1,1,1,1,1,1,1,0,1,18.424
1,1,0,1,1,1,0,0,1,1,1,0,0,0,17.604
0,1,0,1,0,0,1,1,0,1,0,0,0,1,17.709
0,0,1,0,0,0,1,0,0,0,0,1,0,1,17.455
0,1,0,0,1,0,0,1,0,1,0,1,1,0,18.134
0,0,1,0,1,1,1,1,0,0,0,0,1,1,17.212
0,0,0,0,0,0,0,0,1,1,0,0,0,0,18.274
0,0,0,0,0,0,1,1,1,1,0,0,1,0,17.649
1,1,1,1,1,0,1,0,1,0,1,0,0,0,17.218
0,0,1,0,1,1,0,1,0,0,0,0,1,1,17.05
0,0,1,0,0,1,0,0,1,0,0,1,1,0,17.955
1,0,0,0,1,0,0,1,1,0,1,1,1,0,17.705
1,0,0,1,1,0,0,0,0,0,1,0,0,1,17.205
0,0,0,1,0,1,1,0,0,1,0,0,0,0,17.645
0,1,1,1,0,0,0,0,0,1,0,1,0,0,17.943
0,1,1,1,1,0,1,1,1,0,1,0,1,0,17.124
1,0,1,0,0,1,1,0,0,0,0,0,0,0,17.379
1,0,0,0,1,0,0,1,1,1,0,1,1,0,18.04
0,1,1,0,0,0,1,0,0,0,1,1,0,1,17.843
1,0,1,0,1,1,1,0,0,1,1,0,0,0,18.125
1,0,0,1,0,0,1,0,0,1,1,1,0,1,17.921
1,0,0,0,0,0,1,1,1,0,1,0,1,0,17.307
1,1,0,0,0,0,0,1,0,0,1,1,1,0,17.681
0,1,1,1,0,0,1,1,0,1,1,1,1,0,17.934
1,1,0,1,1,0,0,1,0,0,1,1,0,0,17.805
1,1,0,1,0,0,1,0,0,1,1,1,1,1,18.066
0,1,0,0,0,1,0,1,0,1,1,1,1,0,18.007
0,1,1,1,1,0,0,1,0,1,1,0,1,1,17.789
0,0,0,0,0,0,1,0,1,0,1,0,1,1,17.335
0,1,1,1,1,0,0,0,1,0,0,0,0,0,17.097
0,1,1,1,1,1,1,1,0,0,1,0,1,1,17.244
0,1,0,0,1,0,0,1,0,1,0,0,1,1,17.65
1,0,1,0,0,0,0,1,0,0,1,1,0,0,17.435
1,1,0,0,1,0,0,1,0,0,0,0,1,0,17.121
0,1,0,0,1,1,1,0,1,0,1,1,1,1,17.489
1,1,1,0,0,1,0,1,1,0,1,0,0,1,17.3
1,0,0,0,0,0,1,0,1,1,1,0,1,1,17.756
1,0,0,1,1,0,1,1,1,1,1,1,1,1,17.977
1,1,0,1,1,1,0,0,1,1,0,1,0,0,18.018
0,1,1,1,0,0,1,1,1,1,1,0,0,0,17.767
0,0,0,1,0,1,0,1,0,0,1,0,0,0,17.237
1,0,1,0,0,1,1,0,0,1,1,1,1,0,18.457
0,1,1,0,0,0,0,1,1,1,0,0,1,0,17.767
1,0,0,1,0,1,1,0,0,1,1,1,1,1,18.091
