SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync
0,1,0,1,0,0,1,0,0,1,1,0,1,1,2590.4
0,0,1,1,1,0,1,0,1,1,1,0,1,0,2574.2
0,0,0,1,1,0,1,0,1,1,0,0,1,0,2595.9
0,0,1,0,0,0,0,0,1,0,1,0,1,1,2573.4
0,0,1,0,1,0,1,0,0,0,0,0,0,1,2600.7
0,1,1,1,1,1,1,0,1,1,0,1,1,1,2603.5
1,1,0,1,0,0,0,1,0,1,0,1,0,0,2584.5
1,0,1,1,0,0,0,1,1,1,1,0,0,0,2578.3
1,1,0,0,1,1,1,0,0,0,0,1,1,0,2571.7
1,0,0,1,1,1,1,0,1,1,1,1,0,1,2595.3
0,0,0,0,0,1,0,1,0,0,0,0,0,1,2577.1
1,1,1,1,1,1,1,1,1,1,1,0,0,1,2575.2
0,0,1,1,0,0,1,1,0,0,1,1,0,0,2601.9
1,1,1,0,1,0,1,1,1,1,0,1,0,0,2579.2
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2582.7
1,1,0,0,1,0,0,0,1,0,0,1,1,0,2586.5
0,1,0,1,1,0,0,0,0,0,0,1,1,0,2595.8
1,0,0,1,0,1,0,0,1,1,1,1,1,0,2595.5
1,1,1,1,1,1,0,0,1,1,1,0,0,0,2595.0
1,0,1,0,1,1,0,0,1,1,1,1,0,1,2607.7
0,0,1,1,0,1,0,1,0,0,1,1,0,1,2588.1
0,1,0,1,0,0,1,1,1,1,1,0,1,1,2581.9
1,0,0,1,1,1,1,0,1,0,0,1,1,0,2586.9
1,0,0,1,1,0,1,0,1,1,0,1,1,0,2589.5
0,0,1,1,0,0,0,0,1,1,0,0,1,0,2594.0
0,0,0,0,1,1,1,1,1,0,1,0,1,0,2596.5
1,0,0,1,1,1,1,1,1,0,1,0,0,1,2584.5
1,1,0,0,0,1,0,0,1,0,0,1,0,0,2568.7
1,0,1,1,0,0,0,0,0,0,1,1,0,0,2582.4
1,0,1,0,1,0,0,0,1,0,0,1,0,0,2600.0
0,1,1,1,1,1,0,1,1,0,0,0,0,0,2576.8
0,1,0,0,0,1,0,0,1,0,1,1,0,0,2594.3
1,0,0,0,1,1,0,0,0,1,1,0,0,1,2565.1
1,1,0,1,1,0,0,1,1,0,0,1,0,0,2577.5
1,0,1,1,0,1,0,1,1,1,1,0,1,1,2599.8
0,1,1,0,1,1,1,0,0,1,1,0,0,1,2577.5
1,1,0,1,0,0,1,1,0,0,1,1,1,0,2593.6
0,1,0,1,1,0,1,1,0,1,1,0,1,0,2580.0
1,0,0,1,1,0,1,1,0,1,0,1,0,1,2601.2
1,1,1,0,1,0,0,0,1,0,0,0,0,1,2595.0
0,0,1,1,0,0,1,0,0,1,0,1,0,1,2607.4
0,1,1,0,0,0,1,1,0,0,1,0,0,1,2580.9
0,1,1,1,1,1,0,0,0,1,1,1,0,1,2600.0
1,0,1,0,0,0,1,0,1,0,0,1,0,0,2608.6
0,0,1,0,0,1,1,0,1,0,0,0,1,1,2579.8
1,1,1,0,0,0,0,1,0,0,1,1,1,1,2603.0
0,0,0,1,0,1,1,1,1,1,0,0,0,0,2584.9
0,1,1,0,0,0,0,0,1,0,1,1,1,1,2594.6
0,1,0,0,0,0,0,1,0,1,1,1,1,0,2598.3
0,1,1,1,1,0,1,1,1,1,1,0,0,0,2570.4
0,0,0,1,1,0,0,0,0,1,1,1,0,1,2600.8
1,0,1,0,0,1,0,0,0,0,0,0,1,1,2577.4
1,0,1,0,1,1,0,0,1,1,0,1,0,0,2594.0
0,1,1,1,0,1,0,0,0,0,0,1,0,0,2589.1
1,0,1,1,0,1,0,1,0,0,0,0,1,1,2580.7
0,1,1,1,1,0,0,1,1,1,1,0,0,0,2565.8
0,1,0,1,1,0,1,0,0,1,1,0,1,0,2577.1
0,0,1,1,1,0,0,1,1,1,1,0,1,0,2575.4
1,0,1,1,1,1,1,1,0,1,1,0,1,0,2583.1
0,0,1,1,1,0,1,0,0,1,1,1,0,1,2585.0
1,1,0,0,0,0,1,1,1,1,1,0,1,0,2573.3
0,1,1,1,0,1,0,0,0,0,1,1,1,0,2584.4
1,1,1,1,0,1,1,1,1,1,1,0,1,1,2564.5
1,1,1,0,0,0,1,0,0,1,1,0,1,1,2571.2
1,0,0,0,0,1,1,1,1,1,0,1,1,0,2618.8
1,1,0,1,1,0,1,1,0,1,0,1,1,1,2585.6
1,0,1,1,1,1,0,0,1,0,1,0,0,1,2608.3
0,0,1,1,0,0,1,0,0,0,1,0,1,0,2586.5
1,1,0,1,0,1,0,1,0,1,0,0,0,0,2574.2
1,1,1,0,0,1,1,0,1,0,0,1,0,0,2583.4
1,1,0,1,0,1,1,0,1,1,0,1,0,1,2580.0
1,0,1,0,1,0,1,1,0,1,0,1,1,0,2580.9
1,0,1,1,0,1,0,0,1,0,1,1,0,1,2595.7
1,0,0,0,1,0,0,1,0,1,1,0,1,1,2575.3
1,0,0,1,0,0,0,1,1,1,1,0,0,0,2571.7
1,0,1,0,0,1,1,1,1,1,1,0,0,1,2570.3
1,0,0,0,0,1,0,1,0,0,0,0,1,0,2589.4
0,1,1,1,1,1,0,0,1,1,0,0,1,1,2597.6
1,1,1,1,1,1,0,1,0,0,0,1,1,0,2583.9
1,1,1,1,0,0,1,0,1,1,0,0,1,0,2579.8
0,1,0,1,0,0,1,0,1,0,0,1,0,0,2558.2
0,1,0,1,1,0,1,0,1,1,1,0,0,1,2590.7
0,0,1,1,0,1,0,1,1,0,0,0,0,0,2556.1
0,0,1,1,0,1,0,1,0,1,0,0,1,0,2573.8
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2573.0
0,1,1,0,1,0,0,1,0,0,0,1,1,0,2573.6
0,1,1,1,0,1,0,1,0,0,1,1,1,1,2572.2
1,1,0,0,1,1,1,0,0,1,1,1,1,1,2604.4
1,1,1,0,0,0,0,1,1,0,0,1,1,1,2573.5
1,1,1,1,1,1,0,1,1,0,0,0,1,0,2580.2
1,1,0,0,0,1,0,1,1,0,1,1,1,0,2566.4
0,1,0,0,0,1,0,1,1,0,0,1,0,0,2583.9
1,0,1,1,1,1,0,1,1,0,0,1,1,1,2588.3
1,0,0,1,1,1,0,0,1,0,1,0,1,1,2576.4
0,1,0,1,1,1,0,1,1,0,0,1,1,0,2599.1
1,1,1,1,1,1,1,1,1,0,0,0,1,0,2572.6
0,0,1,1,1,1,0,1,1,1,1,1,1,1,2576.8
0,1,1,0,0,0,0,0,0,1,0,1,1,1,2593.7
1,0,1,0,0,0,1,1,1,0,0,0,0,1,2580.7
1,1,0,1,0,0,0,0,0,0,0,0,1,0,2570.8
0,1,1,0,1,1,1,1,1,1,0,0,1,1,2583.6
1,1,1,1,1,0,1,0,1,0,0,0,1,1,2585.4
1,1,1,0,0,1,0,0,0,1,1,1,0,0,2596.5
0,1,1,1,1,0,1,0,0,1,1,1,1,0,2577.1
1,1,1,1,1,0,1,0,1,1,0,1,1,0,2595.2
1,0,0,0,1,0,1,1,1,1,0,0,0,0,2591.5
0,1,0,0,0,1,0,1,1,0,0,1,1,1,2585.4
0,1,0,0,1,0,0,1,1,1,0,0,1,1,2582.5
0,1,1,0,0,0,0,0,1,1,0,1,0,1,2608.5
1,0,0,1,1,1,0,1,0,1,1,1,1,0,2573.8
0,0,1,0,1,0,0,1,1,1,1,0,1,0,2586.1
0,1,1,1,1,0,0,1,1,1,1,1,1,1,2594.8
1,0,0,1,1,1,0,1,0,1,1,1,0,1,2613.7
0,0,0,1,0,0,1,0,0,1,1,1,1,1,2585.0
1,0,0,0,1,1,1,0,0,0,0,0,0,0,2557.4
1,1,0,1,0,1,1,0,1,1,0,0,0,1,2561.9
1,1,1,0,1,0,1,1,0,0,1,1,0,1,2593.2
0,0,1,0,0,0,0,0,1,0,0,0,0,1,2581.1
1,1,0,1,1,0,1,0,1,1,1,1,1,1,2594.5
0,0,1,1,1,1,0,1,0,0,0,1,0,1,2590.1
0,0,1,1,1,1,1,0,1,0,0,1,0,0,2595.6
0,1,1,1,0,0,0,0,0,1,1,1,1,1,2576.6
0,1,1,0,1,1,0,0,1,1,1,1,0,1,2585.3
1,0,0,1,1,1,1,0,0,1,0,1,0,0,2583.6
0,1,0,1,1,1,1,1,1,0,0,1,1,1,2577.0
1,0,1,1,0,0,0,0,0,0,1,1,1,0,2598.1
1,1,0,0,0,1,0,1,0,1,1,1,0,1,2585.4
0,1,0,0,0,0,0,1,1,0,0,0,0,1,2581.9
0,1,1,0,1,0,1,0,0,0,0,1,1,1,2578.6
1,0,1,1,0,0,0,0,1,1,1,0,0,0,2575.8
1,1,1,0,1,1,0,1,1,0,0,1,0,1,2588.3
0,1,1,1,1,1,1,0,0,1,0,0,0,0,2596.1
1,0,1,0,1,1,0,1,1,1,1,1,1,0,2580.4
0,0,1,0,1,0,0,1,1,0,0,1,0,0,2579.1
1,0,0,1,1,1,0,1,0,1,0,0,1,0,2584.5
1,0,1,1,1,0,0,0,1,0,0,1,0,1,2572.7
1,0,0,0,1,1,1,1,1,1,1,1,0,0,2583.3
0,0,0,0,1,0,0,1,0,0,0,0,1,0,2588.2
0,1,1,0,0,0,1,0,0,1,1,1,1,1,2593.7
0,1,1,1,0,1,1,0,1,1,0,1,0,0,2578.5
0,0,0,0,1,1,1,1,1,0,0,1,1,1,2588.8
1,1,1,0,0,1,1,0,1,0,0,1,1,1,2563.8
0,1,1,0,0,1,1,0,1,0,0,0,0,0,2590.0
1,1,1,0,0,1,0,1,1,1,1,0,1,0,2577.6
0,1,1,1,0,1,0,0,1,0,0,0,1,0,2563.1
1,1,1,1,0,1,0,0,1,0,1,1,1,1,2582.3
1,1,1,0,1,0,1,1,0,1,1,1,0,0,2590.5
1,1,0,1,0,0,1,0,0,0,0,1,0,0,2584.4
1,1,0,0,1,0,0,0,1,1,1,0,1,1,2560.6
1,1,0,0,0,1,0,1,0,0,0,1,0,0,2583.3
0,1,0,1,1,1,1,0,0,1,1,0,0,0,2559.3
0,1,0,0,1,1,0,0,0,0,0,1,1,1,2577.5
0,0,1,0,1,1,1,1,0,1,0,0,1,0,2573.4
0,0,0,0,0,1,1,1,1,0,1,0,1,1,2586.1
0,1,1,1,1,1,0,0,0,1,0,1,0,1,2581.2
1,1,1,1,1,0,1,0,1,0,0,1,1,1,2597.2
0,1,1,1,0,1,1,0,0,1,1,0,1,1,2597.9
0,0,0,0,0,0,1,0,1,0,1,0,0,0,2557.2
0,0,0,1,0,0,0,0,1,0,1,0,0,1,2594.3
0,1,0,0,0,0,0,0,0,1,1,0,1,1,2552.5
1,1,0,0,1,1,1,1,1,1,1,0,0,1,2579.4
0,1,0,1,0,0,1,0,1,0,0,0,1,0,2567.6
1,1,1,1,0,0,1,0,0,1,1,1,0,1,2574.0
1,1,0,1,0,0,0,0,0,1,1,0,1,0,2554.4
1,0,0,1,1,1,1,1,0,0,0,0,0,1,2582.7
0,0,0,1,0,1,1,1,1,0,0,1,0,1,2569.9
1,1,0,0,0,0,1,0,1,1,0,0,1,0,2575.2
0,0,0,1,1,1,0,1,1,0,1,0,1,0,2567.0
1,1,0,0,1,1,1,1,0,0,1,0,1,1,2561.7
0,1,0,1,0,1,0,1,1,1,0,1,0,1,2578.9
0,0,1,1,1,0,0,0,0,1,1,1,1,1,2598.4
1,0,0,0,1,0,1,1,1,0,0,1,1,0,2566.5
0,0,1,1,1,1,1,1,0,0,1,1,0,1,2574.3
0,0,1,1,0,0,1,1,1,1,1,0,1,1,2577.5
0,1,0,0,1,1,1,0,0,1,1,1,1,1,2569.0
1,0,1,0,1,1,0,1,1,0,0,0,0,1,2561.3
0,1,1,0,1,0,1,1,0,0,0,0,0,0,2581.5
1,0,0,0,0,0,1,1,0,0,0,1,1,0,2576.1
1,1,1,1,1,1,1,0,1,0,1,0,0,0,2573.5
0,0,0,1,0,1,1,0,1,1,0,0,0,1,2590.9
1,0,0,1,1,0,0,1,0,1,1,0,0,0,2568.4
1,0,0,1,0,0,1,0,0,0,1,0,1,0,2576.4
1,1,1,0,0,1,0,0,0,0,0,1,1,0,2579.1
1,1,0,1,1,1,1,0,0,0,1,0,1,1,2572.5
1,0,1,1,0,1,0,1,0,1,1,1,1,0,2581.3
1,0,1,1,1,0,0,0,1,1,1,1,1,0,2596.2
1,0,1,0,0,1,0,0,1,0,1,0,0,0,2569.3
0,0,1,0,0,0,1,1,1,1,0,1,1,1,2585.6
0,1,1,1,0,1,0,1,1,0,0,0,0,0,2579.3
0,0,1,0,0,0,1,1,1,0,1,1,1,1,2581.7
0,1,0,0,1,0,0,1,1,0,1,1,0,1,2573.8
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2586.7
1,1,0,0,1,0,1,1,0,1,1,0,0,1,2561.0
1,0,1,1,1,1,0,1,1,1,1,1,1,1,2572.9
0,0,1,1,1,0,1,0,1,1,1,1,1,0,2555.7
0,1,0,1,1,1,1,1,1,0,1,0,1,1,2558.9
0,0,0,0,0,1,1,0,1,1,1,0,1,0,2563.3
1,0,0,0,0,0,1,1,0,1,1,0,1,0,2573.0
0,0,0,1,0,0,0,0,0,1,0,0,1,1,2577.8
1,1,0,1,0,0,1,1,1,0,0,1,1,1,2566.4
1,0,0,0,1,1,1,1,0,0,0,1,0,1,2561.9
1,0,1,0,1,0,1,1,0,1,0,1,0,0,2603.7
1,0,1,0,1,1,0,1,0,1,1,1,0,1,2583.9
1,0,1,1,0,0,0,0,1,1,1,1,1,0,2512.5
