SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K
1,0,1,1,0,0,0,0,0,0,1,1,0,0,449.12
1,0,1,0,1,0,0,0,1,0,0,1,0,0,445.83
0,1,1,1,1,1,0,1,1,0,0,0,0,0,445.24
0,1,0,0,0,1,0,0,1,0,1,1,0,0,446.09
1,0,0,0,1,1,0,0,0,1,1,0,0,1,448.88
1,1,0,1,1,0,0,1,1,0,0,1,0,0,452.29
1,0,1,1,0,1,0,1,1,1,1,0,1,1,445.93
0,1,1,0,1,1,1,0,0,1,1,0,0,1,443.78
1,1,0,1,0,0,1,1,0,0,1,1,1,0,446.78
0,1,0,1,1,0,1,1,0,1,1,0,1,0,444.84
1,0,0,1,1,0,1,1,0,1,0,1,0,1,449.75
1,1,1,0,1,0,0,0,1,0,0,0,0,1,451.68
0,0,1,1,0,0,1,0,0,1,0,1,0,1,444.05
0,1,1,0,0,0,1,1,0,0,1,0,0,1,441.62
0,1,1,1,1,1,0,0,0,1,1,1,0,1,443.55
1,0,1,0,0,0,1,0,1,0,0,1,0,0,446.69
0,0,1,0,0,1,1,0,1,0,0,0,1,1,446.26
1,1,1,0,0,0,0,1,0,0,1,1,1,1,452.09
0,0,0,1,0,1,1,1,1,1,0,0,0,0,445.69
0,1,1,0,0,0,0,0,1,0,1,1,1,1,446.71
0,1,0,0,0,0,0,1,0,1,1,1,1,0,446.56
0,1,1,1,1,0,1,1,1,1,1,0,0,0,443.01
0,0,0,1,1,0,0,0,0,1,1,1,0,1,450.31
1,0,1,0,0,1,0,0,0,0,0,0,1,1,554.41
1,0,1,0,1,1,0,0,1,1,0,1,0,0,447.38
0,1,1,1,0,1,0,0,0,0,0,1,0,0,447.79
1,0,1,1,0,1,0,1,0,0,0,0,1,1,450.69
0,1,1,1,1,0,0,1,1,1,1,0,0,0,448.39
0,1,0,1,1,0,1,0,0,1,1,0,1,0,447.38
0,0,1,1,1,0,0,1,1,1,1,0,1,0,444.93
1,0,1,1,1,1,1,1,0,1,1,0,1,0,443.47
0,0,1,1,1,0,1,0,0,1,1,1,0,1,444.98
1,1,0,0,0,0,1,1,1,1,1,0,1,0,449.74
0,1,1,1,0,1,0,0,0,0,1,1,1,0,446.62
1,1,1,1,0,1,1,1,1,1,1,0,1,1,443.79
1,1,1,0,0,0,1,0,0,1,1,0,1,1,446.39
1,0,0,0,0,1,1,1,1,1,0,1,1,0,448.49
1,1,0,1,1,0,1,1,0,1,0,1,1,1,452.84
1,0,1,1,1,1,0,0,1,0,1,0,0,1,442.49
0,0,1,1,0,0,1,0,0,0,1,0,1,0,448.65
1,1,0,1,0,1,0,1,0,1,0,0,0,0,443.02
1,1,1,0,0,1,1,0,1,0,0,1,0,0,447.67
1,1,0,1,0,1,1,0,1,1,0,1,0,1,444.53
1,0,1,0,1,0,1,1,0,1,0,1,1,0,447.4
1,0,1,1,0,1,0,0,1,0,1,1,0,1,446.05
1,0,0,0,1,0,0,1,0,1,1,0,1,1,444.1
1,0,0,1,0,0,0,1,1,1,1,0,0,0,443.51
1,0,1,0,0,1,1,1,1,1,1,0,0,1,441.34
1,0,0,0,0,1,0,1,0,0,0,0,1,0,444.96
0,1,1,1,1,1,0,0,1,1,0,0,1,1,452.71
