SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.4
0,0,1,0,0,0,0,0,1,0,1,0,1,1,709.43
0,0,1,0,1,0,1,0,0,0,0,0,0,1,705.44
0,1,1,1,1,1,1,0,1,1,0,1,1,1,717.43
1,1,0,1,0,0,0,1,0,1,0,1,0,0,717.03
1,0,1,1,0,0,0,1,1,1,1,0,0,0,712.38
1,1,0,0,1,1,1,0,0,0,0,1,1,0,711.9
1,0,0,1,1,1,1,0,1,1,1,1,0,1,717.28
0,0,0,0,0,1,0,1,0,0,0,0,0,1,716.18
1,1,1,1,1,1,1,1,1,1,1,0,0,1,707.05
0,0,1,1,0,0,1,1,0,0,1,1,0,0,711.1
1,1,1,0,1,0,1,1,1,1,0,1,0,0,721.5
0,0,0,1,1,0,0,0,0,1,1,0,1,0,708.66
1,1,0,0,1,0,0,0,1,0,0,1,1,0,714.59
0,1,0,1,1,0,0,0,0,0,0,1,1,0,707.35
1,0,0,1,0,1,0,0,1,1,1,1,1,0,717.14
1,1,1,1,1,1,0,0,1,1,1,0,0,0,708.44
1,0,1,0,1,1,0,0,1,1,1,1,0,1,722.15
0,0,1,1,0,1,0,1,0,0,1,1,0,1,719.42
0,1,0,1,0,0,1,1,1,1,1,0,1,1,704.5
1,0,0,1,1,1,1,0,1,0,0,1,1,0,714.82
1,0,0,1,1,0,1,0,1,1,0,1,1,0,719.87
0,0,1,1,0,0,0,0,1,1,0,0,1,0,714.18
0,0,0,0,1,1,1,1,1,0,1,0,1,0,705.24
1,0,0,1,1,1,1,1,1,0,1,0,0,1,755.31
1,1,0,0,0,1,0,0,1,0,0,1,0,0,730.97
1,0,1,1,0,0,0,0,0,0,1,1,0,0,719.15
1,0,1,0,1,0,0,0,1,0,0,1,0,0,720.46
0,1,1,1,1,1,0,1,1,0,0,0,0,0,718.39
0,1,0,0,0,1,0,0,1,0,1,1,0,0,719.39
1,0,0,0,1,1,0,0,0,1,1,0,0,1,710.13
1,1,0,1,1,0,0,1,1,0,0,1,0,0,719.58
1,0,1,1,0,1,0,1,1,1,1,0,1,1,704.86
0,1,1,0,1,1,1,0,0,1,1,0,0,1,708.53
1,1,0,1,0,0,1,1,0,0,1,1,1,0,714.56
0,1,0,1,1,0,1,1,0,1,1,0,1,0,710.04
1,0,0,1,1,0,1,1,0,1,0,1,0,1,710.96
1,1,1,0,1,0,0,0,1,0,0,0,0,1,712.62
0,0,1,1,0,0,1,0,0,1,0,1,0,1,721.01
0,1,1,0,0,0,1,1,0,0,1,0,0,1,719.01
0,1,1,1,1,1,0,0,0,1,1,1,0,1,721.2
1,0,1,0,0,0,1,0,1,0,0,1,0,0,715.87
0,0,1,0,0,1,1,0,1,0,0,0,1,1,707.67
1,1,1,0,0,0,0,1,0,0,1,1,1,1,711.76
0,0,0,1,0,1,1,1,1,1,0,0,0,0,709.97
0,1,1,0,0,0,0,0,1,0,1,1,1,1,708.89
0,1,0,0,0,0,0,1,0,1,1,1,1,0,717.5
0,1,1,1,1,0,1,1,1,1,1,0,0,0,713.36
0,0,0,1,1,0,0,0,0,1,1,1,0,1,716.12
1,0,1,0,0,1,0,0,0,0,0,0,1,1,713.54
1,0,1,0,1,1,0,0,1,1,0,1,0,0,723.11
0,1,1,1,0,1,0,0,0,0,0,1,0,0,722.0
1,0,1,1,0,1,0,1,0,0,0,0,1,1,713.87
0,1,1,1,1,0,0,1,1,1,1,0,0,0,706.14
0,1,0,1,1,0,1,0,0,1,1,0,1,0,712.31
0,0,1,1,1,0,0,1,1,1,1,0,1,0,709.56
1,0,1,1,1,1,1,1,0,1,1,0,1,0,705.27
0,0,1,1,1,0,1,0,0,1,1,1,0,1,714.03
1,1,0,0,0,0,1,1,1,1,1,0,1,0,708.44
0,1,1,1,0,1,0,0,0,0,1,1,1,0,714.72
1,1,1,1,0,1,1,1,1,1,1,0,1,1,700.22
1,1,1,0,0,0,1,0,0,1,1,0,1,1,705.93
1,0,0,0,0,1,1,1,1,1,0,1,1,0,714.6
1,1,0,1,1,0,1,1,0,1,0,1,1,1,718.83
1,0,1,1,1,1,0,0,1,0,1,0,0,1,707.93
0,0,1,1,0,0,1,0,0,0,1,0,1,0,707.29
1,1,0,1,0,1,0,1,0,1,0,0,0,0,716.42
1,1,1,0,0,1,1,0,1,0,0,1,0,0,722.32
1,1,0,1,0,1,1,0,1,1,0,1,0,1,727.35
1,0,1,0,1,0,1,1,0,1,0,1,1,0,715.43
1,0,1,1,0,1,0,0,1,0,1,1,0,1,716.09
1,0,0,0,1,0,0,1,0,1,1,0,1,1,710.14
1,0,0,1,0,0,0,1,1,1,1,0,0,0,716.12
1,0,1,0,0,1,1,1,1,1,1,0,0,1,718.08
1,0,0,0,0,1,0,1,0,0,0,0,1,0,708.72
0,1,1,1,1,1,0,0,1,1,0,0,1,1,712.02
1,1,1,1,1,1,0,1,0,0,0,1,1,0,718.98
1,1,1,1,0,0,1,0,1,1,0,0,1,0,714.09
0,1,0,1,0,0,1,0,1,0,0,1,0,0,730.21
0,1,0,1,1,0,1,0,1,1,1,0,0,1,713.54
0,0,1,1,0,1,0,1,1,0,0,0,0,0,721.11
0,0,1,1,0,1,0,1,0,1,0,0,1,0,712.2
0,0,0,1,1,0,0,0,0,1,1,0,1,0,713.14
0,1,1,0,1,0,0,1,0,0,0,1,1,0,718.21
0,1,1,1,0,1,0,1,0,0,1,1,1,1,717.62
1,1,0,0,1,1,1,0,0,1,1,1,1,1,714.77
1,1,1,0,0,0,0,1,1,0,0,1,1,1,712.05
1,1,1,1,1,1,0,1,1,0,0,0,1,0,708.02
1,1,0,0,0,1,0,1,1,0,1,1,1,0,710.93
0,1,0,0,0,1,0,1,1,0,0,1,0,0,730.88
1,0,1,1,1,1,0,1,1,0,0,1,1,1,721.92
1,0,0,1,1,1,0,0,1,0,1,0,1,1,713.46
0,1,0,1,1,1,0,1,1,0,0,1,1,0,714.71
1,1,1,1,1,1,1,1,1,0,0,0,1,0,715.74
0,0,1,1,1,1,0,1,1,1,1,1,1,1,719.0
0,1,1,0,0,0,0,0,0,1,0,1,1,1,716.4
1,0,1,0,0,0,1,1,1,0,0,0,0,1,713.87
1,1,0,1,0,0,0,0,0,0,0,0,1,0,724.11
0,1,1,0,1,1,1,1,1,1,0,0,1,1,711.23
1,1,1,1,1,0,1,0,1,0,0,0,1,1,712.4
1,1,1,0,0,1,0,0,0,1,1,1,0,0,718.01
0,1,1,1,1,0,1,0,0,1,1,1,1,0,715.21
1,1,1,1,1,0,1,0,1,1,0,1,1,0,718.93
1,0,0,0,1,0,1,1,1,1,0,0,0,0,713.43
0,1,0,0,0,1,0,1,1,0,0,1,1,1,719.27
0,1,0,0,1,0,0,1,1,1,0,0,1,1,713.4
0,1,1,0,0,0,0,0,1,1,0,1,0,1,717.84
1,0,0,1,1,1,0,1,0,1,1,1,1,0,711.7
0,0,1,0,1,0,0,1,1,1,1,0,1,0,705.82
0,1,1,1,1,0,0,1,1,1,1,1,1,1,720.05
1,0,0,1,1,1,0,1,0,1,1,1,0,1,725.61
0,0,0,1,0,0,1,0,0,1,1,1,1,1,714.72
1,0,0,0,1,1,1,0,0,0,0,0,0,0,715.07
1,1,0,1,0,1,1,0,1,1,0,0,0,1,710.73
1,1,1,0,1,0,1,1,0,0,1,1,0,1,716.65
0,0,1,0,0,0,0,0,1,0,0,0,0,1,707.3
1,1,0,1,1,0,1,0,1,1,1,1,1,1,721.76
0,0,1,1,1,1,0,1,0,0,0,1,0,1,708.34
0,0,1,1,1,1,1,0,1,0,0,1,0,0,717.73
0,1,1,1,0,0,0,0,0,1,1,1,1,1,710.51
0,1,1,0,1,1,0,0,1,1,1,1,0,1,715.71
1,0,0,1,1,1,1,0,0,1,0,1,0,0,717.93
0,1,0,1,1,1,1,1,1,0,0,1,1,1,712.53
1,0,1,1,0,0,0,0,0,0,1,1,1,0,709.77
1,1,0,0,0,1,0,1,0,1,1,1,0,1,711.71
0,1,0,0,0,0,0,1,1,0,0,0,0,1,710.36
0,1,1,0,1,0,1,0,0,0,0,1,1,1,708.4
1,0,1,1,0,0,0,0,1,1,1,0,0,0,708.48
1,1,1,0,1,1,0,1,1,0,0,1,0,1,719.87
0,1,1,1,1,1,1,0,0,1,0,0,0,0,717.27
1,0,1,0,1,1,0,1,1,1,1,1,1,0,709.82
0,0,1,0,1,0,0,1,1,0,0,1,0,0,716.11
1,0,0,1,1,1,0,1,0,1,0,0,1,0,709.02
1,0,1,1,1,0,0,0,1,0,0,1,0,1,718.13
1,0,0,0,1,1,1,1,1,1,1,1,0,0,715.33
0,0,0,0,1,0,0,1,0,0,0,0,1,0,714.25
0,1,1,0,0,0,1,0,0,1,1,1,1,1,717.73
0,1,1,1,0,1,1,0,1,1,0,1,0,0,725.12
0,0,0,0,1,1,1,1,1,0,0,1,1,1,721.41
1,1,1,0,0,1,1,0,1,0,0,1,1,1,722.15
0,1,1,0,0,1,1,0,1,0,0,0,0,0,709.03
1,1,1,0,0,1,0,1,1,1,1,0,1,0,717.4
0,1,1,1,0,1,0,0,1,0,0,0,1,0,709.13
1,1,1,1,0,1,0,0,1,0,1,1,1,1,719.47
1,1,1,0,1,0,1,1,0,1,1,1,0,0,712.2
1,1,0,1,0,0,1,0,0,0,0,1,0,0,722.62
1,1,0,0,1,0,0,0,1,1,1,0,1,1,713.09
1,1,0,0,0,1,0,1,0,0,0,1,0,0,720.31
0,1,0,1,1,1,1,0,0,1,1,0,0,0,704.9
0,1,0,0,1,1,0,0,0,0,0,1,1,1,712.97
0,0,1,0,1,1,1,1,0,1,0,0,1,0,709.99
0,0,0,0,0,1,1,1,1,0,1,0,1,1,711.06
0,1,1,1,1,1,0,0,0,1,0,1,0,1,726.38
1,1,1,1,1,0,1,0,1,0,0,1,1,1,708.0
0,1,1,1,0,1,1,0,0,1,1,0,1,1,714.13
0,0,0,0,0,0,1,0,1,0,1,0,0,0,701.05
0,0,0,1,0,0,0,0,1,0,1,0,0,1,723.28
0,1,0,0,0,0,0,0,0,1,1,0,1,1,707.97
1,1,0,0,1,1,1,1,1,1,1,0,0,1,701.07
0,1,0,1,0,0,1,0,1,0,0,0,1,0,710.27
1,1,1,1,0,0,1,0,0,1,1,1,0,1,711.3
1,1,0,1,0,0,0,0,0,1,1,0,1,0,714.4
1,0,0,1,1,1,1,1,0,0,0,0,0,1,718.77
0,0,0,1,0,1,1,1,1,0,0,1,0,1,713.01
1,1,0,0,0,0,1,0,1,1,0,0,1,0,709.85
0,0,0,1,1,1,0,1,1,0,1,0,1,0,700.74
1,1,0,0,1,1,1,1,0,0,1,0,1,1,715.38
0,1,0,1,0,1,0,1,1,1,0,1,0,1,718.3
0,0,1,1,1,0,0,0,0,1,1,1,1,1,708.1
1,0,0,0,1,0,1,1,1,0,0,1,1,0,718.29
0,0,1,1,1,1,1,1,0,0,1,1,0,1,707.47
0,0,1,1,0,0,1,1,1,1,1,0,1,1,713.62
0,1,0,0,1,1,1,0,0,1,1,1,1,1,713.14
1,0,1,0,1,1,0,1,1,0,0,0,0,1,718.71
0,1,1,0,1,0,1,1,0,0,0,0,0,0,712.78
1,0,0,0,0,0,1,1,0,0,0,1,1,0,714.39
1,1,1,1,1,1,1,0,1,0,1,0,0,0,711.23
0,0,0,1,0,1,1,0,1,1,0,0,0,1,716.51
1,0,0,1,1,0,0,1,0,1,1,0,0,0,712.92
1,0,0,1,0,0,1,0,0,0,1,0,1,0,716.45
1,1,1,0,0,1,0,0,0,0,0,1,1,0,722.42
1,1,0,1,1,1,1,0,0,0,1,0,1,1,720.1
1,0,1,1,0,1,0,1,0,1,1,1,1,0,722.61
1,0,1,1,1,0,0,0,1,1,1,1,1,0,719.88
1,0,1,0,0,1,0,0,1,0,1,0,0,0,707.24
0,0,1,0,0,0,1,1,1,1,0,1,1,1,715.89
0,1,1,1,0,1,0,1,1,0,0,0,0,0,705.93
0,0,1,0,0,0,1,1,1,0,1,1,1,1,719.3
0,1,0,0,1,0,0,1,1,0,1,1,0,1,717.51
1,1,1,1,0,1,1,0,1,0,1,1,1,0,725.83
1,1,0,0,1,0,1,1,0,1,1,0,0,1,720.67
1,0,1,1,1,1,0,1,1,1,1,1,1,1,716.83
0,0,1,1,1,0,1,0,1,1,1,1,1,0,726.01
0,1,0,1,1,1,1,1,1,0,1,0,1,1,713.77
0,0,0,0,0,1,1,0,1,1,1,0,1,0,712.52
1,0,0,0,0,0,1,1,0,1,1,0,1,0,712.66
0,0,0,1,0,0,0,0,0,1,0,0,1,1,712.54
1,1,0,1,0,0,1,1,1,0,0,1,1,1,727.41
1,0,0,0,1,1,1,1,0,0,0,1,0,1,711.51
1,0,1,0,1,0,1,1,0,1,0,1,0,0,710.76
1,0,1,0,1,1,0,1,0,1,1,1,0,1,718.83
1,0,1,1,0,0,0,0,1,1,1,1,1,0,710.03
0,0,1,0,1,1,1,0,0,0,0,0,1,0,717.97
0,1,0,1,1,1,1,1,1,1,1,0,1,0,712.25
0,1,0,1,0,0,0,0,0,0,1,0,1,0,719.63
1,0,0,1,0,0,1,1,0,1,1,1,0,1,721.02
0,1,0,0,0,0,0,0,1,1,0,0,0,1,725.99
0,0,1,0,0,1,1,0,1,1,1,1,0,0,717.18
1,0,1,1,0,1,1,1,1,0,0,0,1,1,706.24
0,1,0,0,1,1,1,1,0,0,0,1,1,0,726.1
1,1,0,0,0,0,0,1,1,1,0,1,0,0,720.21
0,0,1,1,0,1,1,1,0,0,0,1,1,0,717.62
1,0,1,0,0,0,1,1,1,0,1,0,0,1,720.91
0,1,1,0,0,1,0,0,0,1,1,0,0,1,719.87
1,1,0,0,0,0,0,0,0,0,0,1,1,1,710.47
1,0,0,1,0,1,0,0,1,0,1,1,0,0,705.71
1,1,1,0,1,0,1,1,0,1,0,0,0,1,708.11
1,1,0,0,1,1,0,1,0,0,0,1,1,1,714.09
1,0,1,1,0,1,1,1,1,1,0,1,0,1,718.9
0,0,0,0,1,0,1,1,1,0,1,0,0,1,711.98
0,1,1,1,0,1,0,1,0,1,1,1,0,1,715.65
0,0,1,0,1,1,0,0,0,0,0,1,1,1,715.73
0,1,0,1,0,1,0,0,1,0,1,1,1,1,709.69
0,1,1,0,0,0,1,1,0,0,0,0,0,1,715.95
0,1,1,1,1,0,1,0,0,0,0,0,0,1,711.36
1,1,1,1,0,1,0,0,1,0,0,1,0,1,714.18
1,0,1,0,0,1,0,1,1,0,1,1,0,0,719.98
1,0,1,0,0,0,0,1,1,0,1,0,1,0,721.63
0,1,1,0,0,1,0,0,1,0,1,0,1,1,712.2
0,0,0,0,0,0,1,0,1,0,1,1,1,0,711.24
0,0,1,0,1,1,1,0,1,0,0,1,0,0,720.84
0,0,1,1,1,0,0,0,1,0,0,1,0,0,733.55
1,0,1,1,1,0,0,1,0,0,1,1,1,0,712.36
0,0,1,0,1,1,0,1,0,1,0,0,1,1,712.66
1,1,0,0,1,0,0,1,1,1,1,0,1,1,704.85
1,1,0,0,1,1,0,1,0,0,0,1,0,1,708.84
1,0,1,1,0,0,0,0,0,1,0,0,1,0,706.07
1,1,0,0,0,1,0,0,1,1,0,0,1,0,712.43
0,1,0,1,1,0,0,0,0,0,0,1,1,0,713.41
1,0,0,1,0,1,0,0,0,0,1,0,0,1,706.5
1,1,1,0,0,1,0,1,1,0,0,0,1,0,720.64
1,0,0,1,0,1,1,0,1,1,1,1,1,1,717.53
1,1,0,1,1,0,1,1,1,1,1,1,1,0,709.24
1,0,0,1,1,1,1,1,0,1,1,0,0,1,707.13
0,0,1,0,1,1,0,0,0,1,0,0,1,0,704.84
1,1,1,1,0,0,0,1,0,0,0,0,0,0,712.15
1,1,1,1,0,0,1,1,0,0,0,0,0,1,717.75
0,1,1,0,0,0,1,1,1,1,0,1,0,1,722.86
0,0,0,1,1,0,1,0,0,0,0,1,1,0,722.84
0,1,0,1,1,0,1,0,1,0,0,0,1,0,716.06
0,0,0,0,1,0,0,1,1,0,1,1,0,1,721.72
1,1,0,0,0,1,1,1,1,1,1,0,0,0,711.57
0,1,0,1,1,1,0,1,0,1,0,0,0,1,719.77
1,0,0,1,0,0,0,1,0,0,1,1,0,0,716.79
0,0,0,1,1,0,1,1,1,0,1,1,0,1,717.77
1,1,0,1,0,0,1,0,0,1,1,0,1,0,714.77
0,0,0,1,0,1,0,1,1,0,1,1,0,1,711.38
1,1,1,0,0,1,1,1,1,1,0,1,1,0,716.03
0,1,0,0,0,1,1,1,0,1,1,0,1,0,712.13
1,1,0,0,0,0,1,1,1,1,1,1,0,1,721.67
1,0,0,1,1,1,1,1,1,0,0,0,1,1,714.25
1,1,0,0,1,0,0,0,0,1,0,0,1,1,702.39
1,0,0,1,1,1,1,1,1,1,1,1,0,1,714.47
1,1,0,0,0,1,0,0,1,1,1,0,1,1,713.82
1,0,1,1,1,0,1,0,0,0,0,1,1,1,711.12
1,1,1,1,1,1,0,0,0,1,1,0,0,0,715.03
0,1,1,1,1,1,0,0,0,1,0,1,1,1,711.03
0,0,1,1,1,1,1,1,1,0,0,0,1,0,700.23
1,0,1,1,1,1,0,1,0,1,1,0,1,0,702.88
0,1,0,1,1,0,0,1,1,0,0,1,0,0,723.06
1,1,0,0,0,1,1,1,1,0,0,0,0,1,709.39
0,0,0,1,1,1,0,1,0,1,0,1,0,1,715.43
0,1,1,1,0,0,1,1,1,1,1,0,0,1,715.74
1,1,1,1,1,1,1,1,1,1,1,1,0,1,714.04
1,1,0,1,1,1,0,0,1,1,1,0,0,0,720.38
0,1,0,1,0,0,1,1,0,1,0,0,0,1,719.39
0,0,1,0,0,0,1,0,0,0,0,1,0,1,716.9
0,1,0,0,1,0,0,1,0,1,0,1,1,0,720.77
0,0,1,0,1,1,1,1,0,0,0,0,1,1,709.78
0,0,0,0,0,0,0,0,1,1,0,0,0,0,706.26
0,0,0,0,0,0,1,1,1,1,0,0,1,0,714.24
1,1,1,1,1,0,1,0,1,0,1,0,0,0,715.87
0,0,1,0,1,1,0,1,0,0,0,0,1,1,713.84
0,0,1,0,0,1,0,0,1,0,0,1,1,0,723.13
1,0,0,0,1,0,0,1,1,0,1,1,1,0,703.38
1,0,0,1,1,0,0,0,0,0,1,0,0,1,717.17
0,0,0,1,0,1,1,0,0,1,0,0,0,0,706.88
0,1,1,1,0,0,0,0,0,1,0,1,0,0,717.58
0,1,1,1,1,0,1,1,1,0,1,0,1,0,727.31
1,0,1,0,0,1,1,0,0,0,0,0,0,0,714.49
1,0,0,0,1,0,0,1,1,1,0,1,1,0,717.45
0,1,1,0,0,0,1,0,0,0,1,1,0,1,720.11
1,0,1,0,1,1,1,0,0,1,1,0,0,0,707.93
1,0,0,1,0,0,1,0,0,1,1,1,0,1,717.08
1,0,0,0,0,0,1,1,1,0,1,0,1,0,716.54
1,1,0,0,0,0,0,1,0,0,1,1,1,0,718.18
0,1,1,1,0,0,1,1,0,1,1,1,1,0,713.91
1,1,0,1,1,0,0,1,0,0,1,1,0,0,712.5
1,1,0,1,0,0,1,0,0,1,1,1,1,1,714.4
0,1,0,0,0,1,0,1,0,1,1,1,1,0,709.26
0,1,1,1,1,0,0,1,0,1,1,0,1,1,706.81
0,0,0,0,0,0,1,0,1,0,1,0,1,1,705.73
0,1,1,1,1,0,0,0,1,0,0,0,0,0,706.04
0,1,1,1,1,1,1,1,0,0,1,0,1,1,718.42
0,1,0,0,1,0,0,1,0,1,0,0,1,1,714.25
1,0,1,0,0,0,0,1,0,0,1,1,0,0,706.77
1,1,0,0,1,0,0,1,0,0,0,0,1,0,724.33
0,1,0,0,1,1,1,0,1,0,1,1,1,1,707.07
1,1,1,0,0,1,0,1,1,0,1,0,0,1,709.67
1,0,0,0,0,0,1,0,1,1,1,0,1,1,705.36
1,0,0,1,1,0,1,1,1,1,1,1,1,1,715.23
1,1,0,1,1,1,0,0,1,1,0,1,0,0,725.02
0,1,1,1,0,0,1,1,1,1,1,0,0,0,705.74
0,0,0,1,0,1,0,1,0,0,1,0,0,0,709.97
1,0,1,0,0,1,1,0,0,1,1,1,1,0,708.84
0,1,1,0,0,0,0,1,1,1,0,0,1,0,713.91
1,0,0,1,0,1,1,0,0,1,1,1,1,1,726.3
1,0,1,0,1,0,0,0,1,1,1,0,1,0,712.77
1,0,1,1,1,1,1,0,0,1,1,1,1,0,715.59
0,1,1,0,1,1,1,1,0,1,0,1,0,0,715.63
0,0,1,0,0,0,0,0,1,0,1,1,0,1,719.39
0,1,1,1,0,0,0,0,0,0,0,1,0,1,711.56
0,0,1,1,0,0,1,0,0,1,0,0,1,0,701.36
0,1,1,0,0,1,1,0,0,1,0,1,0,0,715.65
0,1,0,1,0,0,0,1,0,0,1,1,0,0,709.07
0,0,1,1,0,1,0,1,0,1,0,1,1,1,709.39
1,1,0,0,0,0,1,1,0,1,1,1,1,0,713.32
0,1,1,1,1,0,1,1,1,1,0,0,0,0,710.89
0,1,0,0,0,0,1,0,0,1,1,0,0,0,707.17
1,0,1,0,0,1,0,1,0,0,1,1,1,0,711.96
0,0,1,1,0,1,1,1,0,1,0,0,0,1,711.92
0,0,1,1,0,1,1,0,0,0,0,1,0,0,724.47
1,1,0,1,1,1,1,0,1,1,0,0,0,0,712.73
1,1,0,0,0,0,0,1,0,1,0,1,1,0,712.61
0,0,1,0,0,0,1,0,1,0,0,1,1,0,712.94
0,0,0,0,1,0,0,1,0,1,1,1,1,1,716.42
0,1,0,1,1,1,0,1,0,0,0,1,1,1,710.83
1,0,0,0,1,0,0,0,0,1,0,1,1,1,716.36
1,0,1,1,0,0,0,1,1,0,1,0,1,0,712.72
0,0,1,0,1,1,1,1,0,0,0,0,0,1,707.24
1,0,0,0,0,1,0,0,1,0,0,1,1,0,717.77
1,0,0,0,1,1,1,1,0,1,0,0,0,1,716.06
0,1,1,1,0,0,0,0,0,0,0,0,1,1,710.02
1,1,0,1,0,1,0,1,1,1,0,0,0,0,732.32
0,1,1,1,0,0,0,1,1,1,0,0,0,0,714.12
0,1,1,1,1,1,0,0,1,1,1,1,1,1,722.43
1,0,0,0,0,0,0,0,0,0,1,0,1,0,714.65
0,1,0,1,0,0,0,1,1,1,0,1,0,0,723.17
0,1,0,0,0,0,1,1,1,1,1,0,0,1,704.99
