SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K
0,0,1,0,1,0,0,1,1,0,0,1,0,0,432.06
1,0,0,1,1,1,0,1,0,1,0,0,1,0,433.38
1,0,1,1,1,0,0,0,1,0,0,1,0,1,437.62
1,0,0,0,1,1,1,1,1,1,1,1,0,0,437.9
0,0,0,0,1,0,0,1,0,0,0,0,1,0,431.94
0,1,1,0,0,0,1,0,0,1,1,1,1,1,438.36
0,1,1,1,0,1,1,0,1,1,0,1,0,0,431.69
0,0,0,0,1,1,1,1,1,0,0,1,1,1,434.82
1,1,1,0,0,1,1,0,1,0,0,1,1,1,435.99
0,1,1,0,0,1,1,0,1,0,0,0,0,0,439.06
1,1,1,0,0,1,0,1,1,1,1,0,1,0,428.98
0,1,1,1,0,1,0,0,1,0,0,0,1,0,434.73
1,1,1,1,0,1,0,0,1,0,1,1,1,1,434.56
1,1,1,0,1,0,1,1,0,1,1,1,0,0,436.26
1,1,0,1,0,0,1,0,0,0,0,1,0,0,433.22
1,1,0,0,1,0,0,0,1,1,1,0,1,1,431.97
1,1,0,0,0,1,0,1,0,0,0,1,0,0,440.31
0,1,0,1,1,1,1,0,0,1,1,0,0,0,430.58
0,1,0,0,1,1,0,0,0,0,0,1,1,1,433.57
0,0,1,0,1,1,1,1,0,1,0,0,1,0,428.23
0,0,0,0,0,1,1,1,1,0,1,0,1,1,432.4
0,1,1,1,1,1,0,0,0,1,0,1,0,1,441.54
1,1,1,1,1,0,1,0,1,0,0,1,1,1,432.07
0,1,1,1,0,1,1,0,0,1,1,0,1,1,428.94
0,0,0,0,0,0,1,0,1,0,1,0,0,0,436.49
0,0,0,1,0,0,0,0,1,0,1,0,0,1,433.46
0,1,0,0,0,0,0,0,0,1,1,0,1,1,429.3
1,1,0,0,1,1,1,1,1,1,1,0,0,1,428.32
0,1,0,1,0,0,1,0,1,0,0,0,1,0,441.43
1,1,1,1,0,0,1,0,0,1,1,1,0,1,436.6
1,1,0,1,0,0,0,0,0,1,1,0,1,0,434.19
1,0,0,1,1,1,1,1,0,0,0,0,0,1,432.87
0,0,0,1,0,1,1,1,1,0,0,1,0,1,433.12
1,1,0,0,0,0,1,0,1,1,0,0,1,0,429.58
0,0,0,1,1,1,0,1,1,0,1,0,1,0,436.26
1,1,0,0,1,1,1,1,0,0,1,0,1,1,430.1
0,1,0,1,0,1,0,1,1,1,0,1,0,1,437.65
0,0,1,1,1,0,0,0,0,1,1,1,1,1,439.26
1,0,0,0,1,0,1,1,1,0,0,1,1,0,438.56
0,0,1,1,1,1,1,1,0,0,1,1,0,1,433.48
0,0,1,1,0,0,1,1,1,1,1,0,1,1,436.42
0,1,0,0,1,1,1,0,0,1,1,1,1,1,437.64
1,0,1,0,1,1,0,1,1,0,0,0,0,1,432.91
0,1,1,0,1,0,1,1,0,0,0,0,0,0,430.62
1,0,0,0,0,0,1,1,0,0,0,1,1,0,435.3
1,1,1,1,1,1,1,0,1,0,1,0,0,0,433.08
0,0,0,1,0,1,1,0,1,1,0,0,0,1,434.04
1,0,0,1,1,0,0,1,0,1,1,0,0,0,430.87
1,0,0,1,0,0,1,0,0,0,1,0,1,0,429.84
1,1,1,0,0,1,0,0,0,0,0,1,1,0,436.6
1,1,0,1,1,1,1,0,0,0,1,0,1,1,434.38
1,0,1,1,0,1,0,1,0,1,1,1,1,0,433.16
1,0,1,1,1,0,0,0,1,1,1,1,1,0,433.74
1,0,1,0,0,1,0,0,1,0,1,0,0,0,457.39
0,0,1,0,0,0,1,1,1,1,0,1,1,1,434.11
0,1,1,1,0,1,0,1,1,0,0,0,0,0,431.02
0,0,1,0,0,0,1,1,1,0,1,1,1,1,432.64
0,1,0,0,1,0,0,1,1,0,1,1,0,1,439.04
1,1,1,1,0,1,1,0,1,0,1,1,1,0,486.75
1,1,0,0,1,0,1,1,0,1,1,0,0,1,429.09
1,0,1,1,1,1,0,1,1,1,1,1,1,1,430.49
0,0,1,1,1,0,1,0,1,1,1,1,1,0,434.32
0,1,0,1,1,1,1,1,1,0,1,0,1,1,428.87
0,0,0,0,0,1,1,0,1,1,1,0,1,0,427.71
1,0,0,0,0,0,1,1,0,1,1,0,1,0,434.5
0,0,0,1,0,0,0,0,0,1,0,0,1,1,431.05
1,1,0,1,0,0,1,1,1,0,0,1,1,1,434.85
1,0,0,0,1,1,1,1,0,0,0,1,0,1,432.83
1,0,1,0,1,0,1,1,0,1,0,1,0,0,435.39
1,0,1,0,1,1,0,1,0,1,1,1,0,1,438.13
1,0,1,1,0,0,0,0,1,1,1,1,1,0,449.77
0,0,1,0,1,1,1,0,0,0,0,0,1,0,433.88
0,1,0,1,1,1,1,1,1,1,1,0,1,0,433.46
0,1,0,1,0,0,0,0,0,0,1,0,1,0,430.17
1,0,0,1,0,0,1,1,0,1,1,1,0,1,435.64
0,1,0,0,0,0,0,0,1,1,0,0,0,1,434.1
0,0,1,0,0,1,1,0,1,1,1,1,0,0,434.65
1,0,1,1,0,1,1,1,1,0,0,0,1,1,433.99
0,1,0,0,1,1,1,1,0,0,0,1,1,0,431.57
1,1,0,0,0,0,0,1,1,1,0,1,0,0,435.08
0,0,1,1,0,1,1,1,0,0,0,1,1,0,431.58
1,0,1,0,0,0,1,1,1,0,1,0,0,1,435.06
0,1,1,0,0,1,0,0,0,1,1,0,0,1,432.64
1,1,0,0,0,0,0,0,0,0,0,1,1,1,441.16
1,0,0,1,0,1,0,0,1,0,1,1,0,0,437.7
1,1,1,0,1,0,1,1,0,1,0,0,0,1,439.19
1,1,0,0,1,1,0,1,0,0,0,1,1,1,438.22
1,0,1,1,0,1,1,1,1,1,0,1,0,1,435.62
0,0,0,0,1,0,1,1,1,0,1,0,0,1,432.85
0,1,1,1,0,1,0,1,0,1,1,1,0,1,436.46
0,0,1,0,1,1,0,0,0,0,0,1,1,1,435.84
0,1,0,1,0,1,0,0,1,0,1,1,1,1,436.9
0,1,1,0,0,0,1,1,0,0,0,0,0,1,434.21
0,1,1,1,1,0,1,0,0,0,0,0,0,1,435.74
1,1,1,1,0,1,0,0,1,0,0,1,0,1,438.04
1,0,1,0,0,1,0,1,1,0,1,1,0,0,437.88
1,0,1,0,0,0,0,1,1,0,1,0,1,0,432.96
0,1,1,0,0,1,0,0,1,0,1,0,1,1,434.05
0,0,0,0,0,0,1,0,1,0,1,1,1,0,432.74
0,0,1,0,1,1,1,0,1,0,0,1,0,0,429.98
0,0,1,1,1,0,0,0,1,0,0,1,0,0,432.37
1,0,1,1,1,0,0,1,0,0,1,1,1,0,439.23
0,0,1,0,1,1,0,1,0,1,0,0,1,1,434.68
1,1,0,0,1,0,0,1,1,1,1,0,1,1,429.78
1,1,0,0,1,1,0,1,0,0,0,1,0,1,431.5
1,0,1,1,0,0,0,0,0,1,0,0,1,0,431.1
1,1,0,0,0,1,0,0,1,1,0,0,1,0,431.14
0,1,0,1,1,0,0,0,0,0,0,1,1,0,432.02
1,0,0,1,0,1,0,0,0,0,1,0,0,1,435.28
1,1,1,0,0,1,0,1,1,0,0,0,1,0,429.46
1,0,0,1,0,1,1,0,1,1,1,1,1,1,439.08
1,1,0,1,1,0,1,1,1,1,1,1,1,0,436.42
1,0,0,1,1,1,1,1,0,1,1,0,0,1,447.67
0,0,1,0,1,1,0,0,0,1,0,0,1,0,432.53
1,1,1,1,0,0,0,1,0,0,0,0,0,0,437.66
1,1,1,1,0,0,1,1,0,0,0,0,0,1,434.75
0,1,1,0,0,0,1,1,1,1,0,1,0,1,442.92
0,0,0,1,1,0,1,0,0,0,0,1,1,0,440.94
0,1,0,1,1,0,1,0,1,0,0,0,1,0,435.56
0,0,0,0,1,0,0,1,1,0,1,1,0,1,432.42
1,1,0,0,0,1,1,1,1,1,1,0,0,0,430.24
0,1,0,1,1,1,0,1,0,1,0,0,0,1,429.86
1,0,0,1,0,0,0,1,0,0,1,1,0,0,437.7
0,0,0,1,1,0,1,1,1,0,1,1,0,1,433.5
1,1,0,1,0,0,1,0,0,1,1,0,1,0,429.42
0,0,0,1,0,1,0,1,1,0,1,1,0,1,440.23
1,1,1,0,0,1,1,1,1,1,0,1,1,0,439.98
0,1,0,0,0,1,1,1,0,1,1,0,1,0,432.66
1,1,0,0,0,0,1,1,1,1,1,1,0,1,432.27
1,0,0,1,1,1,1,1,1,0,0,0,1,1,428.0
1,1,0,0,1,0,0,0,0,1,0,0,1,1,452.92
1,0,0,1,1,1,1,1,1,1,1,1,0,1,441.76
1,1,0,0,0,1,0,0,1,1,1,0,1,1,433.71
1,0,1,1,1,0,1,0,0,0,0,1,1,1,432.25
1,1,1,1,1,1,0,0,0,1,1,0,0,0,429.87
0,1,1,1,1,1,0,0,0,1,0,1,1,1,436.99
0,0,1,1,1,1,1,1,1,0,0,0,1,0,432.64
1,0,1,1,1,1,0,1,0,1,1,0,1,0,436.93
0,1,0,1,1,0,0,1,1,0,0,1,0,0,441.14
1,1,0,0,0,1,1,1,1,0,0,0,0,1,431.07
0,0,0,1,1,1,0,1,0,1,0,1,0,1,441.85
0,1,1,1,0,0,1,1,1,1,1,0,0,1,433.35
1,1,1,1,1,1,1,1,1,1,1,1,0,1,434.77
1,1,0,1,1,1,0,0,1,1,1,0,0,0,432.09
0,1,0,1,0,0,1,1,0,1,0,0,0,1,429.72
0,0,1,0,0,0,1,0,0,0,0,1,0,1,440.92
0,1,0,0,1,0,0,1,0,1,0,1,1,0,433.89
0,0,1,0,1,1,1,1,0,0,0,0,1,1,437.58
0,0,0,0,0,0,0,0,1,1,0,0,0,0,436.37
0,0,0,0,0,0,1,1,1,1,0,0,1,0,429.03
1,1,1,1,1,0,1,0,1,0,1,0,0,0,430.8
0,0,1,0,1,1,0,1,0,0,0,0,1,1,429.57
0,0,1,0,0,1,0,0,1,0,0,1,1,0,432.5
1,0,0,0,1,0,0,1,1,0,1,1,1,0,431.56
1,0,0,1,1,0,0,0,0,0,1,0,0,1,448.6
0,0,0,1,0,1,1,0,0,1,0,0,0,0,436.62
0,1,1,1,0,0,0,0,0,1,0,1,0,0,432.9
0,1,1,1,1,0,1,1,1,0,1,0,1,0,428.32
1,0,1,0,0,1,1,0,0,0,0,0,0,0,431.7
1,0,0,0,1,0,0,1,1,1,0,1,1,0,433.59
0,1,1,0,0,0,1,0,0,0,1,1,0,1,433.67
1,0,1,0,1,1,1,0,0,1,1,0,0,0,435.56
1,0,0,1,0,0,1,0,0,1,1,1,0,1,434.02
1,0,0,0,0,0,1,1,1,0,1,0,1,0,435.66
1,1,0,0,0,0,0,1,0,0,1,1,1,0,438.24
0,1,1,1,0,0,1,1,0,1,1,1,1,0,438.66
1,1,0,1,1,0,0,1,0,0,1,1,0,0,444.02
1,1,0,1,0,0,1,0,0,1,1,1,1,1,442.01
0,1,0,0,0,1,0,1,0,1,1,1,1,0,432.82
0,1,1,1,1,0,0,1,0,1,1,0,1,1,429.63
0,0,0,0,0,0,1,0,1,0,1,0,1,1,436.94
0,1,1,1,1,0,0,0,1,0,0,0,0,0,430.11
0,1,1,1,1,1,1,1,0,0,1,0,1,1,429.58
0,1,0,0,1,0,0,1,0,1,0,0,1,1,435.74
1,0,1,0,0,0,0,1,0,0,1,1,0,0,432.34
1,1,0,0,1,0,0,1,0,0,0,0,1,0,430.33
0,1,0,0,1,1,1,0,1,0,1,1,1,1,436.27
1,1,1,0,0,1,0,1,1,0,1,0,0,1,436.07
1,0,0,0,0,0,1,0,1,1,1,0,1,1,430.18
1,0,0,1,1,0,1,1,1,1,1,1,1,1,439.43
1,1,0,1,1,1,0,0,1,1,0,1,0,0,437.07
