SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K.3
0,1,0,1,0,0,0,0,1,0,0,0,0,1,444.76
0,1,0,1,0,0,0,0,0,0,1,1,0,1,448.08
1,1,0,1,1,1,0,1,0,0,0,0,0,0,452.27
0,1,1,0,0,0,1,0,0,1,1,1,0,0,450.98
0,1,1,0,0,0,0,1,0,1,1,0,0,1,442.62
1,1,1,0,1,1,0,0,1,0,1,1,1,1,445.93
0,0,0,0,1,0,1,0,1,0,1,0,1,0,450.03
0,0,0,1,1,1,0,0,0,0,0,1,1,1,445.85
1,0,0,0,1,0,1,1,0,0,1,0,1,0,440.73
1,0,0,1,0,1,0,1,1,0,0,0,1,0,445.79
0,1,1,0,0,0,1,1,1,1,1,1,0,0,450.63
1,0,1,1,0,0,0,0,1,1,1,0,1,0,445.21
0,0,0,1,1,0,0,1,0,1,1,0,1,1,441.24
1,1,1,1,1,0,0,1,1,1,0,0,1,0,442.09
1,0,1,0,0,1,1,1,1,0,1,1,0,1,452.18
0,1,0,1,1,1,0,0,1,1,0,0,1,0,443.17
0,1,1,1,1,1,1,0,1,1,1,0,1,0,441.31
0,1,0,1,0,0,1,1,1,1,1,0,0,0,443.09
1,0,1,1,1,0,1,0,1,1,0,1,1,0,447.88
1,0,0,1,1,1,1,0,0,0,1,1,1,0,448.76
1,0,0,1,0,0,1,1,0,0,0,0,0,1,449.71
1,1,1,0,0,1,0,0,1,0,1,0,1,1,443.15
0,0,1,1,0,1,0,1,1,1,0,0,0,0,441.85
1,0,0,0,1,1,0,1,0,1,1,1,1,0,448.17
1,1,1,0,0,0,0,1,0,0,0,0,0,1,446.55
0,0,1,0,1,1,1,0,0,0,1,0,0,0,441.39
1,1,1,0,0,0,0,0,0,1,1,0,0,0,445.99
0,0,0,0,0,1,1,1,1,0,0,1,1,0,447.65
0,0,1,1,1,0,1,1,0,0,1,0,0,0,447.8
0,1,0,0,0,1,1,1,1,1,0,1,1,0,445.95
0,0,0,1,0,0,0,0,0,1,1,0,0,1,446.32
1,0,0,0,1,1,0,1,0,1,1,1,0,0,447.39
0,0,1,1,0,0,1,1,0,1,1,1,1,0,446.09
0,1,1,1,1,0,1,0,0,0,1,0,1,0,441.62
0,0,0,1,0,0,0,0,0,1,0,1,1,0,447.29
0,1,0,1,0,0,1,0,0,1,1,0,1,1,448.42
0,0,1,1,1,0,1,0,1,1,1,0,1,0,441.4
0,0,0,1,1,0,1,0,1,1,0,0,1,0,445.03
0,0,1,0,0,0,0,0,1,0,1,0,1,1,449.08
0,0,1,0,1,0,1,0,0,0,0,0,0,1,444.69
0,1,1,1,1,1,1,0,1,1,0,1,1,1,461.67
1,1,0,1,0,0,0,1,0,1,0,1,0,0,454.97
1,0,1,1,0,0,0,1,1,1,1,0,0,0,442.81
1,1,0,0,1,1,1,0,0,0,0,1,1,0,445.82
1,0,0,1,1,1,1,0,1,1,1,1,0,1,453.33
0,0,0,0,0,1,0,1,0,0,0,0,0,1,446.02
1,1,1,1,1,1,1,1,1,1,1,0,0,1,444.02
0,0,1,1,0,0,1,1,0,0,1,1,0,0,446.12
1,1,1,0,1,0,1,1,1,1,0,1,0,0,449.61
0,0,0,1,1,0,0,0,0,1,1,0,1,0,444.7
1,1,0,0,1,0,0,0,1,0,0,1,1,0,448.39
0,1,0,1,1,0,0,0,0,0,0,1,1,0,448.02
1,0,0,1,0,1,0,0,1,1,1,1,1,0,447.86
1,1,1,1,1,1,0,0,1,1,1,0,0,0,445.07
1,0,1,0,1,1,0,0,1,1,1,1,0,1,446.26
0,0,1,1,0,1,0,1,0,0,1,1,0,1,455.34
0,1,0,1,0,0,1,1,1,1,1,0,1,1,443.21
1,0,0,1,1,1,1,0,1,0,0,1,1,0,446.74
1,0,0,1,1,0,1,0,1,1,0,1,1,0,448.25
0,0,1,1,0,0,0,0,1,1,0,0,1,0,442.08
0,0,0,0,1,1,1,1,1,0,1,0,1,0,445.44
1,0,0,1,1,1,1,1,1,0,1,0,0,1,448.24
1,1,0,0,0,1,0,0,1,0,0,1,0,0,448.18
1,0,1,1,0,0,0,0,0,0,1,1,0,0,446.33
1,0,1,0,1,0,0,0,1,0,0,1,0,0,448.59
0,1,1,1,1,1,0,1,1,0,0,0,0,0,445.82
0,1,0,0,0,1,0,0,1,0,1,1,0,0,444.31
1,0,0,0,1,1,0,0,0,1,1,0,0,1,443.62
1,1,0,1,1,0,0,1,1,0,0,1,0,0,451.21
1,0,1,1,0,1,0,1,1,1,1,0,1,1,442.49
0,1,1,0,1,1,1,0,0,1,1,0,0,1,442.81
1,1,0,1,0,0,1,1,0,0,1,1,1,0,447.11
0,1,0,1,1,0,1,1,0,1,1,0,1,0,442.51
1,0,0,1,1,0,1,1,0,1,0,1,0,1,448.61
1,1,1,0,1,0,0,0,1,0,0,0,0,1,464.48
0,0,1,1,0,0,1,0,0,1,0,1,0,1,449.11
0,1,1,0,0,0,1,1,0,0,1,0,0,1,442.48
0,1,1,1,1,1,0,0,0,1,1,1,0,1,453.81
1,0,1,0,0,0,1,0,1,0,0,1,0,0,445.71
0,0,1,0,0,1,1,0,1,0,0,0,1,1,447.05
1,1,1,0,0,0,0,1,0,0,1,1,1,1,448.91
0,0,0,1,0,1,1,1,1,1,0,0,0,0,439.88
0,1,1,0,0,0,0,0,1,0,1,1,1,1,442.73
0,1,0,0,0,0,0,1,0,1,1,1,1,0,450.29
0,1,1,1,1,0,1,1,1,1,1,0,0,0,445.8
0,0,0,1,1,0,0,0,0,1,1,1,0,1,448.38
1,0,1,0,0,1,0,0,0,0,0,0,1,1,443.57
1,0,1,0,1,1,0,0,1,1,0,1,0,0,447.14
0,1,1,1,0,1,0,0,0,0,0,1,0,0,449.49
1,0,1,1,0,1,0,1,0,0,0,0,1,1,445.93
0,1,1,1,1,0,0,1,1,1,1,0,0,0,442.42
0,1,0,1,1,0,1,0,0,1,1,0,1,0,444.26
0,0,1,1,1,0,0,1,1,1,1,0,1,0,441.57
1,0,1,1,1,1,1,1,0,1,1,0,1,0,448.41
0,0,1,1,1,0,1,0,0,1,1,1,0,1,446.64
1,1,0,0,0,0,1,1,1,1,1,0,1,0,444.66
0,1,1,1,0,1,0,0,0,0,1,1,1,0,446.79
1,1,1,1,0,1,1,1,1,1,1,0,1,1,444.6
1,1,1,0,0,0,1,0,0,1,1,0,1,1,441.56
1,0,0,0,0,1,1,1,1,1,0,1,1,0,450.19
1,1,0,1,1,0,1,1,0,1,0,1,1,1,447.56
1,0,1,1,1,1,0,0,1,0,1,0,0,1,449.1
0,0,1,1,0,0,1,0,0,0,1,0,1,0,441.09
1,1,0,1,0,1,0,1,0,1,0,0,0,0,445.85
1,1,1,0,0,1,1,0,1,0,0,1,0,0,452.45
1,1,0,1,0,1,1,0,1,1,0,1,0,1,447.88
1,0,1,0,1,0,1,1,0,1,0,1,1,0,446.24
1,0,1,1,0,1,0,0,1,0,1,1,0,1,447.71
1,0,0,0,1,0,0,1,0,1,1,0,1,1,446.52
1,0,0,1,0,0,0,1,1,1,1,0,0,0,445.71
1,0,1,0,0,1,1,1,1,1,1,0,0,1,444.13
1,0,0,0,0,1,0,1,0,0,0,0,1,0,443.02
0,1,1,1,1,1,0,0,1,1,0,0,1,1,442.82
1,1,1,1,1,1,0,1,0,0,0,1,1,0,454.5
1,1,1,1,0,0,1,0,1,1,0,0,1,0,449.41
0,1,0,1,0,0,1,0,1,0,0,1,0,0,451.53
0,1,0,1,1,0,1,0,1,1,1,0,0,1,450.44
0,0,1,1,0,1,0,1,1,0,0,0,0,0,442.86
0,0,1,1,0,1,0,1,0,1,0,0,1,0,442.05
0,0,0,1,1,0,0,0,0,1,1,0,1,0,440.95
0,1,1,0,1,0,0,1,0,0,0,1,1,0,451.57
0,1,1,1,0,1,0,1,0,0,1,1,1,1,443.88
1,1,0,0,1,1,1,0,0,1,1,1,1,1,445.98
1,1,1,0,0,0,0,1,1,0,0,1,1,1,446.92
1,1,1,1,1,1,0,1,1,0,0,0,1,0,443.98
1,1,0,0,0,1,0,1,1,0,1,1,1,0,449.72
0,1,0,0,0,1,0,1,1,0,0,1,0,0,453.47
1,0,1,1,1,1,0,1,1,0,0,1,1,1,445.29
1,0,0,1,1,1,0,0,1,0,1,0,1,1,444.04
0,1,0,1,1,1,0,1,1,0,0,1,1,0,446.75
1,1,1,1,1,1,1,1,1,0,0,0,1,0,449.43
0,0,1,1,1,1,0,1,1,1,1,1,1,1,445.24
0,1,1,0,0,0,0,0,0,1,0,1,1,1,453.47
1,0,1,0,0,0,1,1,1,0,0,0,0,1,449.38
1,1,0,1,0,0,0,0,0,0,0,0,1,0,443.99
0,1,1,0,1,1,1,1,1,1,0,0,1,1,449.54
1,1,1,1,1,0,1,0,1,0,0,0,1,1,446.52
1,1,1,0,0,1,0,0,0,1,1,1,0,0,448.05
0,1,1,1,1,0,1,0,0,1,1,1,1,0,446.77
1,1,1,1,1,0,1,0,1,1,0,1,1,0,444.55
1,0,0,0,1,0,1,1,1,1,0,0,0,0,444.69
0,1,0,0,0,1,0,1,1,0,0,1,1,1,446.48
0,1,0,0,1,0,0,1,1,1,0,0,1,1,448.07
0,1,1,0,0,0,0,0,1,1,0,1,0,1,451.14
1,0,0,1,1,1,0,1,0,1,1,1,1,0,447.62
0,0,1,0,1,0,0,1,1,1,1,0,1,0,442.55
0,1,1,1,1,0,0,1,1,1,1,1,1,1,444.69
1,0,0,1,1,1,0,1,0,1,1,1,0,1,444.76
0,0,0,1,0,0,1,0,0,1,1,1,1,1,446.76
1,0,0,0,1,1,1,0,0,0,0,0,0,0,443.18
1,1,0,1,0,1,1,0,1,1,0,0,0,1,443.52
1,1,1,0,1,0,1,1,0,0,1,1,0,1,447.74
0,0,1,0,0,0,0,0,1,0,0,0,0,1,443.79
1,1,0,1,1,0,1,0,1,1,1,1,1,1,449.47
0,0,1,1,1,1,0,1,0,0,0,1,0,1,452.7
0,0,1,1,1,1,1,0,1,0,0,1,0,0,455.78
0,1,1,1,0,0,0,0,0,1,1,1,1,1,452.41
0,1,1,0,1,1,0,0,1,1,1,1,0,1,445.58
1,0,0,1,1,1,1,0,0,1,0,1,0,0,447.37
0,1,0,1,1,1,1,1,1,0,0,1,1,1,455.71
1,0,1,1,0,0,0,0,0,0,1,1,1,0,453.3
1,1,0,0,0,1,0,1,0,1,1,1,0,1,448.34
0,1,0,0,0,0,0,1,1,0,0,0,0,1,446.12
0,1,1,0,1,0,1,0,0,0,0,1,1,1,447.33
1,0,1,1,0,0,0,0,1,1,1,0,0,0,441.81
1,1,1,0,1,1,0,1,1,0,0,1,0,1,443.72
0,1,1,1,1,1,1,0,0,1,0,0,0,0,445.62
1,0,1,0,1,1,0,1,1,1,1,1,1,0,445.65
0,0,1,0,1,0,0,1,1,0,0,1,0,0,444.0
1,0,0,1,1,1,0,1,0,1,0,0,1,0,443.84
1,0,1,1,1,0,0,0,1,0,0,1,0,1,445.14
1,0,0,0,1,1,1,1,1,1,1,1,0,0,447.75
0,0,0,0,1,0,0,1,0,0,0,0,1,0,441.81
0,1,1,0,0,0,1,0,0,1,1,1,1,1,445.53
0,1,1,1,0,1,1,0,1,1,0,1,0,0,455.1
0,0,0,0,1,1,1,1,1,0,0,1,1,1,442.68
1,1,1,0,0,1,1,0,1,0,0,1,1,1,457.25
0,1,1,0,0,1,1,0,1,0,0,0,0,0,450.7
1,1,1,0,0,1,0,1,1,1,1,0,1,0,448.85
0,1,1,1,0,1,0,0,1,0,0,0,1,0,446.31
1,1,1,1,0,1,0,0,1,0,1,1,1,1,448.28
1,1,1,0,1,0,1,1,0,1,1,1,0,0,448.81
1,1,0,1,0,0,1,0,0,0,0,1,0,0,448.58
1,1,0,0,1,0,0,0,1,1,1,0,1,1,447.08
1,1,0,0,0,1,0,1,0,0,0,1,0,0,450.54
0,1,0,1,1,1,1,0,0,1,1,0,0,0,441.93
0,1,0,0,1,1,0,0,0,0,0,1,1,1,445.36
0,0,1,0,1,1,1,1,0,1,0,0,1,0,445.21
0,0,0,0,0,1,1,1,1,0,1,0,1,1,445.48
0,1,1,1,1,1,0,0,0,1,0,1,0,1,447.75
1,1,1,1,1,0,1,0,1,0,0,1,1,1,452.31
0,1,1,1,0,1,1,0,0,1,1,0,1,1,451.45
0,0,0,0,0,0,1,0,1,0,1,0,0,0,448.36
0,0,0,1,0,0,0,0,1,0,1,0,0,1,452.54
0,1,0,0,0,0,0,0,0,1,1,0,1,1,442.57
1,1,0,0,1,1,1,1,1,1,1,0,0,1,450.15
0,1,0,1,0,0,1,0,1,0,0,0,1,0,446.16
1,1,1,1,0,0,1,0,0,1,1,1,0,1,451.66
1,1,0,1,0,0,0,0,0,1,1,0,1,0,446.04
1,0,0,1,1,1,1,1,0,0,0,0,0,1,445.18
0,0,0,1,0,1,1,1,1,0,0,1,0,1,451.46
1,1,0,0,0,0,1,0,1,1,0,0,1,0,441.82
0,0,0,1,1,1,0,1,1,0,1,0,1,0,446.18
1,1,0,0,1,1,1,1,0,0,1,0,1,1,444.21
0,1,0,1,0,1,0,1,1,1,0,1,0,1,452.94
0,0,1,1,1,0,0,0,0,1,1,1,1,1,453.48
1,0,0,0,1,0,1,1,1,0,0,1,1,0,454.5
0,0,1,1,1,1,1,1,0,0,1,1,0,1,448.09
0,0,1,1,0,0,1,1,1,1,1,0,1,1,441.22
0,1,0,0,1,1,1,0,0,1,1,1,1,1,444.98
1,0,1,0,1,1,0,1,1,0,0,0,0,1,448.03
0,1,1,0,1,0,1,1,0,0,0,0,0,0,463.8
1,0,0,0,0,0,1,1,0,0,0,1,1,0,443.87
1,1,1,1,1,1,1,0,1,0,1,0,0,0,450.44
0,0,0,1,0,1,1,0,1,1,0,0,0,1,449.78
1,0,0,1,1,0,0,1,0,1,1,0,0,0,443.59
1,0,0,1,0,0,1,0,0,0,1,0,1,0,442.58
1,1,1,0,0,1,0,0,0,0,0,1,1,0,455.84
1,1,0,1,1,1,1,0,0,0,1,0,1,1,445.45
1,0,1,1,0,1,0,1,0,1,1,1,1,0,452.93
1,0,1,1,1,0,0,0,1,1,1,1,1,0,450.36
1,0,1,0,0,1,0,0,1,0,1,0,0,0,443.8
0,0,1,0,0,0,1,1,1,1,0,1,1,1,443.54
0,1,1,1,0,1,0,1,1,0,0,0,0,0,450.27
0,0,1,0,0,0,1,1,1,0,1,1,1,1,447.48
0,1,0,0,1,0,0,1,1,0,1,1,0,1,445.6
1,1,1,1,0,1,1,0,1,0,1,1,1,0,446.21
1,1,0,0,1,0,1,1,0,1,1,0,0,1,444.14
1,0,1,1,1,1,0,1,1,1,1,1,1,1,447.94
0,0,1,1,1,0,1,0,1,1,1,1,1,0,449.97
0,1,0,1,1,1,1,1,1,0,1,0,1,1,443.6
0,0,0,0,0,1,1,0,1,1,1,0,1,0,441.81
1,0,0,0,0,0,1,1,0,1,1,0,1,0,445.41
0,0,0,1,0,0,0,0,0,1,0,0,1,1,443.36
1,1,0,1,0,0,1,1,1,0,0,1,1,1,444.8
1,0,0,0,1,1,1,1,0,0,0,1,0,1,447.3
1,0,1,0,1,0,1,1,0,1,0,1,0,0,448.67
1,0,1,0,1,1,0,1,0,1,1,1,0,1,448.02
1,0,1,1,0,0,0,0,1,1,1,1,1,0,453.19
0,0,1,0,1,1,1,0,0,0,0,0,1,0,443.14
0,1,0,1,1,1,1,1,1,1,1,0,1,0,443.46
0,1,0,1,0,0,0,0,0,0,1,0,1,0,439.88
1,0,0,1,0,0,1,1,0,1,1,1,0,1,444.19
0,1,0,0,0,0,0,0,1,1,0,0,0,1,443.25
0,0,1,0,0,1,1,0,1,1,1,1,0,0,462.0
1,0,1,1,0,1,1,1,1,0,0,0,1,1,445.79
0,1,0,0,1,1,1,1,0,0,0,1,1,0,446.17
1,1,0,0,0,0,0,1,1,1,0,1,0,0,447.2
0,0,1,1,0,1,1,1,0,0,0,1,1,0,444.67
1,0,1,0,0,0,1,1,1,0,1,0,0,1,459.31
0,1,1,0,0,1,0,0,0,1,1,0,0,1,444.2
1,1,0,0,0,0,0,0,0,0,0,1,1,1,447.13
1,0,0,1,0,1,0,0,1,0,1,1,0,0,445.31
1,1,1,0,1,0,1,1,0,1,0,0,0,1,444.74
1,1,0,0,1,1,0,1,0,0,0,1,1,1,449.56
1,0,1,1,0,1,1,1,1,1,0,1,0,1,448.18
0,0,0,0,1,0,1,1,1,0,1,0,0,1,444.21
0,1,1,1,0,1,0,1,0,1,1,1,0,1,487.81
0,0,1,0,1,1,0,0,0,0,0,1,1,1,444.59
0,1,0,1,0,1,0,0,1,0,1,1,1,1,445.6
0,1,1,0,0,0,1,1,0,0,0,0,0,1,444.11
0,1,1,1,1,0,1,0,0,0,0,0,0,1,444.4
1,1,1,1,0,1,0,0,1,0,0,1,0,1,450.05
1,0,1,0,0,1,0,1,1,0,1,1,0,0,454.71
1,0,1,0,0,0,0,1,1,0,1,0,1,0,441.08
0,1,1,0,0,1,0,0,1,0,1,0,1,1,442.68
0,0,0,0,0,0,1,0,1,0,1,1,1,0,445.5
0,0,1,0,1,1,1,0,1,0,0,1,0,0,443.66
0,0,1,1,1,0,0,0,1,0,0,1,0,0,449.32
1,0,1,1,1,0,0,1,0,0,1,1,1,0,447.63
0,0,1,0,1,1,0,1,0,1,0,0,1,1,441.93
1,1,0,0,1,0,0,1,1,1,1,0,1,1,447.42
1,1,0,0,1,1,0,1,0,0,0,1,0,1,447.36
1,0,1,1,0,0,0,0,0,1,0,0,1,0,447.78
1,1,0,0,0,1,0,0,1,1,0,0,1,0,446.7
0,1,0,1,1,0,0,0,0,0,0,1,1,0,458.01
1,0,0,1,0,1,0,0,0,0,1,0,0,1,444.38
1,1,1,0,0,1,0,1,1,0,0,0,1,0,444.46
1,0,0,1,0,1,1,0,1,1,1,1,1,1,448.26
1,1,0,1,1,0,1,1,1,1,1,1,1,0,454.65
1,0,0,1,1,1,1,1,0,1,1,0,0,1,451.87
0,0,1,0,1,1,0,0,0,1,0,0,1,0,446.27
1,1,1,1,0,0,0,1,0,0,0,0,0,0,444.32
1,1,1,1,0,0,1,1,0,0,0,0,0,1,445.14
0,1,1,0,0,0,1,1,1,1,0,1,0,1,443.46
0,0,0,1,1,0,1,0,0,0,0,1,1,0,446.02
0,1,0,1,1,0,1,0,1,0,0,0,1,0,443.64
0,0,0,0,1,0,0,1,1,0,1,1,0,1,447.73
1,1,0,0,0,1,1,1,1,1,1,0,0,0,447.83
0,1,0,1,1,1,0,1,0,1,0,0,0,1,443.47
1,0,0,1,0,0,0,1,0,0,1,1,0,0,452.27
0,0,0,1,1,0,1,1,1,0,1,1,0,1,448.49
1,1,0,1,0,0,1,0,0,1,1,0,1,0,445.68
0,0,0,1,0,1,0,1,1,0,1,1,0,1,448.95
1,1,1,0,0,1,1,1,1,1,0,1,1,0,446.41
0,1,0,0,0,1,1,1,0,1,1,0,1,0,454.01
1,1,0,0,0,0,1,1,1,1,1,1,0,1,455.0
1,0,0,1,1,1,1,1,1,0,0,0,1,1,442.3
1,1,0,0,1,0,0,0,0,1,0,0,1,1,445.47
1,0,0,1,1,1,1,1,1,1,1,1,0,1,456.88
1,1,0,0,0,1,0,0,1,1,1,0,1,1,447.4
1,0,1,1,1,0,1,0,0,0,0,1,1,1,447.28
1,1,1,1,1,1,0,0,0,1,1,0,0,0,445.72
0,1,1,1,1,1,0,0,0,1,0,1,1,1,453.83
0,0,1,1,1,1,1,1,1,0,0,0,1,0,494.66
1,0,1,1,1,1,0,1,0,1,1,0,1,0,444.2
0,1,0,1,1,0,0,1,1,0,0,1,0,0,451.37
1,1,0,0,0,1,1,1,1,0,0,0,0,1,447.15
0,0,0,1,1,1,0,1,0,1,0,1,0,1,447.48
0,1,1,1,0,0,1,1,1,1,1,0,0,1,444.87
1,1,1,1,1,1,1,1,1,1,1,1,0,1,449.89
1,1,0,1,1,1,0,0,1,1,1,0,0,0,447.48
0,1,0,1,0,0,1,1,0,1,0,0,0,1,444.59
0,0,1,0,0,0,1,0,0,0,0,1,0,1,447.11
0,1,0,0,1,0,0,1,0,1,0,1,1,0,446.85
0,0,1,0,1,1,1,1,0,0,0,0,1,1,439.15
0,0,0,0,0,0,0,0,1,1,0,0,0,0,444.15
0,0,0,0,0,0,1,1,1,1,0,0,1,0,444.81
1,1,1,1,1,0,1,0,1,0,1,0,0,0,452.44
0,0,1,0,1,1,0,1,0,0,0,0,1,1,448.7
0,0,1,0,0,1,0,0,1,0,0,1,1,0,450.25
1,0,0,0,1,0,0,1,1,0,1,1,1,0,447.34
1,0,0,1,1,0,0,0,0,0,1,0,0,1,442.66
0,0,0,1,0,1,1,0,0,1,0,0,0,0,448.43
0,1,1,1,0,0,0,0,0,1,0,1,0,0,450.89
0,1,1,1,1,0,1,1,1,0,1,0,1,0,445.1
1,0,1,0,0,1,1,0,0,0,0,0,0,0,445.27
1,0,0,0,1,0,0,1,1,1,0,1,1,0,448.41
0,1,1,0,0,0,1,0,0,0,1,1,0,1,450.68
1,0,1,0,1,1,1,0,0,1,1,0,0,0,455.59
1,0,0,1,0,0,1,0,0,1,1,1,0,1,453.87
1,0,0,0,0,0,1,1,1,0,1,0,1,0,450.83
1,1,0,0,0,0,0,1,0,0,1,1,1,0,455.74
0,1,1,1,0,0,1,1,0,1,1,1,1,0,446.81
1,1,0,1,1,0,0,1,0,0,1,1,0,0,451.6
1,1,0,1,0,0,1,0,0,1,1,1,1,1,452.7
0,1,0,0,0,1,0,1,0,1,1,1,1,0,446.09
0,1,1,1,1,0,0,1,0,1,1,0,1,1,446.07
0,0,0,0,0,0,1,0,1,0,1,0,1,1,442.17
0,1,1,1,1,0,0,0,1,0,0,0,0,0,444.71
0,1,1,1,1,1,1,1,0,0,1,0,1,1,444.49
0,1,0,0,1,0,0,1,0,1,0,0,1,1,446.62
1,0,1,0,0,0,0,1,0,0,1,1,0,0,452.29
1,1,0,0,1,0,0,1,0,0,0,0,1,0,446.74
0,1,0,0,1,1,1,0,1,0,1,1,1,1,446.63
1,1,1,0,0,1,0,1,1,0,1,0,0,1,450.23
1,0,0,0,0,0,1,0,1,1,1,0,1,1,446.97
1,0,0,1,1,0,1,1,1,1,1,1,1,1,447.21
1,1,0,1,1,1,0,0,1,1,0,1,0,0,449.92
0,1,1,1,0,0,1,1,1,1,1,0,0,0,447.39
0,0,0,1,0,1,0,1,0,0,1,0,0,0,444.81
1,0,1,0,0,1,1,0,0,1,1,1,1,0,445.85
0,1,1,0,0,0,0,1,1,1,0,0,1,0,449.85
1,0,0,1,0,1,1,0,0,1,1,1,1,1,455.56
1,0,1,0,1,0,0,0,1,1,1,0,1,0,447.02
1,0,1,1,1,1,1,0,0,1,1,1,1,0,445.5
0,1,1,0,1,1,1,1,0,1,0,1,0,0,443.62
0,0,1,0,0,0,0,0,1,0,1,1,0,1,448.02
0,1,1,1,0,0,0,0,0,0,0,1,0,1,444.69
0,0,1,1,0,0,1,0,0,1,0,0,1,0,443.0
0,1,1,0,0,1,1,0,0,1,0,1,0,0,443.26
0,1,0,1,0,0,0,1,0,0,1,1,0,0,446.51
0,0,1,1,0,1,0,1,0,1,0,1,1,1,445.03
1,1,0,0,0,0,1,1,0,1,1,1,1,0,448.94
0,1,1,1,1,0,1,1,1,1,0,0,0,0,448.81
0,1,0,0,0,0,1,0,0,1,1,0,0,0,449.93
1,0,1,0,0,1,0,1,0,0,1,1,1,0,454.61
0,0,1,1,0,1,1,1,0,1,0,0,0,1,442.18
0,0,1,1,0,1,1,0,0,0,0,1,0,0,451.71
1,1,0,1,1,1,1,0,1,1,0,0,0,0,449.48
1,1,0,0,0,0,0,1,0,1,0,1,1,0,447.2
0,0,1,0,0,0,1,0,1,0,0,1,1,0,446.19
0,0,0,0,1,0,0,1,0,1,1,1,1,1,448.66
0,1,0,1,1,1,0,1,0,0,0,1,1,1,455.39
1,0,0,0,1,0,0,0,0,1,0,1,1,1,448.34
1,0,1,1,0,0,0,1,1,0,1,0,1,0,444.75
0,0,1,0,1,1,1,1,0,0,0,0,0,1,442.46
1,0,0,0,0,1,0,0,1,0,0,1,1,0,448.13
1,0,0,0,1,1,1,1,0,1,0,0,0,1,446.02
0,1,1,1,0,0,0,0,0,0,0,0,1,1,450.17
1,1,0,1,0,1,0,1,1,1,0,0,0,0,444.33
0,1,1,1,0,0,0,1,1,1,0,0,0,0,442.53
0,1,1,1,1,1,0,0,1,1,1,1,1,1,449.05
1,0,0,0,0,0,0,0,0,0,1,0,1,0,446.45
0,1,0,1,0,0,0,1,1,1,0,1,0,0,446.44
0,1,0,0,0,0,1,1,1,1,1,0,0,1,443.29
