SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwritebatch.1
0,1,1,1,1,0,1,1,1,1,1,0,0,0,19.54
0,0,0,1,1,0,0,0,0,1,1,1,0,1,19.683
1,0,1,0,0,1,0,0,0,0,0,0,1,1,19.047
1,0,1,0,1,1,0,0,1,1,0,1,0,0,19.894
0,1,1,1,0,1,0,0,0,0,0,1,0,0,19.724
1,0,1,1,0,1,0,1,0,0,0,0,1,1,19.016
0,1,1,1,1,0,0,1,1,1,1,0,0,0,18.981
0,1,0,1,1,0,1,0,0,1,1,0,1,0,19.437
0,0,1,1,1,0,0,1,1,1,1,0,1,0,19.052
1,0,1,1,1,1,1,1,0,1,1,0,1,0,19.127
0,0,1,1,1,0,1,0,0,1,1,1,0,1,19.77
1,1,0,0,0,0,1,1,1,1,1,0,1,0,19.164
0,1,1,1,0,1,0,0,0,0,1,1,1,0,19.581
1,1,1,1,0,1,1,1,1,1,1,0,1,1,19.073
1,1,1,0,0,0,1,0,0,1,1,0,1,1,19.066
1,0,0,0,0,1,1,1,1,1,0,1,1,0,20.048
1,1,0,1,1,0,1,1,0,1,0,1,1,1,19.944
1,0,1,1,1,1,0,0,1,0,1,0,0,1,19.297
0,0,1,1,0,0,1,0,0,0,1,0,1,0,18.614
1,1,0,1,0,1,0,1,0,1,0,0,0,0,19.144
1,1,1,0,0,1,1,0,1,0,0,1,0,0,19.909
1,1,0,1,0,1,1,0,1,1,0,1,0,1,19.796
1,0,1,0,1,0,1,1,0,1,0,1,1,0,19.907
1,0,1,1,0,1,0,0,1,0,1,1,0,1,19.748
1,0,0,0,1,0,0,1,0,1,1,0,1,1,19.229
1,0,0,1,0,0,0,1,1,1,1,0,0,0,18.993
1,0,1,0,0,1,1,1,1,1,1,0,0,1,19.175
1,0,0,0,0,1,0,1,0,0,0,0,1,0,19.094
0,1,1,1,1,1,0,0,1,1,0,0,1,1,19.008
1,1,1,1,1,1,0,1,0,0,0,1,1,0,19.925
1,1,1,1,0,0,1,0,1,1,0,0,1,0,19.228
0,1,0,1,0,0,1,0,1,0,0,1,0,0,19.802
0,1,0,1,1,0,1,0,1,1,1,0,0,1,18.971
0,0,1,1,0,1,0,1,1,0,0,0,0,0,19.137
0,0,1,1,0,1,0,1,0,1,0,0,1,0,19.067
0,0,0,1,1,0,0,0,0,1,1,0,1,0,19.259
0,1,1,0,1,0,0,1,0,0,0,1,1,0,19.89
0,1,1,1,0,1,0,1,0,0,1,1,1,1,19.874
1,1,0,0,1,1,1,0,0,1,1,1,1,1,19.578
1,1,1,0,0,0,0,1,1,0,0,1,1,1,19.714
1,1,1,1,1,1,0,1,1,0,0,0,1,0,19.456
1,1,0,0,0,1,0,1,1,0,1,1,1,0,19.737
0,1,0,0,0,1,0,1,1,0,0,1,0,0,19.741
1,0,1,1,1,1,0,1,1,0,0,1,1,1,20.102
1,0,0,1,1,1,0,0,1,0,1,0,1,1,19.076
0,1,0,1,1,1,0,1,1,0,0,1,1,0,19.639
1,1,1,1,1,1,1,1,1,0,0,0,1,0,18.892
0,0,1,1,1,1,0,1,1,1,1,1,1,1,19.884
0,1,1,0,0,0,0,0,0,1,0,1,1,1,19.882
1,0,1,0,0,0,1,1,1,0,0,0,0,1,18.96
1,1,0,1,0,0,0,0,0,0,0,0,1,0,19.153
0,1,1,0,1,1,1,1,1,1,0,0,1,1,18.899
1,1,1,1,1,0,1,0,1,0,0,0,1,1,19.22
1,1,1,0,0,1,0,0,0,1,1,1,0,0,19.772
0,1,1,1,1,0,1,0,0,1,1,1,1,0,20.037
1,1,1,1,1,0,1,0,1,1,0,1,1,0,19.839
1,0,0,0,1,0,1,1,1,1,0,0,0,0,19.333
0,1,0,0,0,1,0,1,1,0,0,1,1,1,19.893
0,1,0,0,1,0,0,1,1,1,0,0,1,1,18.84
0,1,1,0,0,0,0,0,1,1,0,1,0,1,19.751
1,0,0,1,1,1,0,1,0,1,1,1,1,0,20.324
0,0,1,0,1,0,0,1,1,1,1,0,1,0,19.174
0,1,1,1,1,0,0,1,1,1,1,1,1,1,19.576
1,0,0,1,1,1,0,1,0,1,1,1,0,1,19.679
0,0,0,1,0,0,1,0,0,1,1,1,1,1,19.762
1,0,0,0,1,1,1,0,0,0,0,0,0,0,19.471
1,1,0,1,0,1,1,0,1,1,0,0,0,1,19.074
1,1,1,0,1,0,1,1,0,0,1,1,0,1,19.534
0,0,1,0,0,0,0,0,1,0,0,0,0,1,19.09
1,1,0,1,1,0,1,0,1,1,1,1,1,1,19.616
0,0,1,1,1,1,0,1,0,0,0,1,0,1,19.488
0,0,1,1,1,1,1,0,1,0,0,1,0,0,19.818
0,1,1,1,0,0,0,0,0,1,1,1,1,1,20.203
0,1,1,0,1,1,0,0,1,1,1,1,0,1,19.826
1,0,0,1,1,1,1,0,0,1,0,1,0,0,20.22
0,1,0,1,1,1,1,1,1,0,0,1,1,1,19.555
1,0,1,1,0,0,0,0,0,0,1,1,1,0,19.839
1,1,0,0,0,1,0,1,0,1,1,1,0,1,20.088
0,1,0,0,0,0,0,1,1,0,0,0,0,1,18.767
0,1,1,0,1,0,1,0,0,0,0,1,1,1,19.725
1,0,1,1,0,0,0,0,1,1,1,0,0,0,19.114
1,1,1,0,1,1,0,1,1,0,0,1,0,1,19.978
0,1,1,1,1,1,1,0,0,1,0,0,0,0,19.09
1,0,1,0,1,1,0,1,1,1,1,1,1,0,19.897
0,0,1,0,1,0,0,1,1,0,0,1,0,0,19.781
1,0,0,1,1,1,0,1,0,1,0,0,1,0,19.062
1,0,1,1,1,0,0,0,1,0,0,1,0,1,19.961
1,0,0,0,1,1,1,1,1,1,1,1,0,0,20.108
0,0,0,0,1,0,0,1,0,0,0,0,1,0,19.284
0,1,1,0,0,0,1,0,0,1,1,1,1,1,19.799
0,1,1,1,0,1,1,0,1,1,0,1,0,0,19.898
0,0,0,0,1,1,1,1,1,0,0,1,1,1,19.667
1,1,1,0,0,1,1,0,1,0,0,1,1,1,19.881
0,1,1,0,0,1,1,0,1,0,0,0,0,0,19.035
1,1,1,0,0,1,0,1,1,1,1,0,1,0,18.906
0,1,1,1,0,1,0,0,1,0,0,0,1,0,19.025
1,1,1,1,0,1,0,0,1,0,1,1,1,1,19.865
1,1,1,0,1,0,1,1,0,1,1,1,0,0,19.785
1,1,0,1,0,0,1,0,0,0,0,1,0,0,19.604
1,1,0,0,1,0,0,0,1,1,1,0,1,1,19.321
1,1,0,0,0,1,0,1,0,0,0,1,0,0,19.99
0,1,0,1,1,1,1,0,0,1,1,0,0,0,18.853
0,1,0,0,1,1,0,0,0,0,0,1,1,1,20.005
0,0,1,0,1,1,1,1,0,1,0,0,1,0,19.192
0,0,0,0,0,1,1,1,1,0,1,0,1,1,19.076
0,1,1,1,1,1,0,0,0,1,0,1,0,1,19.7
1,1,1,1,1,0,1,0,1,0,0,1,1,1,20.037
0,1,1,1,0,1,1,0,0,1,1,0,1,1,19.252
0,0,0,0,0,0,1,0,1,0,1,0,0,0,18.943
0,0,0,1,0,0,0,0,1,0,1,0,0,1,19.032
0,1,0,0,0,0,0,0,0,1,1,0,1,1,19.142
1,1,0,0,1,1,1,1,1,1,1,0,0,1,18.941
0,1,0,1,0,0,1,0,1,0,0,0,1,0,19.217
1,1,1,1,0,0,1,0,0,1,1,1,0,1,19.907
1,1,0,1,0,0,0,0,0,1,1,0,1,0,19.162
1,0,0,1,1,1,1,1,0,0,0,0,0,1,19.138
0,0,0,1,0,1,1,1,1,0,0,1,0,1,19.841
1,1,0,0,0,0,1,0,1,1,0,0,1,0,19.115
0,0,0,1,1,1,0,1,1,0,1,0,1,0,19.164
1,1,0,0,1,1,1,1,0,0,1,0,1,1,19.133
0,1,0,1,0,1,0,1,1,1,0,1,0,1,19.703
0,0,1,1,1,0,0,0,0,1,1,1,1,1,19.754
1,0,0,0,1,0,1,1,1,0,0,1,1,0,20.02
0,0,1,1,1,1,1,1,0,0,1,1,0,1,19.729
0,0,1,1,0,0,1,1,1,1,1,0,1,1,19.39
0,1,0,0,1,1,1,0,0,1,1,1,1,1,19.536
1,0,1,0,1,1,0,1,1,0,0,0,0,1,19.061
0,1,1,0,1,0,1,1,0,0,0,0,0,0,19.094
1,0,0,0,0,0,1,1,0,0,0,1,1,0,19.436
1,1,1,1,1,1,1,0,1,0,1,0,0,0,19.12
0,0,0,1,0,1,1,0,1,1,0,0,0,1,19.219
1,0,0,1,1,0,0,1,0,1,1,0,0,0,19.242
1,0,0,1,0,0,1,0,0,0,1,0,1,0,19.027
1,1,1,0,0,1,0,0,0,0,0,1,1,0,19.77
1,1,0,1,1,1,1,0,0,0,1,0,1,1,18.848
1,0,1,1,0,1,0,1,0,1,1,1,1,0,19.865
1,0,1,1,1,0,0,0,1,1,1,1,1,0,19.966
1,0,1,0,0,1,0,0,1,0,1,0,0,0,19.262
0,0,1,0,0,0,1,1,1,1,0,1,1,1,19.701
0,1,1,1,0,1,0,1,1,0,0,0,0,0,18.922
0,0,1,0,0,0,1,1,1,0,1,1,1,1,19.731
0,1,0,0,1,0,0,1,1,0,1,1,0,1,20.362
1,1,1,1,0,1,1,0,1,0,1,1,1,0,19.549
1,1,0,0,1,0,1,1,0,1,1,0,0,1,19.103
1,0,1,1,1,1,0,1,1,1,1,1,1,1,19.754
0,0,1,1,1,0,1,0,1,1,1,1,1,0,19.743
0,1,0,1,1,1,1,1,1,0,1,0,1,1,18.898
0,0,0,0,0,1,1,0,1,1,1,0,1,0,19.164
1,0,0,0,0,0,1,1,0,1,1,0,1,0,19.188
0,0,0,1,0,0,0,0,0,1,0,0,1,1,18.806
1,1,0,1,0,0,1,1,1,0,0,1,1,1,19.561
1,0,0,0,1,1,1,1,0,0,0,1,0,1,20.059
1,0,1,0,1,0,1,1,0,1,0,1,0,0,20.06
1,0,1,0,1,1,0,1,0,1,1,1,0,1,19.83
1,0,1,1,0,0,0,0,1,1,1,1,1,0,19.988
0,0,1,0,1,1,1,0,0,0,0,0,1,0,19.423
0,1,0,1,1,1,1,1,1,1,1,0,1,0,19.207
0,1,0,1,0,0,0,0,0,0,1,0,1,0,18.901
1,0,0,1,0,0,1,1,0,1,1,1,0,1,20.072
0,1,0,0,0,0,0,0,1,1,0,0,0,1,19.528
0,0,1,0,0,1,1,0,1,1,1,1,0,0,20.042
1,0,1,1,0,1,1,1,1,0,0,0,1,1,19.161
0,1,0,0,1,1,1,1,0,0,0,1,1,0,19.85
1,1,0,0,0,0,0,1,1,1,0,1,0,0,20.191
0,0,1,1,0,1,1,1,0,0,0,1,1,0,19.62
1,0,1,0,0,0,1,1,1,0,1,0,0,1,19.117
0,1,1,0,0,1,0,0,0,1,1,0,0,1,19.283
1,1,0,0,0,0,0,0,0,0,0,1,1,1,19.538
1,0,0,1,0,1,0,0,1,0,1,1,0,0,19.678
1,1,1,0,1,0,1,1,0,1,0,0,0,1,19.409
1,1,0,0,1,1,0,1,0,0,0,1,1,1,19.855
1,0,1,1,0,1,1,1,1,1,0,1,0,1,19.765
0,0,0,0,1,0,1,1,1,0,1,0,0,1,18.861
0,1,1,1,0,1,0,1,0,1,1,1,0,1,20.151
0,0,1,0,1,1,0,0,0,0,0,1,1,1,19.896
0,1,0,1,0,1,0,0,1,0,1,1,1,1,19.607
0,1,1,0,0,0,1,1,0,0,0,0,0,1,19.234
0,1,1,1,1,0,1,0,0,0,0,0,0,1,19.24
1,1,1,1,0,1,0,0,1,0,0,1,0,1,19.366
1,0,1,0,0,1,0,1,1,0,1,1,0,0,19.808
1,0,1,0,0,0,0,1,1,0,1,0,1,0,19.251
0,1,1,0,0,1,0,0,1,0,1,0,1,1,19.109
0,0,0,0,0,0,1,0,1,0,1,1,1,0,19.651
0,0,1,0,1,1,1,0,1,0,0,1,0,0,19.673
0,0,1,1,1,0,0,0,1,0,0,1,0,0,19.806
1,0,1,1,1,0,0,1,0,0,1,1,1,0,19.911
0,0,1,0,1,1,0,1,0,1,0,0,1,1,19.112
1,1,0,0,1,0,0,1,1,1,1,0,1,1,19.146
1,1,0,0,1,1,0,1,0,0,0,1,0,1,19.798
1,0,1,1,0,0,0,0,0,1,0,0,1,0,19.147
1,1,0,0,0,1,0,0,1,1,0,0,1,0,18.896
0,1,0,1,1,0,0,0,0,0,0,1,1,0,19.808
1,0,0,1,0,1,0,0,0,0,1,0,0,1,19.085
1,1,1,0,0,1,0,1,1,0,0,0,1,0,19.01
1,0,0,1,0,1,1,0,1,1,1,1,1,1,19.668
1,1,0,1,1,0,1,1,1,1,1,1,1,0,19.953
1,0,0,1,1,1,1,1,0,1,1,0,0,1,19.301
0,0,1,0,1,1,0,0,0,1,0,0,1,0,19.076
1,1,1,1,0,0,0,1,0,0,0,0,0,0,18.65
1,1,1,1,0,0,1,1,0,0,0,0,0,1,19.033
0,1,1,0,0,0,1,1,1,1,0,1,0,1,20.083
0,0,0,1,1,0,1,0,0,0,0,1,1,0,19.7
0,1,0,1,1,0,1,0,1,0,0,0,1,0,18.938
0,0,0,0,1,0,0,1,1,0,1,1,0,1,19.863
1,1,0,0,0,1,1,1,1,1,1,0,0,0,19.421
0,1,0,1,1,1,0,1,0,1,0,0,0,1,18.918
1,0,0,1,0,0,0,1,0,0,1,1,0,0,19.812
0,0,0,1,1,0,1,1,1,0,1,1,0,1,20.022
1,1,0,1,0,0,1,0,0,1,1,0,1,0,19.43
0,0,0,1,0,1,0,1,1,0,1,1,0,1,19.591
1,1,1,0,0,1,1,1,1,1,0,1,1,0,19.836
0,1,0,0,0,1,1,1,0,1,1,0,1,0,19.125
1,1,0,0,0,0,1,1,1,1,1,1,0,1,19.908
1,0,0,1,1,1,1,1,1,0,0,0,1,1,18.661
1,1,0,0,1,0,0,0,0,1,0,0,1,1,19.143
1,0,0,1,1,1,1,1,1,1,1,1,0,1,19.888
1,1,0,0,0,1,0,0,1,1,1,0,1,1,19.303
1,0,1,1,1,0,1,0,0,0,0,1,1,1,19.633
1,1,1,1,1,1,0,0,0,1,1,0,0,0,19.168
0,1,1,1,1,1,0,0,0,1,0,1,1,1,19.783
0,0,1,1,1,1,1,1,1,0,0,0,1,0,18.912
1,0,1,1,1,1,0,1,0,1,1,0,1,0,19.302
0,1,0,1,1,0,0,1,1,0,0,1,0,0,19.964
1,1,0,0,0,1,1,1,1,0,0,0,0,1,18.966
0,0,0,1,1,1,0,1,0,1,0,1,0,1,19.72
0,1,1,1,0,0,1,1,1,1,1,0,0,1,19.237
1,1,1,1,1,1,1,1,1,1,1,1,0,1,19.983
1,1,0,1,1,1,0,0,1,1,1,0,0,0,19.224
0,1,0,1,0,0,1,1,0,1,0,0,0,1,19.252
0,0,1,0,0,0,1,0,0,0,0,1,0,1,19.565
0,1,0,0,1,0,0,1,0,1,0,1,1,0,19.596
0,0,1,0,1,1,1,1,0,0,0,0,1,1,19.155
0,0,0,0,0,0,0,0,1,1,0,0,0,0,19.276
0,0,0,0,0,0,1,1,1,1,0,0,1,0,18.856
1,1,1,1,1,0,1,0,1,0,1,0,0,0,19.079
0,0,1,0,1,1,0,1,0,0,0,0,1,1,19.281
0,0,1,0,0,1,0,0,1,0,0,1,1,0,19.727
1,0,0,0,1,0,0,1,1,0,1,1,1,0,19.692
1,0,0,1,1,0,0,0,0,0,1,0,0,1,19.209
0,0,0,1,0,1,1,0,0,1,0,0,0,0,19.133
0,1,1,1,0,0,0,0,0,1,0,1,0,0,19.608
0,1,1,1,1,0,1,1,1,0,1,0,1,0,18.965
1,0,1,0,0,1,1,0,0,0,0,0,0,0,19.143
1,0,0,0,1,0,0,1,1,1,0,1,1,0,19.895
0,1,1,0,0,0,1,0,0,0,1,1,0,1,19.663
1,0,1,0,1,1,1,0,0,1,1,0,0,0,19.095
1,0,0,1,0,0,1,0,0,1,1,1,0,1,19.878
1,0,0,0,0,0,1,1,1,0,1,0,1,0,18.87
1,1,0,0,0,0,0,1,0,0,1,1,1,0,20.019
0,1,1,1,0,0,1,1,0,1,1,1,1,0,19.724
1,1,0,1,1,0,0,1,0,0,1,1,0,0,19.545
1,1,0,1,0,0,1,0,0,1,1,1,1,1,19.603
0,1,0,0,0,1,0,1,0,1,1,1,1,0,19.957
0,1,1,1,1,0,0,1,0,1,1,0,1,1,19.512
0,0,0,0,0,0,1,0,1,0,1,0,1,1,18.713
0,1,1,1,1,0,0,0,1,0,0,0,0,0,19.046
0,1,1,1,1,1,1,1,0,0,1,0,1,1,19.027
0,1,0,0,1,0,0,1,0,1,0,0,1,1,19.077
1,0,1,0,0,0,0,1,0,0,1,1,0,0,19.889
1,1,0,0,1,0,0,1,0,0,0,0,1,0,19.067
0,1,0,0,1,1,1,0,1,0,1,1,1,1,19.645
1,1,1,0,0,1,0,1,1,0,1,0,0,1,19.076
1,0,0,0,0,0,1,0,1,1,1,0,1,1,19.238
1,0,0,1,1,0,1,1,1,1,1,1,1,1,19.762
1,1,0,1,1,1,0,0,1,1,0,1,0,0,20.237
0,1,1,1,0,0,1,1,1,1,1,0,0,0,19.15
0,0,0,1,0,1,0,1,0,0,1,0,0,0,19.071
1,0,1,0,0,1,1,0,0,1,1,1,1,0,19.674
0,1,1,0,0,0,0,1,1,1,0,0,1,0,19.208
1,0,0,1,0,1,1,0,0,1,1,1,1,1,20.018
1,0,1,0,1,0,0,0,1,1,1,0,1,0,19.418
1,0,1,1,1,1,1,0,0,1,1,1,1,0,20.045
0,1,1,0,1,1,1,1,0,1,0,1,0,0,19.683
0,0,1,0,0,0,0,0,1,0,1,1,0,1,19.757
0,1,1,1,0,0,0,0,0,0,0,1,0,1,19.9
0,0,1,1,0,0,1,0,0,1,0,0,1,0,19.165
0,1,1,0,0,1,1,0,0,1,0,1,0,0,19.722
0,1,0,1,0,0,0,1,0,0,1,1,0,0,19.492
0,0,1,1,0,1,0,1,0,1,0,1,1,1,19.84
1,1,0,0,0,0,1,1,0,1,1,1,1,0,20.167
0,1,1,1,1,0,1,1,1,1,0,0,0,0,19.214
0,1,0,0,0,0,1,0,0,1,1,0,0,0,18.803
1,0,1,0,0,1,0,1,0,0,1,1,1,0,19.662
0,0,1,1,0,1,1,1,0,1,0,0,0,1,19.165
0,0,1,1,0,1,1,0,0,0,0,1,0,0,19.56
1,1,0,1,1,1,1,0,1,1,0,0,0,0,19.261
1,1,0,0,0,0,0,1,0,1,0,1,1,0,20.165
0,0,1,0,0,0,1,0,1,0,0,1,1,0,20.046
0,0,0,0,1,0,0,1,0,1,1,1,1,1,19.86
0,1,0,1,1,1,0,1,0,0,0,1,1,1,19.302
1,0,0,0,1,0,0,0,0,1,0,1,1,1,19.857
1,0,1,1,0,0,0,1,1,0,1,0,1,0,19.239
0,0,1,0,1,1,1,1,0,0,0,0,0,1,18.915
1,0,0,0,0,1,0,0,1,0,0,1,1,0,19.701
1,0,0,0,1,1,1,1,0,1,0,0,0,1,19.232
0,1,1,1,0,0,0,0,0,0,0,0,1,1,18.701
1,1,0,1,0,1,0,1,1,1,0,0,0,0,19.211
0,1,1,1,0,0,0,1,1,1,0,0,0,0,19.016
0,1,1,1,1,1,0,0,1,1,1,1,1,1,19.469
1,0,0,0,0,0,0,0,0,0,1,0,1,0,18.993
0,1,0,1,0,0,0,1,1,1,0,1,0,0,20.08
0,1,0,0,0,0,1,1,1,1,1,0,0,1,19.203
